,DAL US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,7.8868
2020-01-02,7.9415
2020-01-03,7.8457
2020-01-04,7.8457
2020-01-05,7.8457
2020-01-06,7.8066
2020-01-07,7.8017
2020-01-08,7.9229
2020-01-09,7.9337
2020-01-10,7.961
2020-01-11,7.961
2020-01-12,7.961
2020-01-13,7.9855
2020-01-14,8.177
2020-01-15,8.1936
2020-01-16,8.219
2020-01-17,8.2337
2020-01-18,8.2337
2020-01-19,8.2337
2020-01-20,8.2337
2020-01-21,8.0685
2020-01-22,8.0001
2020-01-23,8.0617
2020-01-24,7.919
2020-01-25,7.919
2020-01-26,7.919
2020-01-27,7.7255
2020-01-28,7.789
2020-01-29,7.7079
2020-01-30,7.7519
2020-01-31,7.619
2020-02-01,7.619
2020-02-02,7.619
2020-02-03,7.6483
2020-02-04,7.833
2020-02-05,7.9268
2020-02-06,7.8574
2020-02-07,7.832
2020-02-08,7.832
2020-02-09,7.832
2020-02-10,7.8115
2020-02-11,7.9043
2020-02-12,7.9835
2020-02-13,7.8909
2020-02-14,7.8686
2020-02-15,7.8686
2020-02-16,7.8686
2020-02-17,7.8686
2020-02-18,7.8512
2020-02-19,7.8309
2020-02-20,7.8183
2020-02-21,7.769
2020-02-22,7.769
2020-02-23,7.769
2020-02-24,7.4169
2020-02-25,7.0939
2020-02-26,6.9682
2020-02-27,6.8327
2020-02-28,6.6335
2020-02-29,6.6335
2020-03-01,6.6335
2020-03-02,6.7331
2020-03-03,6.6383
2020-03-04,6.8627
2020-03-05,6.5252
2020-03-06,6.6103
2020-03-07,6.6103
2020-03-08,6.6103
2020-03-09,6.3811
2020-03-10,6.5697
2020-03-11,6.2989
2020-03-12,5.4322
2020-03-13,5.882
2020-03-14,5.882
2020-03-15,5.882
2020-03-16,5.6354
2020-03-17,5.2417
2020-03-18,4.4438
2020-03-19,4.2523
2020-03-20,4.2368
2020-03-21,4.2368
2020-03-22,4.2368
2020-03-23,4.3209
2020-03-24,4.7726
2020-03-25,5.1798
2020-03-26,5.2378
2020-03-27,5.0299
2020-03-28,5.0299
2020-03-29,5.0299
2020-03-30,4.9448
2020-03-31,6.7976
2020-04-01,6.2226
2020-04-02,6.0758
2020-04-03,6.0511
2020-04-04,6.0511
2020-04-05,6.0511
2020-04-06,6.0314
2020-04-07,6.0228
2020-04-08,6.1437
2020-04-09,6.2868
2020-04-10,6.2868
2020-04-11,6.2868
2020-04-12,6.2868
2020-04-13,6.1461
2020-04-14,6.3053
2020-04-15,6.2819
2020-04-16,6.0882
2020-04-17,6.272
2020-04-18,6.272
2020-04-19,6.272
2020-04-20,6.1943
2020-04-21,6.1276
2020-04-22,6.0401
2020-04-23,6.0414
2020-04-24,6.0328
2020-04-25,6.0328
2020-04-26,6.0328
2020-04-27,6.002
2020-04-28,6.27
2020-04-29,6.6364
2020-04-30,6.463
2020-05-01,6.2429
2020-05-02,6.2429
2020-05-03,6.2429
2020-05-04,6.0524
2020-05-05,5.9466
2020-05-06,5.8594
2020-05-07,5.943
2020-05-08,6.0708
2020-05-09,6.0708
2020-05-10,6.0708
2020-05-11,5.9835
2020-05-12,5.863
2020-05-13,5.6639
2020-05-14,5.6602
2020-05-15,5.6368
2020-05-16,5.6368
2020-05-17,5.6368
2020-05-18,5.9651
2020-05-19,5.9528
2020-05-20,6.0708
2020-05-21,6.1249
2020-05-22,6.0671
2020-05-23,6.0671
2020-05-24,6.0671
2020-05-25,6.0671
2020-05-26,6.431
2020-05-27,6.5134
2020-05-28,6.4323
2020-05-29,6.3769
2020-05-30,6.3769
2020-05-31,6.3769
2020-06-01,6.495
2020-06-02,6.5245
2020-06-03,6.7777
2020-06-04,7.2584
2020-06-05,7.4773
2020-06-06,7.4773
2020-06-07,7.4773
2020-06-08,7.8228
2020-06-09,7.4785
2020-06-10,7.1672
2020-06-11,6.6214
2020-06-12,7.0185
2020-06-13,7.0185
2020-06-14,7.0185
2020-06-15,7.0222
2020-06-16,7.1254
2020-06-17,7.0541
2020-06-18,7.0627
2020-06-19,6.9054
2020-06-20,6.9054
2020-06-21,6.9054
2020-06-22,6.8808
2020-06-23,6.9214
2020-06-24,6.6386
2020-06-25,6.721
2020-06-26,6.5857
2020-06-27,6.5857
2020-06-28,6.5857
2020-06-29,6.7947
2020-06-30,6.7947
2020-07-01,6.7947
2020-07-02,6.7947
2020-07-03,6.7947
2020-07-04,6.7947
2020-07-05,6.7947
2020-07-06,6.7947
2020-07-07,6.7947
2020-07-08,6.7947
2020-07-09,6.7947
2020-07-10,6.7947
2020-07-11,6.7947
2020-07-12,6.7947
2020-07-13,6.7947
2020-07-14,6.7947
2020-07-15,6.7947
2020-07-16,6.7947
2020-07-17,6.7947
2020-07-18,6.7947
2020-07-19,6.7947
2020-07-20,6.7947
2020-07-21,6.7947
2020-07-22,6.7947
2020-07-23,6.7947
2020-07-24,6.7947
2020-07-25,6.7947
2020-07-26,6.7947
2020-07-27,6.7947
2020-07-28,6.7947
2020-07-29,6.7947
2020-07-30,6.7947
2020-07-31,6.7947
2020-08-01,6.7947
2020-08-02,6.7947
2020-08-03,6.7947
2020-08-04,6.7947
2020-08-05,6.7947
2020-08-06,6.7947
2020-08-07,6.7947
2020-08-08,6.7947
2020-08-09,6.7947
2020-08-10,6.7947
2020-08-11,6.7947
2020-08-12,6.7947
2020-08-13,6.7947
2020-08-14,6.7947
2020-08-15,6.7947
2020-08-16,6.7947
2020-08-17,6.7947
2020-08-18,6.7947
2020-08-19,6.7947
2020-08-20,6.7947
2020-08-21,6.7947
2020-08-22,6.7947
2020-08-23,6.7947
2020-08-24,6.7947
2020-08-25,6.7947
2020-08-26,6.7947
2020-08-27,6.7947
2020-08-28,6.7947
2020-08-29,6.7947
2020-08-30,6.7947
2020-08-31,6.7947
2020-09-01,6.7947
2020-09-02,6.7947
2020-09-03,6.7947
2020-09-04,6.7947
2020-09-05,6.7947
2020-09-06,6.7947
2020-09-07,6.7947
2020-09-08,6.7947
2020-09-09,6.7947
2020-09-10,6.7947
2020-09-11,6.7947
2020-09-12,6.7947
2020-09-13,6.7947
2020-09-14,6.7947
2020-09-15,6.7947
2020-09-16,6.7947
2020-09-17,6.7947
2020-09-18,6.7947
2020-09-19,6.7947
2020-09-20,6.7947
2020-09-21,6.7947
2020-09-22,6.7947
2020-09-23,6.7947
2020-09-24,6.7947
2020-09-25,6.7947
2020-09-26,6.7947
2020-09-27,6.7947
2020-09-28,6.7947
2020-09-29,6.7947
2020-09-30,6.7947
2020-10-01,6.7947
2020-10-02,6.7947
2020-10-03,6.7947
2020-10-04,6.7947
2020-10-05,6.7947
2020-10-06,6.7947
2020-10-07,6.7947
2020-10-08,6.7947
2020-10-09,6.7947
2020-10-10,6.7947
2020-10-11,6.7947
2020-10-12,6.7947
2020-10-13,6.7947
2020-10-14,6.7947
2020-10-15,6.7947
2020-10-16,6.7947
2020-10-17,6.7947
