,AEP US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,29.6753
2020-01-02,29.4752
2020-01-03,29.4562
2020-01-04,29.4562
2020-01-05,29.4562
2020-01-06,29.5152
2020-01-07,29.5191
2020-01-08,29.4657
2020-01-09,29.5553
2020-01-10,29.6429
2020-01-11,29.6429
2020-01-12,29.6429
2020-01-13,29.6982
2020-01-14,29.7649
2020-01-15,30.0735
2020-01-16,30.2088
2020-01-17,30.447
2020-01-18,30.447
2020-01-19,30.447
2020-01-20,30.447
2020-01-21,30.5956
2020-01-22,30.7214
2020-01-23,30.9062
2020-01-24,31.133
2020-01-25,31.133
2020-01-26,31.133
2020-01-27,31.0606
2020-01-28,31.1387
2020-01-29,31.2568
2020-01-30,31.5026
2020-01-31,31.5255
2020-02-01,31.5255
2020-02-02,31.5255
2020-02-03,31.5255
2020-02-04,31.2683
2020-02-05,31.1254
2020-02-06,31.1501
2020-02-07,30.9767
2020-02-08,30.9767
2020-02-09,30.9767
2020-02-10,31.0872
2020-02-11,31.1444
2020-02-12,31.0625
2020-02-13,31.2645
2020-02-14,31.4379
2020-02-15,31.4379
2020-02-16,31.4379
2020-02-17,31.4379
2020-02-18,31.5465
2020-02-19,31.3883
2020-02-20,31.1835
2020-02-21,31.0558
2020-02-22,31.0558
2020-02-23,31.0558
2020-02-24,30.7374
2020-02-25,30.3809
2020-02-26,30.2399
2020-02-27,29.1781
2020-02-28,28.6824
2020-02-29,28.6824
2020-03-01,28.6824
2020-03-02,29.7938
2020-03-03,29.8624
2020-03-04,30.6955
2020-03-05,30.4991
2020-03-06,30.2913
2020-03-07,30.2913
2020-03-08,30.2913
2020-03-09,29.769
2020-03-10,29.7233
2020-03-11,28.7931
2020-03-12,27.4225
2020-03-13,28.1727
2020-03-14,28.1727
2020-03-15,28.1727
2020-03-16,27.2545
2020-03-17,29.0756
2020-03-18,28.5182
2020-03-19,27.0923
2020-03-20,25.3056
2020-03-21,25.3056
2020-03-22,25.3056
2020-03-23,25.0288
