,OXM US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,14.3604
2020-01-02,14.534
2020-01-03,14.4822
2020-01-04,14.4822
2020-01-05,14.4822
2020-01-06,14.5797
2020-01-07,14.5385
2020-01-08,14.3863
2020-01-09,13.9037
2020-01-10,13.9113
2020-01-11,13.9113
2020-01-12,13.9113
2020-01-13,14.0727
2020-01-14,14.1229
2020-01-15,14.0986
2020-01-16,14.1701
2020-01-17,14.1579
2020-01-18,14.1579
2020-01-19,14.1579
2020-01-20,14.1579
2020-01-21,14.027
2020-01-22,14.0468
2020-01-23,13.9752
2020-01-24,13.8824
2020-01-25,13.8824
2020-01-26,13.8824
2020-01-27,13.6601
2020-01-28,13.6829
2020-01-29,13.8321
2020-01-30,14.0118
2020-01-31,12.7748
2020-02-01,12.7748
2020-02-02,12.7748
2020-02-03,12.8901
2020-02-04,13.1519
2020-02-05,13.2435
2020-02-06,13.1652
2020-02-07,12.8103
2020-02-08,12.8103
2020-02-09,12.8103
2020-02-10,12.7497
2020-02-11,12.7763
2020-02-12,12.9892
2020-02-13,12.8946
2020-02-14,12.7615
2020-02-15,12.7615
2020-02-16,12.7615
2020-02-17,12.7615
2020-02-18,12.4628
2020-02-19,12.3844
2020-02-20,12.4939
2020-02-21,12.4939
2020-02-22,12.4939
2020-02-23,12.4939
2020-02-24,12.1553
2020-02-25,11.7841
2020-02-26,11.7087
2020-02-27,11.5047
2020-02-28,11.4426
2020-02-29,11.4426
2020-03-01,11.4426
2020-03-02,11.484
2020-03-03,11.2977
2020-03-04,11.4219
2020-03-05,11.0581
2020-03-06,11.0611
2020-03-07,11.0611
2020-03-08,11.0611
2020-03-09,10.6057
2020-03-10,10.6796
2020-03-11,9.9107
2020-03-12,9.127
2020-03-13,9.2187
2020-03-14,9.2187
2020-03-15,9.2187
2020-03-16,8.2754
2020-03-17,7.7593
2020-03-18,7.2181
2020-03-19,7.1797
2020-03-20,7.5375
2020-03-21,7.5375
2020-03-22,7.5375
2020-03-23,7.4296
2020-03-24,8.0329
2020-03-25,8.0639
2020-03-26,8.4794
