,HA US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,5.8787
2020-01-02,5.8708
2020-01-03,5.8525
2020-01-04,5.8525
2020-01-05,5.8525
2020-01-06,5.8511
2020-01-07,5.8603
2020-01-08,5.8525
2020-01-09,5.8223
2020-01-10,5.8538
2020-01-11,5.8538
2020-01-12,5.8538
2020-01-13,5.9102
2020-01-14,5.9207
2020-01-15,5.9273
2020-01-16,6.0297
2020-01-17,5.9785
2020-01-18,5.9785
2020-01-19,5.9785
2020-01-20,5.9785
2020-01-21,5.7619
2020-01-22,5.8564
2020-01-23,5.9503
2020-01-24,5.8433
2020-01-25,5.8433
2020-01-26,5.8433
2020-01-27,5.6345
2020-01-28,5.6542
2020-01-29,5.6161
2020-01-30,5.6962
2020-01-31,5.6936
2020-02-01,5.6936
2020-02-02,5.6936
2020-02-03,5.6562
2020-02-04,5.8656
2020-02-05,5.968
2020-02-06,5.8118
2020-02-07,5.754
2020-02-08,5.754
2020-02-09,5.754
2020-02-10,5.7435
2020-02-11,5.7842
2020-02-12,5.8564
2020-02-13,5.7186
2020-02-14,5.6476
2020-02-15,5.6476
2020-02-16,5.6476
2020-02-17,5.6476
2020-02-18,5.5286
2020-02-19,5.4847
2020-02-20,5.4963
2020-02-21,5.4989
2020-02-22,5.4989
2020-02-23,5.4989
2020-02-24,5.3115
2020-02-25,5.1602
2020-02-26,5.0407
2020-02-27,4.8862
2020-02-28,4.7324
2020-02-29,4.7324
2020-03-01,4.7324
2020-03-02,4.6148
2020-03-03,4.5088
2020-03-04,4.4894
2020-03-05,4.2076
2020-03-06,4.311
2020-03-07,4.311
2020-03-08,4.311
2020-03-09,4.2115
2020-03-10,4.2903
2020-03-11,4.068
2020-03-12,3.6182
2020-03-13,3.8599
2020-03-14,3.8599
2020-03-15,3.8599
2020-03-16,3.7345
2020-03-17,3.6091
2020-03-18,3.1916
2020-03-19,3.1489
2020-03-20,3.1515
2020-03-21,3.1515
2020-03-22,3.1515
2020-03-23,3.167
2020-03-24,3.3532
2020-03-25,3.6776
2020-03-26,3.6621
2020-03-27,3.4643
2020-03-28,3.4643
2020-03-29,3.4643
2020-03-30,3.4036
2020-03-31,11.3929
2020-04-01,11.1418
2020-04-02,11.017
2020-04-03,11.0126
2020-04-04,11.0126
2020-04-05,11.0126
2020-04-06,11.1031
2020-04-07,11.4777
2020-04-08,11.7318
2020-04-09,11.9944
2020-04-10,11.9944
2020-04-11,11.9944
2020-04-12,11.9944
2020-04-13,11.8179
2020-04-14,11.8437
2020-04-15,11.9385
2020-04-16,11.538
2020-04-17,11.861
2020-04-18,11.861
2020-04-19,11.861
2020-04-20,11.8739
2020-04-21,11.8265
2020-04-22,11.8179
2020-04-23,11.7576
2020-04-24,11.8308
2020-04-25,11.8308
2020-04-26,11.8308
2020-04-27,11.8653
2020-04-28,12.7588
2020-04-29,13.6437
2020-04-30,13.1054
2020-05-01,12.4897
2020-05-02,12.4897
2020-05-03,12.4897
2020-05-04,12.494
2020-05-05,12.3131
2020-05-06,11.9385
2020-05-07,11.986
2020-05-08,12.464
2020-05-09,12.464
2020-05-10,12.464
2020-05-11,12.1669
2020-05-12,11.8999
2020-05-13,11.8568
2020-05-14,11.8439
2020-05-15,11.7104
2020-05-16,11.7104
2020-05-17,11.7104
2020-05-18,12.6362
2020-05-19,12.2573
2020-05-20,12.5501
2020-05-21,12.6879
2020-05-22,12.6664
2020-05-23,12.6664
2020-05-24,12.6664
2020-05-25,12.6664
2020-05-26,13.4286
2020-05-27,13.9841
2020-05-28,13.2994
2020-05-29,13.1186
2020-05-30,13.1186
2020-05-31,13.1186
2020-06-01,13.3597
2020-06-02,13.743
2020-06-03,14.2037
2020-06-04,15.2846
2020-06-05,15.2415
2020-06-06,15.2415
2020-06-07,15.2415
2020-06-08,16.0339
2020-06-09,15.3234
2020-06-10,14.587
2020-06-11,13.3468
2020-06-12,13.8808
2020-06-13,13.8808
2020-06-14,13.8808
2020-06-15,14.0466
2020-06-16,14.2037
2020-06-17,13.954
2020-06-18,13.9023
2020-06-19,13.6482
2020-06-20,13.6482
2020-06-21,13.6482
2020-06-22,13.1659
2020-06-23,13.2434
2020-06-24,12.7999
2020-06-25,12.9635
2020-06-26,12.7267
2020-06-27,12.7267
2020-06-28,12.7267
2020-06-29,13.0497
2020-06-30,13.0497
2020-07-01,13.0497
2020-07-02,13.0497
2020-07-03,13.0497
2020-07-04,13.0497
2020-07-05,13.0497
2020-07-06,13.0497
2020-07-07,13.0497
2020-07-08,13.0497
2020-07-09,13.0497
2020-07-10,13.0497
2020-07-11,13.0497
2020-07-12,13.0497
2020-07-13,13.0497
2020-07-14,13.0497
2020-07-15,13.0497
2020-07-16,13.0497
2020-07-17,13.0497
2020-07-18,13.0497
2020-07-19,13.0497
2020-07-20,13.0497
2020-07-21,13.0497
2020-07-22,13.0497
2020-07-23,13.0497
2020-07-24,13.0497
2020-07-25,13.0497
2020-07-26,13.0497
2020-07-27,13.0497
2020-07-28,13.0497
2020-07-29,13.0497
2020-07-30,13.0497
2020-07-31,13.0497
2020-08-01,13.0497
2020-08-02,13.0497
2020-08-03,13.0497
2020-08-04,13.0497
