,HCC US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,3.2498
2020-01-02,3.3164
2020-01-03,3.3444
2020-01-04,3.3444
2020-01-05,3.3444
2020-01-06,3.3031
2020-01-07,3.3564
2020-01-08,3.375
2020-01-09,3.2112
2020-01-10,3.3004
2020-01-11,3.3004
2020-01-12,3.3004
2020-01-13,3.4056
2020-01-14,3.4669
2020-01-15,3.5109
2020-01-16,3.5628
2020-01-17,3.4336
2020-01-18,3.4336
2020-01-19,3.4336
2020-01-20,3.4336
2020-01-21,3.3097
2020-01-22,3.3177
2020-01-23,3.2245
2020-01-24,3.1152
2020-01-25,3.1152
2020-01-26,3.1152
2020-01-27,3.042
2020-01-28,3.0406
2020-01-29,3.01
2020-01-30,3.0207
2020-01-31,2.9474
2020-02-01,2.9474
2020-02-02,2.9474
2020-02-03,2.998
2020-02-04,3.2112
2020-02-05,3.3017
2020-02-06,3.2485
2020-02-07,3.1139
2020-02-08,3.1139
2020-02-09,3.1139
2020-02-10,3.0979
2020-02-11,3.1206
2020-02-12,3.1765
2020-02-13,3.2112
2020-02-14,3.1712
2020-02-15,3.1712
2020-02-16,3.1712
2020-02-17,3.1712
2020-02-18,3.1858
2020-02-19,3.1232
2020-02-20,2.7951
2020-02-21,2.8364
2020-02-22,2.8364
2020-02-23,2.8364
2020-02-24,2.7285
2020-02-25,2.7138
2020-02-26,2.6605
2020-02-27,2.7431
2020-02-28,2.7964
2020-02-29,2.7964
2020-03-01,2.7964
2020-03-02,2.9017
2020-03-03,2.8537
2020-03-04,2.9244
2020-03-05,2.7511
2020-03-06,2.6725
2020-03-07,2.6725
2020-03-08,2.6725
2020-03-09,2.3474
2020-03-10,2.4326
2020-03-11,2.3354
2020-03-12,1.971
2020-03-13,2.2552
2020-03-14,2.2552
2020-03-15,2.2552
2020-03-16,2.5141
2020-03-17,2.6209
2020-03-18,2.3286
2020-03-19,2.1685
2020-03-20,2.0137
2020-03-21,2.0137
2020-03-22,2.0137
2020-03-23,1.9523
2020-03-24,1.979
2020-03-25,2.0351
2020-03-26,1.907
2020-03-27,1.7668
2020-03-28,1.7668
2020-03-29,1.7668
2020-03-30,1.8456
2020-03-31,2.8065
2020-04-01,2.8881
2020-04-02,3.0652
2020-04-03,2.7946
2020-04-04,2.7946
2020-04-05,2.7946
2020-04-06,3.0134
2020-04-07,3.0711
2020-04-08,3.0413
2020-04-09,3.2681
2020-04-10,3.2681
2020-04-11,3.2681
2020-04-12,3.2681
2020-04-13,3.1885
2020-04-14,3.2423
2020-04-15,2.9796
2020-04-16,2.9438
2020-04-17,2.9478
2020-04-18,2.9478
2020-04-19,2.9478
2020-04-20,2.8383
2020-04-21,2.7866
2020-04-22,2.8542
2020-04-23,2.8582
2020-04-24,2.6931
2020-04-25,2.6931
2020-04-26,2.6931
2020-04-27,2.7269
2020-04-28,3.0134
2020-04-29,3.2864
2020-04-30,3.1908
2020-05-01,2.96
2020-05-02,2.96
2020-05-03,2.96
2020-05-04,3.3699
2020-05-05,3.1471
2020-05-06,3.1232
2020-05-07,3.1988
2020-05-08,3.5988
2020-05-09,3.5988
2020-05-10,3.5988
2020-05-11,3.4953
2020-05-12,3.2366
2020-05-13,3.0933
2020-05-14,3.2048
2020-05-15,3.3063
2020-05-16,3.3063
2020-05-17,3.3063
2020-05-18,3.5928
2020-05-19,3.4655
2020-05-20,3.5212
2020-05-21,3.4734
2020-05-22,3.4874
2020-05-23,3.4874
2020-05-24,3.4874
2020-05-25,3.4874
2020-05-26,3.5749
2020-05-27,3.6187
2020-05-28,3.5749
2020-05-29,3.4953
