,PARAA US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,10.8418
2020-01-02,10.8631
2020-01-03,10.7787
2020-01-04,10.7787
2020-01-05,10.7787
2020-01-06,10.8682
2020-01-07,10.8824
2020-01-08,10.8376
2020-01-09,10.6864
2020-01-10,10.6218
2020-01-11,10.6218
2020-01-12,10.6218
2020-01-13,10.6852
2020-01-14,10.6152
2020-01-15,10.5268
2020-01-16,10.5774
2020-01-17,10.4964
2020-01-18,10.4964
2020-01-19,10.4964
2020-01-20,10.4964
2020-01-21,10.388
2020-01-22,10.345
2020-01-23,10.1295
2020-01-24,9.9551
2020-01-25,9.9551
2020-01-26,9.9551
2020-01-27,9.8674
2020-01-28,9.9022
2020-01-29,9.8047
2020-01-30,9.7291
2020-01-31,9.7164
2020-02-01,9.7164
2020-02-02,9.7164
2020-02-03,9.5618
2020-02-04,9.6327
2020-02-05,9.7519
2020-02-06,9.784
2020-02-07,9.8034
2020-02-08,9.8034
2020-02-09,9.8034
2020-02-10,9.7264
2020-02-11,9.8424
2020-02-12,9.8859
2020-02-13,9.838
2020-02-14,9.8416
2020-02-15,9.8416
2020-02-16,9.8416
2020-02-17,9.8416
2020-02-18,9.8586
2020-02-19,9.9394
2020-02-20,9.0193
2020-02-21,8.8634
2020-02-22,8.8634
2020-02-23,8.8634
2020-02-24,8.668
2020-02-25,8.4436
2020-02-26,8.3133
2020-02-27,8.2296
2020-02-28,8.3458
2020-02-29,8.3458
2020-03-01,8.3458
2020-03-02,8.296
2020-03-03,8.1226
2020-03-04,8.1309
2020-03-05,7.8884
2020-03-06,7.8967
2020-03-07,7.8967
2020-03-08,7.8967
2020-03-09,7.5479
2020-03-10,7.7401
2020-03-11,7.6337
2020-03-12,7.1078
2020-03-13,7.1414
2020-03-14,7.1414
2020-03-15,7.1414
2020-03-16,6.7425
2020-03-17,6.6131
2020-03-18,6.5172
2020-03-19,6.6039
2020-03-20,6.5043
2020-03-21,6.5043
2020-03-22,6.5043
2020-03-23,6.3961
2020-03-24,6.8824
2020-03-25,6.8903
2020-03-26,6.7862
2020-03-27,6.6065
2020-03-28,6.6065
2020-03-29,6.6065
2020-03-30,6.7947
2020-03-31,8.5806
2020-04-01,8.3489
2020-04-02,8.3553
2020-04-03,8.2935
2020-04-04,8.2935
2020-04-05,8.2935
2020-04-06,8.5745
2020-04-07,8.7012
2020-04-08,8.9074
2020-04-09,9.0425
2020-04-10,9.0425
2020-04-11,9.0425
2020-04-12,9.0425
2020-04-13,8.9487
2020-04-14,8.9811
2020-04-15,8.7825
2020-04-16,8.6746
2020-04-17,8.8919
2020-04-18,8.8919
2020-04-19,8.8919
2020-04-20,8.8377
2020-04-21,8.7666
2020-04-22,8.7324
2020-04-23,8.8359
2020-04-24,8.8708
2020-04-25,8.8708
2020-04-26,8.8708
2020-04-27,9.1186
2020-04-28,9.2004
2020-04-29,9.4848
2020-04-30,9.1615
2020-05-01,9.0252
2020-05-02,9.0252
2020-05-03,9.0252
2020-05-04,8.9512
2020-05-05,8.7953
2020-05-06,8.7236
2020-05-07,9.0194
2020-05-08,9.3209
2020-05-09,9.3209
2020-05-10,9.3209
2020-05-11,9.3168
2020-05-12,9.3563
2020-05-13,9.0933
2020-05-14,9.1559
2020-05-15,9.1831
2020-05-16,9.1831
2020-05-17,9.1831
2020-05-18,9.5095
2020-05-19,9.6185
2020-05-20,9.6224
2020-05-21,9.6602
2020-05-22,9.611
2020-05-23,9.611
2020-05-24,9.611
2020-05-25,9.611
2020-05-26,9.7785
2020-05-27,10.064
2020-05-28,9.9176
2020-05-29,9.8269
2020-05-30,9.8269
2020-05-31,9.8269
2020-06-01,9.9825
2020-06-02,10.028
2020-06-03,10.1989
2020-06-04,10.4534
2020-06-05,10.5763
2020-06-06,10.5763
2020-06-07,10.5763
2020-06-08,11.25
2020-06-09,10.7933
2020-06-10,10.419
2020-06-11,10.3323
2020-06-12,10.2125
2020-06-13,10.2125
2020-06-14,10.2125
2020-06-15,10.5784
2020-06-16,10.4499
2020-06-17,10.2854
2020-06-18,10.5011
2020-06-19,10.3492
2020-06-20,10.3492
2020-06-21,10.3492
2020-06-22,10.3129
2020-06-23,10.3524
2020-06-24,10.3281
2020-06-25,10.2142
2020-06-26,10.0905
2020-06-27,10.0905
2020-06-28,10.0905
2020-06-29,10.2327
2020-06-30,11.0466
2020-07-01,11.1066
2020-07-02,11.0343
2020-07-03,11.0343
2020-07-04,11.0343
2020-07-05,11.0343
2020-07-06,11.117
2020-07-07,10.9742
2020-07-08,10.9659
2020-07-09,10.8073
2020-07-10,10.9708
2020-07-11,10.9708
2020-07-12,10.9708
2020-07-13,11.1198
2020-07-14,11.2274
2020-07-15,11.3667
2020-07-16,11.4717
2020-07-17,11.4104
2020-07-18,11.4104
2020-07-19,11.4104
2020-07-20,11.2715
2020-07-21,11.2793
2020-07-22,11.3436
2020-07-23,11.393
2020-07-24,11.3218
2020-07-25,11.3218
2020-07-26,11.3218
2020-07-27,11.332
2020-07-28,11.2716
2020-07-29,11.4231
2020-07-30,11.5227
2020-07-31,11.5746
2020-08-01,11.5746
2020-08-02,11.5746
2020-08-03,11.5119
2020-08-04,11.6757
2020-08-05,11.5622
2020-08-06,11.7427
2020-08-07,11.6097
2020-08-08,11.6097
2020-08-09,11.6097
2020-08-10,11.6333
2020-08-11,11.6759
2020-08-12,11.6283
2020-08-13,11.7167
2020-08-14,11.8728
2020-08-15,11.8728
2020-08-16,11.8728
2020-08-17,11.8304
2020-08-18,11.781
2020-08-19,11.8497
2020-08-20,11.7255
2020-08-21,11.6924
2020-08-22,11.6924
2020-08-23,11.6924
2020-08-24,11.9101
2020-08-25,11.8973
2020-08-26,11.9569
2020-08-27,12.0338
2020-08-28,11.9823
2020-08-29,11.9823
2020-08-30,11.9823
2020-08-31,11.9457
2020-09-01,11.92
2020-09-02,12.037
2020-09-03,12.0219
2020-09-04,12.1177
2020-09-05,12.1177
2020-09-06,12.1177
2020-09-07,12.1177
2020-09-08,12.1093
2020-09-09,12.111
2020-09-10,12.2311
2020-09-11,12.2227
2020-09-12,12.2227
2020-09-13,12.2227
2020-09-14,12.316
2020-09-15,12.3926
2020-09-16,12.499
2020-09-17,12.4169
2020-09-18,12.4008
2020-09-19,12.4008
2020-09-20,12.4008
2020-09-21,12.1703
2020-09-22,12.2482
2020-09-23,12.1267
2020-09-24,12.1846
2020-09-25,12.2675
2020-09-26,12.2675
2020-09-27,12.2675
2020-09-28,12.3252
2020-09-29,12.1507
2020-09-30,12.1074
2020-10-01,12.0394
2020-10-02,12.0945
2020-10-03,12.0945
2020-10-04,12.0945
2020-10-05,12.1814
2020-10-06,12.1941
2020-10-07,12.2755
2020-10-08,12.4289
2020-10-09,12.2868
2020-10-10,12.2868
2020-10-11,12.2868
2020-10-12,12.1684
2020-10-13,11.9887
2020-10-14,11.9648
2020-10-15,12.0662
2020-10-16,12.0899
2020-10-17,12.0899
2020-10-18,12.0899
2020-10-19,11.9237
2020-10-20,11.9886
2020-10-21,12.191
2020-10-22,12.3195
2020-10-23,12.3544
2020-10-24,12.3544
2020-10-25,12.3544
2020-10-26,12.246
2020-10-27,12.133
2020-10-28,12.0445
2020-10-29,12.1142
2020-10-30,12.2047
2020-10-31,12.2047
2020-11-01,12.2047
2020-11-02,12.4131
2020-11-03,12.5215
2020-11-04,12.4486
2020-11-05,12.7583
2020-11-06,12.3621
2020-11-07,12.3621
2020-11-08,12.3621
2020-11-09,12.3173
2020-11-10,12.5295
2020-11-11,12.5523
2020-11-12,12.3548
2020-11-13,12.5537
2020-11-14,12.5537
2020-11-15,12.5537
2020-11-16,12.8963
2020-11-17,12.9829
2020-11-18,13.062
2020-11-19,13.2134
2020-11-20,13.3288
2020-11-21,13.3288
2020-11-22,13.3288
2020-11-23,13.4576
2020-11-24,13.4312
2020-11-25,13.4939
2020-11-26,13.4939
2020-11-27,13.5473
2020-11-28,13.5473
2020-11-29,13.5473
2020-11-30,13.5897
2020-12-01,13.8082
2020-12-02,13.8084
2020-12-03,13.8518
2020-12-04,13.9267
2020-12-05,13.9267
2020-12-06,13.9267
2020-12-07,13.898
2020-12-08,13.8661
2020-12-09,13.8198
2020-12-10,13.7066
2020-12-11,13.652
2020-12-12,13.652
2020-12-13,13.652
2020-12-14,13.4558
2020-12-15,13.5522
2020-12-16,13.7064
2020-12-17,13.7735
2020-12-18,13.584
2020-12-19,13.584
2020-12-20,13.584
2020-12-21,13.4962
2020-12-22,13.5073
2020-12-23,13.7258
2020-12-24,13.7324
2020-12-25,13.7324
2020-12-26,13.7324
2020-12-27,13.7324
2020-12-28,13.8822
2020-12-29,13.877
2020-12-30,13.9132
2020-12-31,10.2321
2021-01-01,10.2321
2021-01-02,10.2321
2021-01-03,10.2321
2021-01-04,10.1359
2021-01-05,10.1899
2021-01-06,10.6665
2021-01-07,10.6583
2021-01-08,10.6502
2021-01-09,10.6502
2021-01-10,10.6502
2021-01-11,10.798
2021-01-12,10.9041
2021-01-13,11.104
2021-01-14,11.5312
2021-01-15,11.431
2021-01-16,11.431
2021-01-17,11.431
2021-01-18,11.431
2021-01-19,11.1957
2021-01-20,11.1415
2021-01-21,11.3993
2021-01-22,11.4711
2021-01-23,11.4711
2021-01-24,11.4711
2021-01-25,11.785
2021-01-26,12.4095
2021-01-27,13.0203
2021-01-28,12.2126
2021-01-29,11.9033
2021-01-30,11.9033
2021-01-31,11.9033
2021-02-01,12.4731
2021-02-02,12.1643
2021-02-03,12.4331
2021-02-04,12.4327
2021-02-05,12.7277
2021-02-06,12.7277
2021-02-07,12.7277
2021-02-08,12.7969
2021-02-09,12.8751
2021-02-10,13.1053
2021-02-11,13.1992
2021-02-12,13.3636
2021-02-13,13.3636
2021-02-14,13.3636
2021-02-15,13.3636
2021-02-16,13.4897
2021-02-17,13.7657
2021-02-18,13.9374
2021-02-19,14.0172
2021-02-20,14.0172
2021-02-21,14.0172
2021-02-22,14.5302
2021-02-23,14.2685
2021-02-24,14.4505
2021-02-25,14.0242
2021-02-26,14.3197
2021-02-27,14.3197
2021-02-28,14.3197
2021-03-01,14.7173
2021-03-02,14.9549
2021-03-03,15.2817
2021-03-04,15.4283
2021-03-05,15.7821
2021-03-06,15.7821
2021-03-07,15.7821
2021-03-08,17.1926
2021-03-09,16.593
2021-03-10,17.076
2021-03-11,17.5845
2021-03-12,18.8787
2021-03-13,18.8787
2021-03-14,18.8787
2021-03-15,19.0897
2021-03-16,19.0742
2021-03-17,18.4876
2021-03-18,19.1518
2021-03-19,19.2406
2021-03-20,19.2406
2021-03-21,19.2406
2021-03-22,19.6882
2021-03-23,18.3277
2021-03-24,15.1656
2021-03-25,14.9242
2021-03-26,12.1116
