,WAT US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,23.1633
2020-01-02,23.2909
2020-01-03,22.9244
2020-01-04,22.9244
2020-01-05,22.9244
2020-01-06,22.7316
2020-01-07,23.0122
2020-01-08,22.5027
2020-01-09,22.7244
2020-01-10,22.9126
2020-01-11,22.9126
2020-01-12,22.9126
2020-01-13,22.7262
2020-01-14,23.0212
2020-01-15,23.2275
2020-01-16,23.5216
2020-01-17,23.7017
2020-01-18,23.7017
2020-01-19,23.7017
2020-01-20,23.7017
2020-01-21,24.07
2020-01-22,24.108
2020-01-23,23.9126
2020-01-24,23.5144
2020-01-25,23.5144
2020-01-26,23.5144
2020-01-27,23.0474
2020-01-28,23.3633
2020-01-29,23.1959
2020-01-30,22.7253
2020-01-31,22.271
2020-02-01,22.271
2020-02-02,22.271
2020-02-03,22.4755
2020-02-04,21.8448
2020-02-05,21.995
2020-02-06,21.9362
2020-02-07,21.6891
2020-02-08,21.6891
2020-02-09,21.6891
2020-02-10,21.8493
2020-02-11,22.2194
2020-02-12,22.3235
2020-02-13,21.9805
2020-02-14,21.5715
2020-02-15,21.5715
2020-02-16,21.5715
2020-02-17,21.5715
2020-02-18,21.6113
2020-02-19,21.6249
2020-02-20,21.6873
2020-02-21,21.6005
2020-02-22,21.6005
2020-02-23,21.6005
2020-02-24,21.0295
2020-02-25,20.4232
2020-02-26,19.7058
2020-02-27,19.3758
2020-02-28,19.0327
2020-02-29,19.0327
2020-03-01,19.0327
2020-03-02,19.7145
2020-03-03,19.6071
2020-03-04,20.2156
2020-03-05,19.3845
2020-03-06,19.4788
2020-03-07,19.4788
2020-03-08,19.4788
2020-03-09,18.6573
2020-03-10,19.1925
2020-03-11,18.0908
2020-03-12,16.6024
2020-03-13,18.124
2020-03-14,18.124
2020-03-15,18.124
2020-03-16,17.2021
2020-03-17,18.0183
2020-03-18,17.4544
2020-03-19,17.5077
2020-03-20,17.162
2020-03-21,17.162
2020-03-22,17.162
2020-03-23,16.193
2020-03-24,17.7922
2020-03-25,17.4535
2020-03-26,18.7298
2020-03-27,20.0055
2020-03-28,20.0055
2020-03-29,20.0055
2020-03-30,20.2691
2020-03-31,19.6917
2020-04-01,19.7163
2020-04-02,20.0224
2020-04-03,19.4465
2020-04-04,19.4465
2020-04-05,19.4465
2020-04-06,20.2928
2020-04-07,20.4054
2020-04-08,20.9727
2020-04-09,20.9585
2020-04-10,20.9585
2020-04-11,20.9585
2020-04-12,20.9585
2020-04-13,20.1756
2020-04-14,20.7429
2020-04-15,20.342
2020-04-16,20.6777
2020-04-17,21.108
2020-04-18,21.108
2020-04-19,21.108
2020-04-20,20.8072
2020-04-21,19.9619
2020-04-22,20.4299
2020-04-23,20.4706
2020-04-24,20.5226
2020-04-25,20.5226
2020-04-26,20.5226
2020-04-27,20.8716
2020-04-28,19.8408
2020-04-29,20.6234
2020-04-30,20.0899
2020-05-01,19.2475
2020-05-02,19.2475
2020-05-03,19.2475
2020-05-04,19.4695
2020-05-05,19.6073
2020-05-06,19.9038
2020-05-07,19.9936
2020-05-08,20.088
2020-05-09,20.088
2020-05-10,20.088
2020-05-11,20.308
2020-05-12,19.663
2020-05-13,19.3155
2020-05-14,19.4553
2020-05-15,19.2834
2020-05-16,19.2834
2020-05-17,19.2834
2020-05-18,20.207
2020-05-19,19.8056
2020-05-20,19.9256
2020-05-21,19.9256
2020-05-22,20.0597
2020-05-23,20.0597
2020-05-24,20.0597
2020-05-25,20.0597
2020-05-26,20.664
2020-05-27,21.2127
2020-05-28,21.1249
2020-05-29,21.3033
2020-05-30,21.3033
2020-05-31,21.3033
2020-06-01,21.2863
2020-06-02,21.5857
2020-06-03,21.4525
2020-06-04,21.5432
2020-06-05,22.1608
2020-06-06,22.1608
2020-06-07,22.1608
2020-06-08,22.0937
2020-06-09,21.0701
2020-06-10,20.8038
2020-06-11,19.5752
2020-06-12,19.9539
2020-06-13,19.9539
2020-06-14,19.9539
2020-06-15,20.1956
2020-06-16,20.3175
2020-06-17,20.2315
2020-06-18,20.7131
2020-06-19,20.4081
2020-06-20,20.4081
2020-06-21,20.4081
2020-06-22,19.953
2020-06-23,19.9548
2020-06-24,19.1796
2020-06-25,19.0662
2020-06-26,19.3513
2020-06-27,19.3513
2020-06-28,19.3513
2020-06-29,19.5332
2020-06-30,19.9028
2020-07-01,19.8784
2020-07-02,19.9439
2020-07-03,19.9439
2020-07-04,19.9439
2020-07-05,19.9439
2020-07-06,20.2901
2020-07-07,20.386
2020-07-08,20.3576
2020-07-09,20.7077
2020-07-10,20.7194
2020-07-11,20.7194
2020-07-12,20.7194
2020-07-13,21.1615
2020-07-14,21.6309
2020-07-15,23.8538
2020-07-16,24.1706
2020-07-17,24.4493
2020-07-18,24.4493
2020-07-19,24.4493
2020-07-20,24.466
2020-07-21,24.0513
2020-07-22,24.1511
2020-07-23,24.3995
2020-07-24,24.0738
2020-07-25,24.0738
2020-07-26,24.0738
2020-07-27,24.5041
2020-07-28,24.1168
2020-07-29,23.4411
2020-07-30,23.0733
2020-07-31,23.1115
2020-08-01,23.1115
2020-08-02,23.1115
2020-08-03,23.1017
2020-08-04,22.8131
2020-08-05,22.9187
2020-08-06,22.8659
2020-08-07,23.0322
2020-08-08,23.0322
2020-08-09,23.0322
2020-08-10,23.0684
2020-08-11,23.1594
2020-08-12,23.313
2020-08-13,23.4881
2020-08-14,23.3316
2020-08-15,23.3316
2020-08-16,23.3316
2020-08-17,23.3589
2020-08-18,23.2983
2020-08-19,23.4832
2020-08-20,23.266
2020-08-21,23.4137
2020-08-22,23.4137
2020-08-23,23.4137
2020-08-24,23.2944
2020-08-25,23.4039
2020-08-26,23.3991
2020-08-27,23.3668
2020-08-28,23.5301
2020-08-29,23.5301
2020-08-30,23.5301
2020-08-31,23.4157
2020-09-01,23.0009
2020-09-02,23.4949
2020-09-03,22.7045
2020-09-04,22.4189
2020-09-05,22.4189
2020-09-06,22.4189
2020-09-07,22.4189
2020-09-08,22.2526
2020-09-09,22.4355
2020-09-10,22.2193
2020-09-11,22.2095
2020-09-12,22.2095
2020-09-13,22.2095
2020-09-14,22.3416
2020-09-15,22.3739
2020-09-16,22.4697
2020-09-17,22.1968
2020-09-18,21.382
2020-09-19,21.382
2020-09-20,21.382
2020-09-21,21.2734
2020-09-22,21.2607
2020-09-23,20.9056
2020-09-24,20.8117
2020-09-25,21.1827
2020-09-26,21.1827
