,MSM US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,12.3667
2020-01-02,12.4096
2020-01-03,12.258
2020-01-04,12.258
2020-01-05,12.258
2020-01-06,12.0936
2020-01-07,12.0035
2020-01-08,12.0142
2020-01-09,11.8783
2020-01-10,11.9555
2020-01-11,11.9555
2020-01-12,11.9555
2020-01-13,12.0971
2020-01-14,12.1858
2020-01-15,12.15
2020-01-16,12.3632
2020-01-17,12.1415
2020-01-18,12.1415
2020-01-19,12.1415
2020-01-20,12.1415
2020-01-21,11.332
2020-01-22,11.3734
2020-01-23,11.515
2020-01-24,11.4263
2020-01-25,11.4263
2020-01-26,11.4263
2020-01-27,11.3205
2020-01-28,11.3405
2020-01-29,11.2132
2020-01-30,11.2218
2020-01-31,10.88
2020-02-01,10.88
2020-02-02,10.88
2020-02-03,10.9787
2020-02-04,11.2604
2020-02-05,11.4464
2020-02-06,11.3906
2020-02-07,11.1932
2020-02-08,11.1932
2020-02-09,11.1932
2020-02-10,11.1346
2020-02-11,11.2805
2020-02-12,11.4249
2020-02-13,11.3935
2020-02-14,11.4349
2020-02-15,11.4349
2020-02-16,11.4349
2020-02-17,11.4349
2020-02-18,11.3234
2020-02-19,11.3033
2020-02-20,11.4449
2020-02-21,11.3362
2020-02-22,11.3362
2020-02-23,11.3362
2020-02-24,11.0945
2020-02-25,10.6054
2020-02-26,10.5324
2020-02-27,10.2435
2020-02-28,11.1729
2020-02-29,11.1729
2020-03-01,11.1729
2020-03-02,11.4956
2020-03-03,11.4611
2020-03-04,11.6292
2020-03-05,11.0573
2020-03-06,10.8966
2020-03-07,10.8966
2020-03-08,10.8966
2020-03-09,9.9374
2020-03-10,9.9629
2020-03-11,9.9028
2020-03-12,9.7827
2020-03-13,9.8923
2020-03-14,9.8923
2020-03-15,9.8923
2020-03-16,9.6987
2020-03-17,10.4823
2020-03-18,9.9028
2020-03-19,9.4765
2020-03-20,9.1057
2020-03-21,9.1057
2020-03-22,9.1057
2020-03-23,8.903
2020-03-24,9.5215
2020-03-25,9.3579
2020-03-26,9.6071
2020-03-27,9.6882
2020-03-28,9.6882
2020-03-29,9.6882
2020-03-30,10.0019
2020-03-31,10.1445
