,ADP US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,23.6951
2020-01-02,23.6704
2020-01-03,23.621
2020-01-04,23.621
2020-01-05,23.621
2020-01-06,23.6526
2020-01-07,23.37
2020-01-08,23.5867
2020-01-09,23.7925
2020-01-10,23.776
2020-01-11,23.776
2020-01-12,23.776
2020-01-13,23.9503
2020-01-14,23.7952
2020-01-15,24.012
2020-01-16,24.296
2020-01-17,24.569
2020-01-18,24.569
2020-01-19,24.569
2020-01-20,24.569
2020-01-21,24.4771
2020-01-22,24.7693
2020-01-23,24.7007
2020-01-24,24.6156
2020-01-25,24.6156
2020-01-26,24.6156
2020-01-27,24.414
2020-01-28,24.7652
2020-01-29,23.7205
2020-01-30,24.2633
2020-01-31,23.7659
2020-02-01,23.7659
2020-02-02,23.7659
2020-02-03,24.115
2020-02-04,24.386
2020-02-05,24.7556
2020-02-06,24.9801
2020-02-07,24.8213
2020-02-08,24.8213
2020-02-09,24.8213
2020-02-10,24.8569
2020-02-11,24.6666
2020-02-12,24.6748
2020-02-13,24.9596
2020-02-14,25.1156
2020-02-15,25.1156
2020-02-16,25.1156
2020-02-17,25.1156
2020-02-18,24.9349
2020-02-19,25.1156
2020-02-20,25.0499
2020-02-21,24.7501
2020-02-22,24.7501
2020-02-23,24.7501
2020-02-24,24.1971
2020-02-25,23.1896
2020-02-26,23.0733
2020-02-27,21.8687
2020-02-28,21.4867
2020-02-29,21.4867
2020-03-01,21.4867
2020-03-02,22.6174
2020-03-03,21.5552
2020-03-04,22.8077
2020-03-05,22.2985
2020-03-06,22.0904
2020-03-07,22.0904
2020-03-08,22.0904
2020-03-09,20.9638
2020-03-10,21.4429
2020-03-11,20.5655
2020-03-12,18.1385
2020-03-13,20.085
2020-03-14,20.085
2020-03-15,20.085
2020-03-16,17.068
2020-03-17,18.0167
2020-03-18,16.4028
2020-03-19,16.3713
2020-03-20,15.6444
2020-03-21,15.6444
2020-03-22,15.6444
2020-03-23,15.2351
2020-03-24,16.8627
2020-03-25,17.0858
2020-03-26,19.0666
2020-03-27,18.2891
