,CSGS US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,15.2041
2020-01-02,15.3381
2020-01-03,15.3431
2020-01-04,15.3431
2020-01-05,15.3431
2020-01-06,15.2041
2020-01-07,14.9538
2020-01-08,15.0398
2020-01-09,15.2193
2020-01-10,15.1004
2020-01-11,15.1004
2020-01-12,15.1004
2020-01-13,15.4266
2020-01-14,14.9639
2020-01-15,15.0094
2020-01-16,15.1586
2020-01-17,15.06
2020-01-18,15.06
2020-01-19,15.06
2020-01-20,15.06
2020-01-21,14.9488
2020-01-22,15.0663
2020-01-23,15.1738
2020-01-24,15.0069
2020-01-25,15.0069
2020-01-26,15.0069
2020-01-27,14.969
2020-01-28,15.0827
2020-01-29,15.0347
2020-01-30,15.1181
2020-01-31,14.7086
2020-02-01,14.7086
2020-02-02,14.7086
2020-02-03,14.8401
2020-02-04,14.9917
2020-02-05,15.242
2020-02-06,14.9599
2020-02-07,14.7429
2020-02-08,14.7429
2020-02-09,14.7429
2020-02-10,15.0533
2020-02-11,15.1745
2020-02-12,15.1795
2020-02-13,15.283
2020-02-14,15.3158
2020-02-15,15.3158
2020-02-16,15.3158
2020-02-17,15.3158
2020-02-18,15.3133
2020-02-19,15.4243
2020-02-20,15.4344
2020-02-21,15.1515
2020-02-22,15.1515
2020-02-23,15.1515
2020-02-24,14.7683
2020-02-25,14.1508
2020-02-26,14.055
2020-02-27,13.8004
2020-02-28,13.2685
2020-02-29,13.2685
2020-03-01,13.2685
2020-03-02,13.5987
2020-03-03,13.5332
2020-03-04,13.6416
2020-03-05,12.8727
2020-03-06,12.9711
2020-03-07,12.9711
2020-03-08,12.9711
2020-03-09,12.0938
2020-03-10,12.5728
2020-03-11,12.3762
2020-03-12,11.7687
2020-03-13,12.4165
2020-03-14,12.4165
2020-03-15,12.4165
2020-03-16,12.2779
2020-03-17,12.6963
2020-03-18,13.208
2020-03-19,12.535
2020-03-20,11.7636
2020-03-21,11.7636
2020-03-22,11.7636
2020-03-23,11.8418
2020-03-24,12.0006
2020-03-25,12.1543
2020-03-26,12.84
2020-03-27,12.4997
