,ULH US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,11.7366
2020-01-02,11.5999
2020-01-03,11.6455
2020-01-04,11.6455
2020-01-05,11.6455
2020-01-06,11.6667
2020-01-07,11.6637
2020-01-08,11.7335
2020-01-09,11.77
2020-01-10,11.6941
2020-01-11,11.6941
2020-01-12,11.6941
2020-01-13,11.6546
2020-01-14,11.6728
2020-01-15,11.6576
2020-01-16,11.8246
2020-01-17,11.8307
2020-01-18,11.8307
2020-01-19,11.8307
2020-01-20,11.8307
2020-01-21,11.7396
2020-01-22,11.6272
2020-01-23,11.5969
2020-01-24,11.442
2020-01-25,11.442
2020-01-26,11.442
2020-01-27,11.3387
2020-01-28,11.3752
2020-01-29,11.3084
2020-01-30,11.2568
2020-01-31,11.111
2020-02-01,11.111
2020-02-02,11.111
2020-02-03,11.1474
2020-02-04,11.1687
2020-02-05,11.3661
2020-02-06,11.3661
2020-02-07,11.7791
2020-02-08,11.7791
2020-02-09,11.7791
2020-02-10,11.8672
2020-02-11,11.7396
2020-02-12,11.7275
2020-02-13,11.6576
2020-02-14,11.5361
2020-02-15,11.5361
2020-02-16,11.5361
2020-02-17,11.5361
2020-02-18,11.5331
2020-02-19,11.5938
2020-02-20,11.7457
2020-02-21,11.6637
2020-02-22,11.6637
2020-02-23,11.6637
2020-02-24,11.3904
2020-02-25,11.0624
2020-02-26,10.95
2020-02-27,10.8316
2020-02-28,10.6585
2020-02-29,10.6585
2020-03-01,10.6585
2020-03-02,10.6524
2020-03-03,10.5401
2020-03-04,10.6251
2020-03-05,10.4763
2020-03-06,10.6615
2020-03-07,10.6615
2020-03-08,10.6615
2020-03-09,10.2212
2020-03-10,10.2789
2020-03-11,10.039
2020-03-12,9.5561
2020-03-13,9.9357
2020-03-14,9.9357
2020-03-15,9.9357
2020-03-16,9.7747
2020-03-17,10.4024
2020-03-18,9.8233
2020-03-19,9.6171
2020-03-20,9.4534
2020-03-21,9.4534
2020-03-22,9.4534
2020-03-23,9.4958
2020-03-24,9.796
2020-03-25,9.9021
2020-03-26,10.0567
2020-03-27,9.8687
2020-03-28,9.8687
2020-03-29,9.8687
2020-03-30,10.0173
2020-03-31,9.9506
2020-04-01,9.7566
2020-04-02,9.8695
2020-04-03,10.0583
2020-04-04,10.0583
2020-04-05,10.0583
2020-04-06,10.2383
2020-04-07,10.1545
2020-04-08,10.2507
2020-04-09,10.3686
2020-04-10,10.3686
2020-04-11,10.3686
2020-04-12,10.3686
2020-04-13,10.3345
