,MTD US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,28.6506
2020-01-02,29.0518
2020-01-03,28.5233
2020-01-04,28.5233
2020-01-05,28.5233
2020-01-06,28.666
2020-01-07,28.7828
2020-01-08,28.7797
2020-01-09,29.2493
2020-01-10,29.4818
2020-01-11,29.4818
2020-01-12,29.4818
2020-01-13,29.648
2020-01-14,29.9224
2020-01-15,29.5057
2020-01-16,29.9238
2020-01-17,29.9456
2020-01-18,29.9456
2020-01-19,29.9456
2020-01-20,29.9456
2020-01-21,30.0757
2020-01-22,30.0685
2020-01-23,29.9391
2020-01-24,29.5588
2020-01-25,29.5588
2020-01-26,29.5588
2020-01-27,28.8754
2020-01-28,28.8778
2020-01-29,28.9687
2020-01-30,28.0963
2020-01-31,27.4214
2020-02-01,27.4214
2020-02-02,27.4214
2020-02-03,27.4514
2020-02-04,27.7898
2020-02-05,28.1654
2020-02-06,28.148
2020-02-07,28.1102
2020-02-08,28.1102
2020-02-09,28.1102
2020-02-10,27.8957
2020-02-11,27.8698
2020-02-12,27.6273
2020-02-13,27.516
2020-02-14,27.3048
2020-02-15,27.3048
2020-02-16,27.3048
2020-02-17,27.3048
2020-02-18,26.9362
2020-02-19,27.4121
2020-02-20,27.0422
2020-02-21,27.2046
2020-02-22,27.2046
2020-02-23,27.2046
2020-02-24,26.0733
2020-02-25,25.2803
2020-02-26,25.1922
2020-02-27,24.8986
2020-02-28,25.2366
2020-02-29,25.2366
2020-03-01,25.2366
2020-03-02,25.9912
2020-03-03,26.2236
2020-03-04,27.6643
2020-03-05,26.3262
2020-03-06,25.7023
2020-03-07,25.7023
2020-03-08,25.7023
2020-03-09,24.1631
2020-03-10,25.2369
2020-03-11,23.7888
2020-03-12,23.1539
2020-03-13,24.2593
2020-03-14,24.2593
2020-03-15,24.2593
2020-03-16,22.5145
2020-03-17,24.5215
2020-03-18,25.113
2020-03-19,25.8271
2020-03-20,23.2686
2020-03-21,23.2686
2020-03-22,23.2686
2020-03-23,21.4007
2020-03-24,23.2823
2020-03-25,23.107
2020-03-26,23.743
2020-03-27,23.7266
2020-03-28,23.7266
2020-03-29,23.7266
2020-03-30,24.6191
2020-03-31,25.294
2020-04-01,24.1265
2020-04-02,24.1037
2020-04-03,23.2523
2020-04-04,23.2523
2020-04-05,23.2523
2020-04-06,25.7059
2020-04-07,25.9406
2020-04-08,27.0137
2020-04-09,26.5514
2020-04-10,26.5514
2020-04-11,26.5514
2020-04-12,26.5514
2020-04-13,25.3032
2020-04-14,26.0183
2020-04-15,25.3775
2020-04-16,25.4766
2020-04-17,26.3297
2020-04-18,26.3297
2020-04-19,26.3297
2020-04-20,25.8772
2020-04-21,25.0528
2020-04-22,25.7604
2020-04-23,25.7297
2020-04-24,26.0731
2020-04-25,26.0731
2020-04-26,26.0731
2020-04-27,26.8185
2020-04-28,25.6166
2020-04-29,26.933
2020-04-30,26.2966
2020-05-01,25.248
2020-05-02,25.248
2020-05-03,25.248
2020-05-04,25.3069
2020-05-05,25.9488
2020-05-06,26.1481
2020-05-07,26.7327
2020-05-08,26.2094
2020-05-09,26.2094
2020-05-10,26.2094
2020-05-11,26.1197
2020-05-12,25.2075
2020-05-13,25.235
2020-05-14,25.1891
2020-05-15,25.5006
2020-05-16,25.5006
2020-05-17,25.5006
2020-05-18,26.1798
2020-05-19,26.0222
2020-05-20,26.7525
2020-05-21,26.3259
2020-05-22,27.1855
2020-05-23,27.1855
2020-05-24,27.1855
2020-05-25,27.1855
2020-05-26,27.7863
2020-05-27,28.5441
2020-05-28,28.683
2020-05-29,28.7713
2020-05-30,28.7713
2020-05-31,28.7713
2020-06-01,29.0576
2020-06-02,29.7427
2020-06-03,30.2318
2020-06-04,30.3221
2020-06-05,30.9633
2020-06-06,30.9633
2020-06-07,30.9633
2020-06-08,30.5938
2020-06-09,29.4669
2020-06-10,29.3694
2020-06-11,27.6359
2020-06-12,27.7327
2020-06-13,27.7327
2020-06-14,27.7327
2020-06-15,28.0509
2020-06-16,28.3994
2020-06-17,28.3423
2020-06-18,28.3549
2020-06-19,28.7794
2020-06-20,28.7794
2020-06-21,28.7794
2020-06-22,28.4371
2020-06-23,28.8732
2020-06-24,28.3991
2020-06-25,28.4446
2020-06-26,28.0003
2020-06-27,28.0003
2020-06-28,28.0003
2020-06-29,28.4398
2020-06-30,28.9098
2020-07-01,28.884
2020-07-02,29.2209
2020-07-03,29.2209
2020-07-04,29.2209
2020-07-05,29.2209
2020-07-06,29.5183
2020-07-07,29.3691
2020-07-08,29.3395
2020-07-09,29.759
2020-07-10,29.3738
2020-07-11,29.3738
2020-07-12,29.3738
2020-07-13,29.5367
