,HZNP US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,56.1388
2020-01-02,56.4051
2020-01-03,55.9909
2020-01-04,55.9909
2020-01-05,55.9909
2020-01-06,56.1684
2020-01-07,56.3903
2020-01-08,56.1093
2020-01-09,56.2572
2020-01-10,56.7306
2020-01-11,56.7306
2020-01-12,56.7306
2020-01-13,59.1863
2020-01-14,59.3934
2020-01-15,58.417
2020-01-16,59.2307
2020-01-17,59.3934
2020-01-18,59.3934
2020-01-19,59.3934
2020-01-20,59.3934
2020-01-21,59.1715
2020-01-22,59.6301
2020-01-23,57.4851
2020-01-24,55.9317
2020-01-25,55.9317
2020-01-26,55.9317
2020-01-27,55.8874
2020-01-28,56.3755
2020-01-29,55.6507
2020-01-30,54.3636
2020-01-31,53.6091
2020-02-01,53.6091
2020-02-02,53.6091
2020-02-03,53.2245
2020-02-04,53.9494
2020-02-05,55.2068
2020-02-06,54.7926
2020-02-07,54.8666
2020-02-08,54.8666
2020-02-09,54.8666
2020-02-10,56.0945
2020-02-11,56.2868
2020-02-12,56.4347
2020-02-13,55.6063
2020-02-14,55.7394
2020-02-15,55.7394
2020-02-16,55.7394
2020-02-17,55.7394
2020-02-18,55.3844
2020-02-19,55.9317
2020-02-20,55.9021
2020-02-21,55.1033
2020-02-22,55.1033
2020-02-23,55.1033
2020-02-24,53.6239
2020-02-25,52.7067
2020-02-26,55.2883
2020-02-27,53.6831
2020-02-28,53.9231
2020-02-29,53.9231
2020-03-01,53.9231
2020-03-02,55.3933
2020-03-03,54.1781
2020-03-04,57.8386
2020-03-05,56.6685
2020-03-06,55.2133
2020-03-07,55.2133
2020-03-08,55.2133
2020-03-09,50.9772
2020-03-10,50.9922
2020-03-11,48.409
2020-03-12,43.0472
2020-03-13,46.2012
2020-03-14,46.2012
2020-03-15,46.2012
2020-03-16,41.9058
2020-03-17,43.678
2020-03-18,40.8244
2020-03-19,42.056
2020-03-20,40.1486
2020-03-21,40.1486
2020-03-22,40.1486
2020-03-23,39.9383
2020-03-24,43.1824
2020-03-25,45.0297
2020-03-26,45.24
2020-03-27,43.9333
2020-03-28,43.9333
2020-03-29,43.9333
2020-03-30,46.6668
2020-03-31,56.1671
2020-04-01,57.1441
2020-04-02,59.9561
2020-04-03,59.1405
2020-04-04,59.1405
2020-04-05,59.1405
2020-04-06,60.143
2020-04-07,58.1041
2020-04-08,58.8857
2020-04-09,58.5628
2020-04-10,58.5628
2020-04-11,58.5628
2020-04-12,58.5628
2020-04-13,57.7303
2020-04-14,59.4634
2020-04-15,60.126
2020-04-16,61.6212
2020-04-17,63.2863
2020-04-18,63.2863
2020-04-19,63.2863
2020-04-20,63.6262
2020-04-21,61.2134
2020-04-22,63.3543
2020-04-23,62.7936
2020-04-24,62.4028
2020-04-25,62.4028
2020-04-26,62.4028
2020-04-27,64.7646
2020-04-28,63.0485
2020-04-29,65.7331
2020-04-30,67.0754
2020-05-01,66.3617
2020-05-02,66.3617
2020-05-03,66.3617
2020-05-04,67.5086
2020-05-05,69.3522
2020-05-06,78.4585
2020-05-07,77.4868
2020-05-08,79.8904
2020-05-09,79.8904
2020-05-10,79.8904
2020-05-11,83.402
2020-05-12,84.5612
2020-05-13,83.027
2020-05-14,82.2088
2020-05-15,86.0784
2020-05-16,86.0784
2020-05-17,86.0784
2020-05-18,84.5697
2020-05-19,84.6124
2020-05-20,86.7261
2020-05-21,87.5444
2020-05-22,90.323
2020-05-23,90.323
2020-05-24,90.323
2020-05-25,90.323
2020-05-26,89.9139
2020-05-27,89.5389
2020-05-28,88.9422
2020-05-29,92.3175
2020-05-30,92.3175
2020-05-31,92.3175
2020-06-01,90.8855
2020-06-02,91.6697
2020-06-03,89.0615
2020-06-04,86.9478
2020-06-05,87.8683
2020-06-06,87.8683
2020-06-07,87.8683
2020-06-08,89.3854
2020-06-09,87.9365
2020-06-10,88.678
2020-06-11,84.2544
2020-06-12,84.3737
2020-06-13,84.3737
2020-06-14,84.3737
2020-06-15,86.0784
2020-06-16,87.3569
2020-06-17,87.9194
2020-06-18,88.3967
2020-06-19,91.0219
2020-06-20,91.0219
2020-06-21,91.0219
2020-06-22,95.3688
2020-06-23,96.8519
2020-06-24,99.5964
2020-06-25,102.9717
2020-06-26,99.7328
2020-06-27,99.7328
2020-06-28,99.7328
2020-06-29,100.0737
2020-06-30,89.1264
2020-07-01,88.5908
2020-07-02,88.6061
2020-07-03,88.6061
2020-07-04,88.6061
2020-07-05,88.6061
2020-07-06,92.9981
2020-07-07,91.7432
2020-07-08,93.9928
2020-07-09,92.8298
2020-07-10,91.6514
2020-07-11,91.6514
2020-07-12,91.6514
2020-07-13,89.5396
2020-07-14,90.0293
2020-07-15,91.177
2020-07-16,91.3913
2020-07-17,92.6461
2020-07-18,92.6461
2020-07-19,92.6461
2020-07-20,94.0693
2020-07-21,93.2276
2020-07-22,95.9669
2020-07-23,93.9928
2020-07-24,93.549
2020-07-25,93.549
2020-07-26,93.549
2020-07-27,94.207
2020-07-28,94.7885
2020-07-29,96.4872
2020-07-30,98.9969
2020-07-31,97.7114
2020-08-01,97.7114
2020-08-02,97.7114
2020-08-03,100.5884
2020-08-04,98.6296
2020-08-05,130.5646
2020-08-06,123.6753
2020-08-07,132.7654
2020-08-08,132.7654
2020-08-09,132.7654
2020-08-10,132.3931
2020-08-11,126.626
2020-08-12,132.4797
2020-08-13,132.0555
2020-08-14,132.7802
2020-08-15,132.7802
2020-08-16,132.7802
2020-08-17,135.9793
2020-08-18,133.3988
