,BJRI US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,17.5451
2020-01-02,17.5957
2020-01-03,17.5603
2020-01-04,17.5603
2020-01-05,17.5603
2020-01-06,17.8462
2020-01-07,17.8184
2020-01-08,17.9348
2020-01-09,18.0588
2020-01-10,17.9525
2020-01-11,17.9525
2020-01-12,17.9525
2020-01-13,17.7754
2020-01-14,17.7956
2020-01-15,17.7829
2020-01-16,18.0512
2020-01-17,17.931
2020-01-18,17.931
2020-01-19,17.931
2020-01-20,17.931
2020-01-21,17.7779
2020-01-22,17.912
2020-01-23,17.8234
2020-01-24,18.1499
2020-01-25,18.1499
2020-01-26,18.1499
2020-01-27,17.9753
2020-01-28,17.9626
2020-01-29,18.365
2020-01-30,18.117
2020-01-31,18.0056
2020-02-01,18.0056
2020-02-02,18.0056
2020-02-03,17.9474
2020-02-04,18.1296
2020-02-05,18.5396
2020-02-06,18.7345
2020-02-07,18.5346
2020-02-08,18.5346
2020-02-09,18.5346
2020-02-10,18.6636
2020-02-11,18.5675
2020-02-12,18.4384
2020-02-13,18.3296
2020-02-14,18.5852
2020-02-15,18.5852
2020-02-16,18.5852
2020-02-17,18.5852
2020-02-18,18.6181
2020-02-19,18.8458
2020-02-20,19.0002
2020-02-21,17.7627
2020-02-22,17.7627
2020-02-23,17.7627
2020-02-24,17.4793
2020-02-25,17.1552
2020-02-26,16.843
2020-02-27,16.0587
2020-02-28,16.3024
2020-02-29,16.3024
2020-03-01,16.3024
2020-03-02,16.5131
2020-03-03,16.1526
2020-03-04,16.2897
2020-03-05,15.2617
2020-03-06,15.4622
2020-03-07,15.4622
2020-03-08,15.4622
2020-03-09,14.4469
2020-03-10,14.3606
2020-03-11,13.3681
2020-03-12,12.5965
2020-03-13,13.0889
2020-03-14,13.0889
2020-03-15,13.0889
2020-03-16,11.208
2020-03-17,10.6242
2020-03-18,9.5987
2020-03-19,10.0201
2020-03-20,10.0201
2020-03-21,10.0201
2020-03-22,10.0201
2020-03-23,10.3704
2020-03-24,11.2283
2020-03-25,11.3324
2020-03-26,11.8578
2020-03-27,11.4238
2020-03-28,11.4238
2020-03-29,11.4238
2020-03-30,11.1776
2020-03-31,16.5664
2020-04-01,15.7835
2020-04-02,15.656
2020-04-03,15.8047
2020-04-04,15.8047
2020-04-05,15.8047
2020-04-06,16.5522
2020-04-07,17.0021
2020-04-08,17.6397
2020-04-09,18.0577
