,SYNA US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,3797.7316
2020-01-02,3825.0607
2020-01-03,3933.2616
2020-01-04,3933.2616
2020-01-05,3933.2616
2020-01-06,4022.4994
2020-01-07,3894.7778
2020-01-08,3999.0744
2020-01-09,3976.765
2020-01-10,3907.6057
2020-01-11,3907.6057
2020-01-12,3907.6057
2020-01-13,3999.0744
2020-01-14,3973.4186
2020-01-15,3983.4578
2020-01-16,4118.43
2020-01-17,4171.1361
2020-01-18,4171.1361
2020-01-19,4171.1361
2020-01-20,4171.1361
2020-01-21,4105.6021
2020-01-22,4270.692
2020-01-23,4272.3652
2020-01-24,4101.1402
2020-01-25,4101.1402
2020-01-26,4101.1402
2020-01-27,3956.6865
2020-01-28,4033.6541
2020-01-29,3934.9348
2020-01-30,3972.8608
2020-01-31,3849.0434
2020-02-01,3849.0434
2020-02-02,3849.0434
2020-02-03,3954.4555
2020-02-04,4011.3446
2020-02-05,4039.7892
2020-02-06,4094.871
2020-02-07,4911.1378
2020-02-08,4911.1378
2020-02-09,4911.1378
2020-02-10,4798.5688
2020-02-11,4745.9612
2020-02-12,4780.4672
2020-02-13,4736.9104
2020-02-14,4731.8193
2020-02-15,4731.8193
2020-02-16,4731.8193
2020-02-17,4731.8193
2020-02-18,4576.8248
2020-02-19,4641.8772
2020-02-20,4528.1769
2020-02-21,4437.6691
2020-02-22,4437.6691
2020-02-23,4437.6691
2020-02-24,4163.8832
2020-02-25,4149.1757
2020-02-26,4047.6373
2020-02-27,3776.3968
2020-02-28,3865.7732
2020-02-29,3865.7732
2020-03-01,3865.7732
2020-03-02,4072.8097
2020-03-03,4063.759
2020-03-04,4256.0879
2020-03-05,4105.0531
2020-03-06,3973.8169
2020-03-07,3973.8169
2020-03-08,3973.8169
2020-03-09,3864.0762
2020-03-10,3994.1811
2020-03-11,3772.4371
2020-03-12,3356.1015
2020-03-13,3523.5408
2020-03-14,3523.5408
2020-03-15,3523.5408
2020-03-16,3190.9248
2020-03-17,3426.8106
2020-03-18,2865.0969
2020-03-19,2875.279
2020-03-20,2819.843
2020-03-21,2819.843
2020-03-22,2819.843
2020-03-23,2914.3105
2020-03-24,3204.501
2020-03-25,3130.9634
2020-03-26,3466.9735
2020-03-27,3459.054
2020-03-28,3459.054
2020-03-29,3459.054
2020-03-30,3503.7422
2020-03-31,85.3774
2020-04-01,81.3307
2020-04-02,79.5321
2020-04-03,79.8947
2020-04-04,79.8947
2020-04-05,79.8947
2020-04-06,88.5539
2020-04-07,86.2912
2020-04-08,89.9463
2020-04-09,84.7537
2020-04-10,84.7537
2020-04-11,84.7537
2020-04-12,84.7537
2020-04-13,85.595
2020-04-14,91.6723
2020-04-15,86.9729
2020-04-16,89.6707
2020-04-17,87.8577
2020-04-18,87.8577
2020-04-19,87.8577
2020-04-20,87.5966
2020-04-21,84.4636
2020-04-22,89.8013
2020-04-23,90.1349
2020-04-24,93.4419
2020-04-25,93.4419
2020-04-26,93.4419
2020-04-27,97.1695
2020-04-28,96.7199
2020-04-29,102.6377
2020-04-30,96.2848
2020-05-01,92.9197
2020-05-02,92.9197
2020-05-03,92.9197
2020-05-04,91.2662
2020-05-05,95.1824
2020-05-06,97.6047
2020-05-07,101.8164
2020-05-08,99.4892
2020-05-09,99.4892
2020-05-10,99.4892
2020-05-11,97.6856
2020-05-12,96.3474
2020-05-13,93.7438
2020-05-14,95.1256
2020-05-15,87.1985
2020-05-16,87.1985
2020-05-17,87.1985
2020-05-18,91.4021
2020-05-19,89.5257
2020-05-20,95.1838
2020-05-21,92.2166
2020-05-22,93.802
2020-05-23,93.802
2020-05-24,93.802
2020-05-25,93.802
2020-05-26,94.0493
2020-05-27,94.7911
2020-05-28,92.0857
2020-05-29,94.122
2020-05-30,94.122
2020-05-31,94.122
2020-06-01,92.9002
2020-06-02,99.0383
2020-06-03,100.5219
2020-06-04,99.6928
2020-06-05,106.5436
2020-06-06,106.5436
2020-06-07,106.5436
2020-06-08,102.0346
2020-06-09,102.5582
2020-06-10,99.0528
2020-06-11,92.2457
2020-06-12,92.5075
2020-06-13,92.5075
2020-06-14,92.5075
2020-06-15,93.2784
2020-06-16,95.402
2020-06-17,94.2238
2020-06-18,92.2748
2020-06-19,90.9803
2020-06-20,90.9803
2020-06-21,90.9803
2020-06-22,92.3475
2020-06-23,91.3003
2020-06-24,87.9258
2020-06-25,88.4203
2020-06-26,83.2713
2020-06-27,83.2713
2020-06-28,83.2713
2020-06-29,86.7912
2020-06-30,27.4387
2020-07-01,26.7965
2020-07-02,27.004
2020-07-03,27.004
2020-07-04,27.004
2020-07-05,27.004
2020-07-06,27.6412
