,CIR US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,-41.5789
2020-01-02,-41.773
2020-01-03,-41.529
2020-01-04,-41.529
2020-01-05,-41.529
2020-01-06,-41.1298
2020-01-07,-40.6862
2020-01-08,-40.4312
2020-01-09,-40.4866
2020-01-10,-39.9266
2020-01-11,-39.9266
2020-01-12,-39.9266
2020-01-13,-40.7916
2020-01-14,-40.3092
2020-01-15,-40.2981
2020-01-16,-40.7916
2020-01-17,-40.7195
2020-01-18,-40.7195
2020-01-19,-40.7195
2020-01-20,-40.7195
2020-01-21,-40.4478
2020-01-22,-40.7583
2020-01-23,-40.8304
2020-01-24,-40.5199
2020-01-25,-40.5199
2020-01-26,-40.5199
2020-01-27,-40.0153
2020-01-28,-40.2925
2020-01-29,-40.0264
2020-01-30,-40.0486
2020-01-31,-38.9673
2020-02-01,-38.9673
2020-02-02,-38.9673
2020-02-03,-39.2723
2020-02-04,-39.788
2020-02-05,-40.4755
2020-02-06,-40.3036
2020-02-07,-40.1927
2020-02-08,-40.1927
2020-02-09,-40.1927
2020-02-10,-40.4201
2020-02-11,-40.7139
2020-02-12,-40.6474
2020-02-13,-40.8137
2020-02-14,-41.0189
2020-02-15,-41.0189
2020-02-16,-41.0189
2020-02-17,-41.0189
2020-02-18,-40.5975
2020-02-19,-40.1539
2020-02-20,-39.7602
2020-02-21,-40.2593
2020-02-22,-40.2593
2020-02-23,-40.2593
2020-02-24,-38.618
2020-02-25,-37.6089
2020-02-26,-37.2207
2020-02-27,-36.3835
2020-02-28,-35.89
2020-02-29,-35.89
2020-03-01,-35.89
2020-03-02,-36.8603
2020-03-03,-36.3613
2020-03-04,-36.4667
2020-03-05,-36.0064
2020-03-06,-34.1878
2020-03-07,-34.1878
2020-03-08,-34.1878
2020-03-09,-31.5706
2020-03-10,-31.0882
2020-03-11,-30.0458
2020-03-12,-27.1016
2020-03-13,-27.4287
2020-03-14,-27.4287
2020-03-15,-27.4287
2020-03-16,-24.6508
2020-03-17,-23.3145
2020-03-18,-20.9414
2020-03-19,-22.0281
2020-03-20,-21.3683
2020-03-21,-21.3683
2020-03-22,-21.3683
2020-03-23,-21.4903
2020-03-24,-22.0614
2020-03-25,-22.9929
2020-03-26,-23.6084
2020-03-27,-23.6084
2020-03-28,-23.6084
2020-03-29,-23.6084
2020-03-30,-23.6084
2020-03-31,-23.6084
2020-04-01,-23.6084
2020-04-02,-23.6084
2020-04-03,-23.6084
2020-04-04,-23.6084
2020-04-05,-23.6084
2020-04-06,-23.6084
2020-04-07,-23.6084
2020-04-08,-23.6084
2020-04-09,-23.6084
2020-04-10,-23.6084
2020-04-11,-23.6084
2020-04-12,-23.6084
2020-04-13,-23.6084
2020-04-14,-23.6084
2020-04-15,-23.6084
2020-04-16,-23.6084
2020-04-17,-23.6084
2020-04-18,-23.6084
2020-04-19,-23.6084
2020-04-20,-23.6084
2020-04-21,-23.6084
2020-04-22,-23.6084
2020-04-23,-23.6084
2020-04-24,-23.6084
2020-04-25,-23.6084
2020-04-26,-23.6084
2020-04-27,-23.6084
2020-04-28,-23.6084
2020-04-29,-23.6084
2020-04-30,-23.6084
2020-05-01,-23.6084
2020-05-02,-23.6084
2020-05-03,-23.6084
