,ECVT US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,28.3858
2020-01-02,28.0712
2020-01-03,27.9139
2020-01-04,27.9139
2020-01-05,27.9139
2020-01-06,27.9046
2020-01-07,27.7751
2020-01-08,27.6363
2020-01-09,27.5253
2020-01-10,27.442
2020-01-11,27.442
2020-01-12,27.442
2020-01-13,27.8029
2020-01-14,27.8491
2020-01-15,27.8121
2020-01-16,27.8954
2020-01-17,27.9324
2020-01-18,27.9324
2020-01-19,27.9324
2020-01-20,27.9324
2020-01-21,27.5716
2020-01-22,27.3865
2020-01-23,27.4328
2020-01-24,27.3125
2020-01-25,27.3125
2020-01-26,27.3125
2020-01-27,27.1645
2020-01-28,27.072
2020-01-29,26.8592
2020-01-30,26.8684
2020-01-31,26.6556
2020-02-01,26.6556
2020-02-02,26.6556
2020-02-03,27.183
2020-02-04,27.4791
2020-02-05,27.7104
2020-02-06,27.6919
2020-02-07,27.4976
2020-02-08,27.4976
2020-02-09,27.4976
2020-02-10,27.2478
2020-02-11,26.8129
2020-02-12,26.6186
2020-02-13,26.4521
2020-02-14,26.5539
2020-02-15,26.5539
2020-02-16,26.5539
2020-02-17,26.5539
2020-02-18,26.5539
2020-02-19,26.5261
2020-02-20,26.5261
2020-02-21,26.5909
2020-02-22,26.5909
2020-02-23,26.5909
2020-02-24,25.9432
2020-02-25,25.2401
2020-02-26,25.4066
2020-02-27,24.5554
2020-02-28,24.7966
2020-02-29,24.7966
2020-03-01,24.7966
2020-03-02,24.4906
2020-03-03,23.8693
2020-03-04,23.8971
2020-03-05,23.2943
2020-03-06,23.2201
2020-03-07,23.2201
2020-03-08,23.2201
2020-03-09,21.6715
2020-03-10,21.6715
2020-03-11,21.6344
2020-03-12,20.605
2020-03-13,21.4211
2020-03-14,21.4211
2020-03-15,21.4211
2020-03-16,21.2449
2020-03-17,21.7179
2020-03-18,20.9389
2020-03-19,22.1352
2020-03-20,21.2264
2020-03-21,21.2264
2020-03-22,21.2264
2020-03-23,21.3469
2020-03-24,22.571
2020-03-25,22.6916
2020-03-26,23.4242
2020-03-27,22.469
2020-03-28,22.469
2020-03-29,22.469
2020-03-30,22.367
2020-03-31,26.2231
2020-04-01,25.9917
2020-04-02,26.1916
2020-04-03,25.4446
2020-04-04,25.4446
2020-04-05,25.4446
2020-04-06,26.3809
2020-04-07,26.0653
2020-04-08,26.3283
2020-04-09,26.8544
2020-04-10,26.8544
2020-04-11,26.8544
2020-04-12,26.8544
2020-04-13,26.5598
2020-04-14,26.644
2020-04-15,25.3183
2020-04-16,24.4556
2020-04-17,25.4761
2020-04-18,25.4761
2020-04-19,25.4761
2020-04-20,25.2552
2020-04-21,24.9711
2020-04-22,24.9922
2020-04-23,25.4341
2020-04-24,26.0232
2020-04-25,26.0232
2020-04-26,26.0232
2020-04-27,26.402
2020-04-28,26.4651
2020-04-29,27.4435
2020-04-30,27.0858
2020-05-01,26.423
2020-05-02,26.423
2020-05-03,26.423
2020-05-04,26.4125
2020-05-05,26.423
2020-05-06,26.2862
2020-05-07,26.3178
2020-05-08,26.9385
2020-05-09,26.9385
2020-05-10,26.9385
2020-05-11,26.4691
2020-05-12,25.8703
2020-05-13,25.6287
2020-05-14,25.8178
2020-05-15,26.1435
2020-05-16,26.1435
2020-05-17,26.1435
2020-05-18,26.6162
2020-05-19,26.3536
2020-05-20,27.068
2020-05-21,27.0259
2020-05-22,27.0049
2020-05-23,27.0049
2020-05-24,27.0049
2020-05-25,27.0049
2020-05-26,27.5092
2020-05-27,28.066
2020-05-28,27.7298
2020-05-29,27.9399
2020-05-30,27.9399
2020-05-31,27.9399
2020-06-01,27.9819
2020-06-02,28.4547
2020-06-03,28.8014
2020-06-04,28.6858
2020-06-05,29.8414
2020-06-06,29.8414
2020-06-07,29.8414
2020-06-08,30.2406
2020-06-09,29.6208
2020-06-10,28.9274
2020-06-11,27.6773
2020-06-12,28.2971
2020-06-13,28.2971
2020-06-14,28.2971
2020-06-15,28.4022
2020-06-16,28.4337
2020-06-17,27.9925
2020-06-18,28.0555
2020-06-19,28.4127
2020-06-20,28.4127
2020-06-21,28.4127
2020-06-22,28.2341
2020-06-23,28.3496
2020-06-24,27.8664
2020-06-25,28.3076
2020-06-26,28.0345
2020-06-27,28.0345
2020-06-28,28.0345
2020-06-29,28.6123
2020-06-30,52.9
2020-07-01,52.5269
