,CAKE US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,20.5615
2020-01-02,20.5922
2020-01-03,20.5308
2020-01-04,20.5308
2020-01-05,20.5308
2020-01-06,20.799
2020-01-07,20.7068
2020-01-08,20.7795
2020-01-09,20.8074
2020-01-10,20.7236
2020-01-11,20.7236
2020-01-12,20.7236
2020-01-13,20.7124
2020-01-14,20.7571
2020-01-15,20.6789
2020-01-16,21.0254
2020-01-17,20.5559
2020-01-18,20.5559
2020-01-19,20.5559
2020-01-20,20.5559
2020-01-21,20.7208
2020-01-22,20.6258
2020-01-23,20.7711
2020-01-24,20.7348
2020-01-25,20.7348
2020-01-26,20.7348
2020-01-27,20.4553
2020-01-28,20.4805
2020-01-29,20.5825
2020-01-30,20.5978
2020-01-31,20.433
2020-02-01,20.433
2020-02-02,20.433
2020-02-03,20.3016
2020-02-04,20.5839
2020-02-05,20.8801
2020-02-06,20.9947
2020-02-07,20.7432
2020-02-08,20.7432
2020-02-09,20.7432
2020-02-10,20.9695
2020-02-11,20.8969
2020-02-12,20.9164
2020-02-13,20.8661
2020-02-14,20.9667
2020-02-15,20.9667
2020-02-16,20.9667
2020-02-17,20.9667
2020-02-18,20.9248
2020-02-19,21.126
2020-02-20,21.5089
2020-02-21,21.4753
2020-02-22,21.4753
2020-02-23,21.4753
2020-02-24,21.3608
2020-02-25,20.5503
2020-02-26,19.9523
2020-02-27,19.5107
2020-02-28,19.6589
2020-02-29,19.6589
2020-03-01,19.6589
2020-03-02,19.7734
2020-03-03,19.385
2020-03-04,19.7092
2020-03-05,18.5103
2020-03-06,18.4879
2020-03-07,18.4879
2020-03-08,18.4879
2020-03-09,17.8089
2020-03-10,17.7362
2020-03-11,16.7469
2020-03-12,15.7486
2020-03-13,16.3201
2020-03-14,16.3201
2020-03-15,16.3201
2020-03-16,14.4621
2020-03-17,14.9689
2020-03-18,15.5713
2020-03-19,15.4756
2020-03-20,14.1609
2020-03-21,14.1609
2020-03-22,14.1609
2020-03-23,14.1243
2020-03-24,15.1124
2020-03-25,15.0139
2020-03-26,15.2363
2020-03-27,14.2566
2020-03-28,14.2566
2020-03-29,14.2566
2020-03-30,14.3467
2020-03-31,14.3467
2020-04-01,14.3467
2020-04-02,14.3467
2020-04-03,14.3467
2020-04-04,14.3467
2020-04-05,14.3467
2020-04-06,14.3467
2020-04-07,14.3467
2020-04-08,14.3467
2020-04-09,14.3467
2020-04-10,14.3467
2020-04-11,14.3467
2020-04-12,14.3467
2020-04-13,14.3467
2020-04-14,14.3467
2020-04-15,14.3467
2020-04-16,14.3467
2020-04-17,14.3467
2020-04-18,14.3467
2020-04-19,14.3467
2020-04-20,14.3467
2020-04-21,14.3467
2020-04-22,14.3467
2020-04-23,14.3467
2020-04-24,14.3467
2020-04-25,14.3467
2020-04-26,14.3467
2020-04-27,14.3467
2020-04-28,14.3467
2020-04-29,14.3467
2020-04-30,14.3467
2020-05-01,14.3467
2020-05-02,14.3467
2020-05-03,14.3467
2020-05-04,14.3467
2020-05-05,14.3467
2020-05-06,14.3467
2020-05-07,14.3467
2020-05-08,14.3467
2020-05-09,14.3467
2020-05-10,14.3467
2020-05-11,14.3467
2020-05-12,14.3467
2020-05-13,14.3467
2020-05-14,14.3467
2020-05-15,14.3467
2020-05-16,14.3467
2020-05-17,14.3467
2020-05-18,14.3467
2020-05-19,14.3467
2020-05-20,14.3467
2020-05-21,14.3467
2020-05-22,14.3467
2020-05-23,14.3467
2020-05-24,14.3467
2020-05-25,14.3467
2020-05-26,14.3467
2020-05-27,14.3467
2020-05-28,14.3467
2020-05-29,14.3467
2020-05-30,14.3467
2020-05-31,14.3467
2020-06-01,14.3467
2020-06-02,14.3467
2020-06-03,14.3467
2020-06-04,14.3467
2020-06-05,14.3467
2020-06-06,14.3467
2020-06-07,14.3467
2020-06-08,14.3467
2020-06-09,14.3467
2020-06-10,14.3467
2020-06-11,14.3467
2020-06-12,14.3467
2020-06-13,14.3467
2020-06-14,14.3467
2020-06-15,14.3467
2020-06-16,14.3467
2020-06-17,14.3467
2020-06-18,14.3467
2020-06-19,14.3467
2020-06-20,14.3467
2020-06-21,14.3467
2020-06-22,14.3467
2020-06-23,14.3467
2020-06-24,14.3467
2020-06-25,14.3467
2020-06-26,14.3467
2020-06-27,14.3467
2020-06-28,14.3467
2020-06-29,14.3467
2020-06-30,14.3467
2020-07-01,14.3467
2020-07-02,14.3467
2020-07-03,14.3467
2020-07-04,14.3467
2020-07-05,14.3467
2020-07-06,14.3467
2020-07-07,14.3467
2020-07-08,14.3467
2020-07-09,14.3467
2020-07-10,14.3467
2020-07-11,14.3467
2020-07-12,14.3467
2020-07-13,14.3467
2020-07-14,14.3467
2020-07-15,14.3467
2020-07-16,14.3467
2020-07-17,14.3467
2020-07-18,14.3467
2020-07-19,14.3467
2020-07-20,14.3467
2020-07-21,14.3467
2020-07-22,14.3467
2020-07-23,14.3467
2020-07-24,14.3467
2020-07-25,14.3467
2020-07-26,14.3467
2020-07-27,14.3467
2020-07-28,14.3467
2020-07-29,14.3467
2020-07-30,14.3467
2020-07-31,14.3467
2020-08-01,14.3467
2020-08-02,14.3467
2020-08-03,14.3467
2020-08-04,14.3467
2020-08-05,14.3467
2020-08-06,14.3467
2020-08-07,14.3467
2020-08-08,14.3467
2020-08-09,14.3467
2020-08-10,14.3467
2020-08-11,14.3467
2020-08-12,14.3467
2020-08-13,14.3467
2020-08-14,14.3467
2020-08-15,14.3467
2020-08-16,14.3467
2020-08-17,14.3467
2020-08-18,14.3467
2020-08-19,14.3467
2020-08-20,14.3467
2020-08-21,14.3467
2020-08-22,14.3467
2020-08-23,14.3467
2020-08-24,14.3467
2020-08-25,14.3467
2020-08-26,14.3467
2020-08-27,14.3467
2020-08-28,14.3467
2020-08-29,14.3467
2020-08-30,14.3467
2020-08-31,14.3467
2020-09-01,14.3467
2020-09-02,14.3467
2020-09-03,14.3467
2020-09-04,14.3467
2020-09-05,14.3467
2020-09-06,14.3467
2020-09-07,14.3467
2020-09-08,14.3467
2020-09-09,14.3467
2020-09-10,14.3467
2020-09-11,14.3467
2020-09-12,14.3467
2020-09-13,14.3467
2020-09-14,14.3467
2020-09-15,14.3467
2020-09-16,14.3467
2020-09-17,14.3467
2020-09-18,14.3467
2020-09-19,14.3467
2020-09-20,14.3467
2020-09-21,14.3467
2020-09-22,14.3467
2020-09-23,14.3467
2020-09-24,14.3467
2020-09-25,14.3467
2020-09-26,14.3467
2020-09-27,14.3467
2020-09-28,14.3467
2020-09-29,14.3467
2020-09-30,14.3467
2020-10-01,14.3467
2020-10-02,14.3467
2020-10-03,14.3467
2020-10-04,14.3467
2020-10-05,14.3467
2020-10-06,14.3467
2020-10-07,14.3467
2020-10-08,14.3467
2020-10-09,14.3467
2020-10-10,14.3467
2020-10-11,14.3467
2020-10-12,14.3467
2020-10-13,14.3467
2020-10-14,14.3467
2020-10-15,14.3467
2020-10-16,14.3467
2020-10-17,14.3467
2020-10-18,14.3467
2020-10-19,14.3467
2020-10-20,14.3467
2020-10-21,14.3467
2020-10-22,14.3467
2020-10-23,14.3467
2020-10-24,14.3467
2020-10-25,14.3467
2020-10-26,14.3467
2020-10-27,14.3467
2020-10-28,14.3467
2020-10-29,14.3467
2020-10-30,14.3467
2020-10-31,14.3467
2020-11-01,14.3467
2020-11-02,14.3467
2020-11-03,14.3467
2020-11-04,14.3467
2020-11-05,14.3467
2020-11-06,14.3467
2020-11-07,14.3467
2020-11-08,14.3467
2020-11-09,14.3467
2020-11-10,14.3467
2020-11-11,14.3467
2020-11-12,14.3467
2020-11-13,14.3467
