,BWA US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,7.8945
2020-01-02,7.9846
2020-01-03,7.7332
2020-01-04,7.7332
2020-01-05,7.7332
2020-01-06,7.7047
2020-01-07,7.7458
2020-01-08,7.7869
2020-01-09,7.6652
2020-01-10,7.5845
2020-01-11,7.5845
2020-01-12,7.5845
2020-01-13,7.5782
2020-01-14,7.6335
2020-01-15,7.5639
2020-01-16,7.6572
2020-01-17,7.6019
2020-01-18,7.6019
2020-01-19,7.6019
2020-01-20,7.6019
2020-01-21,7.439
2020-01-22,7.4058
2020-01-23,7.4485
2020-01-24,7.2397
2020-01-25,7.2397
2020-01-26,7.2397
2020-01-27,7.1005
2020-01-28,6.6371
2020-01-29,6.6127
2020-01-30,6.5763
2020-01-31,6.4546
2020-02-01,6.4546
2020-02-02,6.4546
2020-02-03,6.4688
2020-02-04,6.4767
2020-02-05,6.5732
2020-02-06,6.3708
2020-02-07,6.3407
2020-02-08,6.3407
2020-02-09,6.3407
2020-02-10,6.2949
2020-02-11,6.4261
2020-02-12,6.5178
2020-02-13,6.5795
2020-02-14,6.4324
2020-02-15,6.4324
2020-02-16,6.4324
2020-02-17,6.4324
2020-02-18,6.4625
2020-02-19,6.5336
2020-02-20,6.5905
2020-02-21,6.4056
2020-02-22,6.4056
2020-02-23,6.4056
2020-02-24,6.1178
2020-02-25,5.8981
2020-02-26,5.8095
2020-02-27,5.8696
2020-02-28,6.0293
2020-02-29,6.0293
2020-03-01,6.0293
2020-03-02,6.1447
2020-03-03,5.9724
2020-03-04,6.0198
2020-03-05,5.7605
2020-03-06,5.5977
2020-03-07,5.5977
2020-03-08,5.5977
2020-03-09,5.1518
2020-03-10,5.4269
2020-03-11,5.2688
2020-03-12,4.9257
2020-03-13,5.0902
2020-03-14,5.0902
2020-03-15,5.0902
2020-03-16,4.6775
2020-03-17,4.5574
2020-03-18,4.1526
2020-03-19,4.355
2020-03-20,4.279
2020-03-21,4.279
2020-03-22,4.279
2020-03-23,4.3819
2020-03-24,4.6416
2020-03-25,4.7888
2020-03-26,4.982
2020-03-27,4.7856
2020-03-28,4.7856
2020-03-29,4.7856
2020-03-30,4.925
2020-03-31,5.0335
2020-04-01,4.7477
2020-04-02,4.6842
2020-04-03,4.5188
2020-04-04,4.5188
2020-04-05,4.5188
2020-04-06,5.0936
2020-04-07,5.0836
2020-04-08,5.2273
2020-04-09,5.2624
2020-04-10,5.2624
2020-04-11,5.2624
2020-04-12,5.2624
2020-04-13,5.3326
2020-04-14,5.5047
2020-04-15,5.3844
2020-04-16,5.3142
2020-04-17,5.4696
2020-04-18,5.4696
2020-04-19,5.4696
2020-04-20,5.2256
2020-04-21,5.2239
2020-04-22,5.2473
2020-04-23,5.4144
2020-04-24,5.4863
2020-04-25,5.4863
2020-04-26,5.4863
2020-04-27,5.6501
2020-04-28,5.7319
2020-04-29,5.9191
2020-04-30,5.7353
2020-05-01,5.4997
2020-05-02,5.4997
2020-05-03,5.4997
2020-05-04,5.4763
2020-05-05,5.4662
2020-05-06,5.6655
2020-05-07,5.6269
2020-05-08,5.8867
2020-05-09,5.8867
2020-05-10,5.8867
2020-05-11,5.8649
2020-05-12,5.6906
2020-05-13,5.3755
2020-05-14,5.6219
2020-05-15,5.6152
2020-05-16,5.6152
2020-05-17,5.6152
2020-05-18,5.9118
2020-05-19,5.8029
2020-05-20,5.947
2020-05-21,5.9722
2020-05-22,5.9621
2020-05-23,5.9621
2020-05-24,5.9621
2020-05-25,5.9621
2020-05-26,6.2437
2020-05-27,6.4146
2020-05-28,6.3409
2020-05-29,6.3492
2020-05-30,6.3492
2020-05-31,6.3492
2020-06-01,6.5353
2020-06-02,6.6492
2020-06-03,6.7146
2020-06-04,6.8219
2020-06-05,7.2107
2020-06-06,7.2107
2020-06-07,7.2107
2020-06-08,7.2492
2020-06-09,7.1034
2020-06-10,6.9224
2020-06-11,6.4347
2020-06-12,6.5839
2020-06-13,6.5839
2020-06-14,6.5839
2020-06-15,6.6358
2020-06-16,6.5923
2020-06-17,6.5487
2020-06-18,6.5336
2020-06-19,6.6995
2020-06-20,6.6995
2020-06-21,6.6995
2020-06-22,6.7062
2020-06-23,6.8973
2020-06-24,6.5219
2020-06-25,6.5755
2020-06-26,6.5302
2020-06-27,6.5302
2020-06-28,6.5302
2020-06-29,6.8403
2020-06-30,9.7552
2020-07-01,9.5038
2020-07-02,9.7291
2020-07-03,9.7291
2020-07-04,9.7291
2020-07-05,9.7291
2020-07-06,9.7671
2020-07-07,9.6935
2020-07-08,9.6674
2020-07-09,9.5417
2020-07-10,9.805
2020-07-11,9.805
2020-07-12,9.805
2020-07-13,9.7433
2020-07-14,9.9876
2020-07-15,10.2913
2020-07-16,10.3411
2020-07-17,10.2747
2020-07-18,10.2747
2020-07-19,10.2747
2020-07-20,10.3411
2020-07-21,10.3245
2020-07-22,10.4692
2020-07-23,10.5688
2020-07-24,10.481
2020-07-25,10.481
2020-07-26,10.481
2020-07-27,10.6281
2020-07-28,10.5142
2020-07-29,10.6138
2020-07-30,10.1845
2020-07-31,10.0636
2020-08-01,10.0636
2020-08-02,10.0636
2020-08-03,10.1418
2020-08-04,10.1964
2020-08-05,10.5639
2020-08-06,10.5545
2020-08-07,10.609
2020-08-08,10.609
2020-08-09,10.609
2020-08-10,10.9837
2020-08-11,11.2801
2020-08-12,11.2255
2020-08-13,11.0951
2020-08-14,11.2919
2020-08-15,11.2919
2020-08-16,11.2919
2020-08-17,11.2445
2020-08-18,11.1544
2020-08-19,11.107
2020-08-20,11.024
2020-08-21,11.0074
2020-08-22,11.0074
2020-08-23,11.0074
2020-08-24,11.1947
