,CVX US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,126986.5037
2020-01-02,127856.3049
2020-01-03,127459.2217
2020-01-04,127459.2217
2020-01-05,127459.2217
2020-01-06,127071.5929
2020-01-07,125615.6214
2020-01-08,124329.8283
2020-01-09,124150.1954
2020-01-10,123138.5788
2020-01-11,123138.5788
2020-01-12,123138.5788
2020-01-13,123346.5747
2020-01-14,123006.2177
2020-01-15,122845.4936
2020-01-16,123564.025
2020-01-17,122325.5037
2020-01-18,122325.5037
2020-01-19,122325.5037
2020-01-20,122325.5037
2020-01-21,120179.3638
2020-01-22,119791.735
2020-01-23,119980.8222
2020-01-24,118799.0271
2020-01-25,118799.0271
2020-01-26,118799.0271
2020-01-27,117418.6904
2020-01-28,118108.8588
2020-01-29,117399.7817
2020-01-30,118373.5809
2020-01-31,114346.0231
2020-02-01,114346.0231
2020-02-02,114346.0231
2020-02-03,113532.9481
2020-02-04,114071.8466
2020-02-05,117314.6924
2020-02-06,116567.7979
2020-02-07,116047.8081
2020-02-08,116047.8081
2020-02-09,116047.8081
2020-02-10,116851.4288
2020-02-11,118193.948
2020-02-12,118978.66
2020-02-13,118619.3943
2020-02-14,117125.6052
2020-02-15,117125.6052
2020-02-16,117125.6052
2020-02-17,117125.6052
2020-02-18,117276.875
2020-02-19,117749.593
2020-02-20,116870.3375
2020-02-21,115484.5963
2020-02-22,115484.5963
2020-02-23,115484.5963
2020-02-24,111444.0481
2020-02-25,107685.3985
2020-02-26,105176.5
2020-02-27,101502.4201
2020-02-28,100760.0868
2020-02-29,100760.0868
2020-03-01,100760.0868
2020-03-02,103813.9895
2020-03-03,101746.7323
2020-03-04,105636.9345
2020-03-05,104377.787
2020-03-06,102620.6183
2020-03-07,102620.6183
2020-03-08,102620.6183
2020-03-09,88854.5644
2020-03-10,92904.5093
2020-03-11,91072.1676
2020-03-12,84710.6533
2020-03-13,91438.6359
2020-03-14,91438.6359
2020-03-15,91438.6359
2020-03-16,78546.4681
2020-03-17,79476.7338
2020-03-18,64780.4142
2020-03-19,66979.2241
2020-03-20,68858.5489
2020-03-21,68858.5489
2020-03-22,68858.5489
2020-03-23,64000.4944
2020-03-24,75586.5316
2020-03-25,78142.4132
2020-03-26,84823.4128
2020-03-27,77681.9787
2020-03-28,77681.9787
2020-03-29,77681.9787
2020-03-30,80660.7084
2020-03-31,80660.7084
2020-04-01,80660.7084
2020-04-02,80660.7084
2020-04-03,80660.7084
2020-04-04,80660.7084
2020-04-05,80660.7084
2020-04-06,80660.7084
2020-04-07,80660.7084
2020-04-08,80660.7084
2020-04-09,80660.7084
2020-04-10,80660.7084
2020-04-11,80660.7084
2020-04-12,80660.7084
2020-04-13,80660.7084
2020-04-14,80660.7084
2020-04-15,80660.7084
2020-04-16,80660.7084
2020-04-17,80660.7084
2020-04-18,80660.7084
2020-04-19,80660.7084
2020-04-20,80660.7084
2020-04-21,80660.7084
2020-04-22,80660.7084
2020-04-23,80660.7084
2020-04-24,80660.7084
2020-04-25,80660.7084
2020-04-26,80660.7084
2020-04-27,80660.7084
2020-04-28,80660.7084
2020-04-29,80660.7084
2020-04-30,80660.7084
2020-05-01,80660.7084
2020-05-02,80660.7084
2020-05-03,80660.7084
2020-05-04,80660.7084
2020-05-05,80660.7084
2020-05-06,80660.7084
2020-05-07,80660.7084
2020-05-08,80660.7084
2020-05-09,80660.7084
2020-05-10,80660.7084
2020-05-11,80660.7084
2020-05-12,80660.7084
2020-05-13,80660.7084
2020-05-14,80660.7084
2020-05-15,80660.7084
2020-05-16,80660.7084
2020-05-17,80660.7084
2020-05-18,80660.7084
2020-05-19,80660.7084
2020-05-20,80660.7084
2020-05-21,80660.7084
2020-05-22,80660.7084
2020-05-23,80660.7084
2020-05-24,80660.7084
2020-05-25,80660.7084
2020-05-26,80660.7084
2020-05-27,80660.7084
2020-05-28,80660.7084
2020-05-29,80660.7084
2020-05-30,80660.7084
2020-05-31,80660.7084
2020-06-01,80660.7084
2020-06-02,80660.7084
2020-06-03,80660.7084
2020-06-04,80660.7084
2020-06-05,80660.7084
2020-06-06,80660.7084
2020-06-07,80660.7084
2020-06-08,80660.7084
