,AAPL US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,18.3583
2020-01-02,18.8083
2020-01-03,18.6122
2020-01-04,18.6122
2020-01-05,18.6122
2020-01-06,18.5029
2020-01-07,18.4094
2020-01-08,18.7275
2020-01-09,19.1543
2020-01-10,19.2007
2020-01-11,19.2007
2020-01-12,19.2007
2020-01-13,19.6401
2020-01-14,19.3565
2020-01-15,19.2677
2020-01-16,19.5261
2020-01-17,19.7574
2020-01-18,19.7574
2020-01-19,19.7574
2020-01-20,19.7574
2020-01-21,19.6142
2020-01-22,19.6891
2020-01-23,19.7905
2020-01-24,19.7296
2020-01-25,19.7296
2020-01-26,19.7296
2020-01-27,19.1093
2020-01-28,19.6885
2020-01-29,20.0873
2020-01-30,20.0562
2020-01-31,19.1064
2020-02-01,19.1064
2020-02-02,19.1064
2020-02-03,19.0502
2020-02-04,19.7242
2020-02-05,19.8961
2020-02-06,20.1448
2020-02-07,19.8022
2020-02-08,19.8022
2020-02-09,19.8022
2020-02-10,19.9027
2020-02-11,19.7744
2020-02-12,20.2764
2020-02-13,20.1223
2020-02-14,20.1276
2020-02-15,20.1276
2020-02-16,20.1276
2020-02-17,20.1276
2020-02-18,19.7341
2020-02-19,20.0396
2020-02-20,19.8201
2020-02-21,19.3405
2020-02-22,19.3405
2020-02-23,19.3405
2020-02-24,18.357
2020-02-25,17.689
2020-02-26,17.9912
2020-02-27,16.7259
2020-02-28,16.7154
2020-02-29,16.7154
2020-03-01,16.7154
2020-03-02,18.3987
2020-03-03,17.771
2020-03-04,18.6586
2020-03-05,18.0091
2020-03-06,17.7518
2020-03-07,17.7518
2020-03-08,17.7518
2020-03-09,16.2398
2020-03-10,17.5077
2020-03-11,16.8523
2020-03-12,15.0532
2020-03-13,17.0203
2020-03-14,17.0203
2020-03-15,17.0203
2020-03-16,14.655
2020-03-17,15.3595
2020-03-18,14.95
2020-03-19,14.825
2020-03-20,13.7972
2020-03-21,13.7972
2020-03-22,13.7972
2020-03-23,13.4751
2020-03-24,14.9639
2020-03-25,14.874
2020-03-26,15.7285
2020-03-27,15.3969
2020-03-28,15.3969
2020-03-29,15.3969
2020-03-30,15.8685
2020-03-31,15.8338
2020-04-01,14.9413
2020-04-02,15.2095
2020-04-03,14.9746
2020-04-04,14.9746
2020-04-05,14.9746
2020-04-06,16.3795
2020-04-07,16.1767
2020-04-08,16.6197
2020-04-09,16.7478
2020-04-10,16.7478
2020-04-11,16.7478
2020-04-12,16.7478
2020-04-13,17.0986
2020-04-14,18.0192
2020-04-15,17.8444
2020-04-16,17.9952
2020-04-17,17.7357
2020-04-18,17.7357
2020-04-19,17.7357
2020-04-20,17.3441
2020-04-21,16.7731
2020-04-22,17.2888
2020-04-23,17.2174
2020-04-24,17.747
2020-04-25,17.747
2020-04-26,17.747
2020-04-27,17.7604
2020-04-28,17.4542
2020-04-29,18.0646
2020-04-30,18.4695
2020-05-01,17.9726
2020-05-02,17.9726
2020-05-03,17.9726
2020-05-04,18.2429
