,ABG US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,12.0101
2020-01-02,11.9831
2020-01-03,11.8107
2020-01-04,11.8107
2020-01-05,11.8107
2020-01-06,11.7726
2020-01-07,11.541
2020-01-08,11.5023
2020-01-09,11.354
2020-01-10,11.3352
2020-01-11,11.3352
2020-01-12,11.3352
2020-01-13,11.4566
2020-01-14,11.429
2020-01-15,11.3915
2020-01-16,11.4654
2020-01-17,11.4513
2020-01-18,11.4513
2020-01-19,11.4513
2020-01-20,11.4513
2020-01-21,11.4906
2020-01-22,11.3769
2020-01-23,11.4537
2020-01-24,11.3036
2020-01-25,11.3036
2020-01-26,11.3036
2020-01-27,11.3223
2020-01-28,11.3358
2020-01-29,11.293
2020-01-30,11.2854
2020-01-31,11.1107
2020-02-01,11.1107
2020-02-02,11.1107
2020-02-03,11.2754
2020-02-04,11.0644
2020-02-05,11.1037
2020-02-06,10.9753
2020-02-07,10.9477
2020-02-08,10.9477
2020-02-09,10.9477
2020-02-10,11.0175
2020-02-11,11.3188
2020-02-12,11.1435
2020-02-13,11.1365
2020-02-14,11.0667
2020-02-15,11.0667
2020-02-16,11.0667
2020-02-17,11.0667
2020-02-18,11.1078
2020-02-19,11.2543
2020-02-20,11.3036
2020-02-21,11.2889
2020-02-22,11.2889
2020-02-23,11.2889
2020-02-24,11.1957
2020-02-25,11.1429
2020-02-26,11.0145
2020-02-27,10.7372
2020-02-28,10.6528
2020-02-29,10.6528
2020-03-01,10.6528
2020-03-02,10.9102
2020-03-03,10.8202
2020-03-04,10.9683
2020-03-05,10.6451
2020-03-06,10.5514
2020-03-07,10.5514
2020-03-08,10.5514
2020-03-09,10.1526
2020-03-10,10.2194
2020-03-11,9.6959
2020-03-12,8.8931
2020-03-13,8.6829
2020-03-14,8.6829
2020-03-15,8.6829
2020-03-16,8.1722
2020-03-17,8.273
2020-03-18,8.0686
2020-03-19,8.3239
2020-03-20,8.4188
2020-03-21,8.4188
2020-03-22,8.4188
2020-03-23,8.1389
2020-03-24,8.5903
2020-03-25,8.8913
2020-03-26,9.0172
2020-03-27,8.7057
2020-03-28,8.7057
2020-03-29,8.7057
2020-03-30,8.6928
2020-03-31,9.7645
2020-04-01,9.2194
2020-04-02,9.2023
2020-04-03,8.8676
2020-04-04,8.8676
2020-04-05,8.8676
2020-04-06,9.2467
2020-04-07,9.3417
2020-04-08,9.7037
2020-04-09,10.1198
2020-04-10,10.1198
2020-04-11,10.1198
2020-04-12,10.1198
2020-04-13,9.8882
2020-04-14,10.1212
2020-04-15,9.6259
2020-04-16,9.6238
2020-04-17,9.962
