,RRX US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,12.3008
2020-01-02,12.4126
2020-01-03,12.3167
2020-01-04,12.3167
2020-01-05,12.3167
2020-01-06,12.2688
2020-01-07,12.2163
2020-01-08,12.3122
2020-01-09,12.3749
2020-01-10,12.3019
2020-01-11,12.3019
2020-01-12,12.3019
2020-01-13,12.4605
2020-01-14,12.4309
2020-01-15,12.367
2020-01-16,12.4446
2020-01-17,12.4046
2020-01-18,12.4046
2020-01-19,12.4046
2020-01-20,12.4046
2020-01-21,12.2745
2020-01-22,12.1889
2020-01-23,12.1433
2020-01-24,12.0292
2020-01-25,12.0292
2020-01-26,12.0292
2020-01-27,11.7724
2020-01-28,11.8546
2020-01-29,11.7827
2020-01-30,11.8534
2020-01-31,11.4848
2020-02-01,11.4848
2020-02-02,11.4848
2020-02-03,11.4837
2020-02-04,12.2118
2020-02-05,12.3578
2020-02-06,12.3282
2020-02-07,12.3202
2020-02-08,12.3202
2020-02-09,12.3202
2020-02-10,12.3053
2020-02-11,12.5096
2020-02-12,12.7767
2020-02-13,12.7424
2020-02-14,12.6922
2020-02-15,12.6922
2020-02-16,12.6922
2020-02-17,12.6922
2020-02-18,12.6249
2020-02-19,12.5884
2020-02-20,12.7481
2020-02-21,12.7641
2020-02-22,12.7641
2020-02-23,12.7641
2020-02-24,12.4434
2020-02-25,12.0212
2020-02-26,11.9322
2020-02-27,11.5748
2020-02-28,11.3289
2020-02-29,11.3289
2020-03-01,11.3289
2020-03-02,11.6984
2020-03-03,11.5601
2020-03-04,11.7255
2020-03-05,11.3969
2020-03-06,11.1499
2020-03-07,11.1499
2020-03-08,11.1499
2020-03-09,10.2184
2020-03-10,10.8859
2020-03-11,10.7442
2020-03-12,9.7096
2020-03-13,10.1867
2020-03-14,10.1867
2020-03-15,10.1867
2020-03-16,9.4547
2020-03-17,10.3215
2020-03-18,9.0388
2020-03-19,9.2314
2020-03-20,9.0651
2020-03-21,9.0651
2020-03-22,9.0651
2020-03-23,8.5517
2020-03-24,9.0084
2020-03-25,9.388
2020-03-26,9.6577
2020-03-27,10.6269
2020-03-28,10.6269
2020-03-29,10.6269
2020-03-30,10.891
2020-03-31,11.1182
2020-04-01,10.7563
2020-04-02,10.969
2020-04-03,10.4446
2020-04-04,10.4446
2020-04-05,10.4446
2020-04-06,11.4511
2020-04-07,11.5805
2020-04-08,12.1207
2020-04-09,12.196
2020-04-10,12.196
2020-04-11,12.196
2020-04-12,12.196
2020-04-13,11.9239
2020-04-14,11.9767
2020-04-15,11.3229
2020-04-16,11.1327
2020-04-17,11.4841
2020-04-18,11.4841
2020-04-19,11.4841
2020-04-20,11.2331
2020-04-21,11.1592
2020-04-22,11.278
2020-04-23,11.4431
2020-04-24,11.5224
2020-04-25,11.5224
2020-04-26,11.5224
2020-04-27,11.875
2020-04-28,12.1154
2020-04-29,12.4496
2020-04-30,12.1828
2020-05-01,11.9529
2020-05-02,11.9529
2020-05-03,11.9529
2020-05-04,11.7205
2020-05-05,12.3769
2020-05-06,12.2145
2020-05-07,12.4165
2020-05-08,12.7661
2020-05-09,12.7661
2020-05-10,12.7661
2020-05-11,12.5292
2020-05-12,11.9552
2020-05-13,11.4024
2020-05-14,11.8302
2020-05-15,11.9671
2020-05-16,11.9671
2020-05-17,11.9671
2020-05-18,12.7938
2020-05-19,12.7306
2020-05-20,13.032
2020-05-21,12.9583
2020-05-22,12.8925
2020-05-23,12.8925
2020-05-24,12.8925
2020-05-25,12.8925
2020-05-26,13.3137
2020-05-27,13.6086
2020-05-28,13.4414
2020-05-29,13.2742
2020-05-30,13.2742
2020-05-31,13.2742
2020-06-01,13.5007
2020-06-02,13.5599
2020-06-03,13.8653
2020-06-04,14.0983
2020-06-05,14.5748
2020-06-06,14.5748
2020-06-07,14.5748
2020-06-08,14.5682
2020-06-09,14.5169
2020-06-10,14.0246
2020-06-11,13.1781
2020-06-12,13.5178
2020-06-13,13.5178
2020-06-14,13.5178
2020-06-15,13.5309
2020-06-16,13.9271
2020-06-17,13.8942
2020-06-18,13.7376
2020-06-19,13.7165
2020-06-20,13.7165
2020-06-21,13.7165
2020-06-22,13.6863
2020-06-23,13.71
2020-06-24,13.4256
2020-06-25,13.7455
2020-06-26,16.3693
2020-06-27,16.3693
2020-06-28,16.3693
2020-06-29,16.6147
2020-06-30,16.8491
2020-07-01,16.4448
2020-07-02,16.665
2020-07-03,16.665
2020-07-04,16.665
2020-07-05,16.665
2020-07-06,16.9231
2020-07-07,16.5817
2020-07-08,16.8381
2020-07-09,16.6603
2020-07-10,16.717
2020-07-11,16.717
2020-07-12,16.717
2020-07-13,16.8948
2020-07-14,17.2881
2020-07-15,17.5855
2020-07-16,17.5744
2020-07-17,17.5713
2020-07-18,17.5713
2020-07-19,17.5713
2020-07-20,17.4234
2020-07-21,17.5021
2020-07-22,17.5587
2020-07-23,17.7035
2020-07-24,17.5571
2020-07-25,17.5571
2020-07-26,17.5571
2020-07-27,17.823
2020-07-28,17.5272
2020-07-29,17.9709
2020-07-30,17.7428
2020-07-31,17.5807
2020-08-01,17.5807
2020-08-02,17.5807
2020-08-03,18.0402
2020-08-04,17.6767
2020-08-05,18.3281
2020-08-06,18.1377
2020-08-07,18.3676
2020-08-08,18.3676
2020-08-09,18.3676
2020-08-10,18.4952
2020-08-11,18.6575
2020-08-12,18.9033
2020-08-13,18.5961
2020-08-14,18.4748
2020-08-15,18.4748
2020-08-16,18.4748
2020-08-17,18.2747
2020-08-18,18.1455
2020-08-19,18.0856
2020-08-20,18.2337
2020-08-21,18.3361
2020-08-22,18.3361
2020-08-23,18.3361
2020-08-24,18.5725
2020-08-25,18.7915
2020-08-26,18.793
2020-08-27,18.8435
2020-08-28,18.8135
2020-08-29,18.8135
2020-08-30,18.8135
2020-08-31,18.6875
2020-09-01,19.0357
2020-09-02,19.3366
2020-09-03,18.741
2020-09-04,18.7395
2020-09-05,18.7395
2020-09-06,18.7395
2020-09-07,18.7395
2020-09-08,18.4716
2020-09-09,18.7332
2020-09-10,18.3613
2020-09-11,18.4889
2020-09-12,18.4889
2020-09-13,18.4889
2020-09-14,18.6024
2020-09-15,18.574
2020-09-16,18.6733
2020-09-17,18.9238
2020-09-18,18.4606
2020-09-19,18.4606
2020-09-20,18.4606
2020-09-21,17.7909
2020-09-22,18.0493
2020-09-23,18.0919
2020-09-24,17.9643
2020-09-25,16.2774
2020-09-26,16.2774
2020-09-27,16.2774
