,GWW US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,16.2629
2020-01-02,16.5271
2020-01-03,16.3543
2020-01-04,16.3543
2020-01-05,16.3543
2020-01-06,16.219
2020-01-07,16.2339
2020-01-08,16.3863
2020-01-09,16.4614
2020-01-10,16.382
2020-01-11,16.382
2020-01-12,16.382
2020-01-13,16.5156
2020-01-14,16.338
2020-01-15,16.2949
2020-01-16,16.3747
2020-01-17,16.3325
2020-01-18,16.3325
2020-01-19,16.3325
2020-01-20,16.3325
2020-01-21,16.0892
2020-01-22,15.9449
2020-01-23,16.0077
2020-01-24,15.8566
2020-01-25,15.8566
2020-01-26,15.8566
2020-01-27,15.5629
2020-01-28,15.6197
2020-01-29,15.7921
2020-01-30,15.1544
2020-01-31,14.7327
2020-02-01,14.7327
2020-02-02,14.7327
2020-02-03,14.7566
2020-02-04,14.9662
2020-02-05,15.2616
2020-02-06,15.0447
2020-02-07,14.606
2020-02-08,14.606
2020-02-09,14.606
2020-02-10,14.5407
2020-02-11,14.6559
2020-02-12,15.0866
2020-02-13,14.8475
2020-02-14,14.9453
2020-02-15,14.9453
2020-02-16,14.9453
2020-02-17,14.9453
2020-02-18,14.9679
2020-02-19,14.9235
2020-02-20,15.0064
2020-02-21,14.71
2020-02-22,14.71
2020-02-23,14.71
2020-02-24,14.4005
2020-02-25,13.9222
2020-02-26,13.9247
2020-02-27,13.7096
2020-02-28,13.6139
2020-02-29,13.6139
2020-03-01,13.6139
2020-03-02,14.0961
2020-03-03,13.9677
2020-03-04,14.3422
2020-03-05,14.1581
2020-03-06,13.9154
2020-03-07,13.9154
2020-03-08,13.9154
2020-03-09,12.6909
2020-03-10,13.7024
2020-03-11,13.4893
2020-03-12,12.281
2020-03-13,13.1241
2020-03-14,13.1241
2020-03-15,13.1241
2020-03-16,11.5727
2020-03-17,12.2912
2020-03-18,11.8431
2020-03-19,11.8044
2020-03-20,10.9059
2020-03-21,10.9059
2020-03-22,10.9059
2020-03-23,10.7234
2020-03-24,11.9653
2020-03-25,11.9058
2020-03-26,12.4046
2020-03-27,12.3251
2020-03-28,12.3251
2020-03-29,12.3251
2020-03-30,12.6649
2020-03-31,14.5622
2020-04-01,13.9544
2020-04-02,14.1152
2020-04-03,14.068
2020-04-04,14.068
2020-04-05,14.068
2020-04-06,14.6981
2020-04-07,15.0405
2020-04-08,15.6732
2020-04-09,16.1536
2020-04-10,16.1536
2020-04-11,16.1536
2020-04-12,16.1536
2020-04-13,15.874
2020-04-14,16.5472
2020-04-15,16.1313
2020-04-16,16.1561
2020-04-17,16.1713
2020-04-18,16.1713
2020-04-19,16.1713
2020-04-20,15.8817
