,NMIH US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,10.3511
2020-01-02,10.0806
2020-01-03,10.1044
2020-01-04,10.1044
2020-01-05,10.1044
2020-01-06,10.0628
2020-01-07,9.935
2020-01-08,10.0242
2020-01-09,10.0301
2020-01-10,10.0063
2020-01-11,10.0063
2020-01-12,10.0063
2020-01-13,10.0836
2020-01-14,10.045
2020-01-15,10.2322
2020-01-16,10.3422
2020-01-17,10.4551
2020-01-18,10.4551
2020-01-19,10.4551
2020-01-20,10.4551
2020-01-21,10.3154
2020-01-22,10.3838
2020-01-23,10.2263
2020-01-24,10.1965
2020-01-25,10.1965
2020-01-26,10.1965
2020-01-27,10.045
2020-01-28,10.1936
2020-01-29,10.1965
2020-01-30,10.1817
2020-01-31,9.9766
2020-02-01,9.9766
2020-02-02,9.9766
2020-02-03,10.2352
2020-02-04,10.3481
2020-02-05,10.3986
2020-02-06,10.4551
2020-02-07,10.5353
2020-02-08,10.5353
2020-02-09,10.5353
2020-02-10,10.6542
2020-02-11,11.0614
2020-02-12,9.7543
2020-02-13,9.2552
2020-02-14,9.3612
2020-02-15,9.3612
2020-02-16,9.3612
2020-02-17,9.3612
2020-02-18,9.3133
2020-02-19,9.3642
2020-02-20,9.1847
2020-02-21,9.0097
2020-02-22,9.0097
2020-02-23,9.0097
2020-02-24,8.703
2020-02-25,8.4367
2020-02-26,8.3888
2020-02-27,7.952
2020-02-28,7.4733
2020-02-29,7.4733
2020-03-01,7.4733
2020-03-02,7.8592
2020-03-03,7.7755
2020-03-04,8.0627
2020-03-05,7.9131
2020-03-06,7.8233
2020-03-07,7.8233
2020-03-08,7.8233
2020-03-09,7.1591
2020-03-10,7.4314
2020-03-11,6.6804
2020-03-12,6.3513
2020-03-13,6.2047
2020-03-14,6.2047
2020-03-15,6.2047
2020-03-16,5.5734
2020-03-17,5.8247
2020-03-18,4.5651
2020-03-19,4.4005
2020-03-20,3.8679
2020-03-21,3.8679
2020-03-22,3.8679
2020-03-23,3.3563
2020-03-24,3.6974
2020-03-25,4.0325
2020-03-26,4.6488
2020-03-27,4.5561
2020-03-28,4.5561
2020-03-29,4.5561
2020-03-30,4.3317
2020-03-31,3.1738
2020-04-01,2.988
2020-04-02,2.982
2020-04-03,2.6883
2020-04-04,2.6883
2020-04-05,2.6883
2020-04-06,2.9296
2020-04-07,3.1341
2020-04-08,3.3623
2020-04-09,3.5039
2020-04-10,3.5039
2020-04-11,3.5039
2020-04-12,3.5039
2020-04-13,3.281
2020-04-14,3.3046
2020-04-15,3.1394
2020-04-16,2.9951
2020-04-17,3.2718
2020-04-18,3.2718
2020-04-19,3.2718
2020-04-20,2.9453
2020-04-21,2.8037
2020-04-22,2.7958
2020-04-23,3.0791
2020-04-24,3.1551
2020-04-25,3.1551
2020-04-26,3.1551
2020-04-27,3.3046
2020-04-28,3.4987
2020-04-29,3.955
2020-04-30,3.6823
2020-05-01,3.4489
2020-05-02,3.4489
2020-05-03,3.4489
2020-05-04,3.5616
2020-05-05,3.6115
2020-05-06,3.6193
2020-05-07,4.0462
2020-05-08,3.9408
2020-05-09,3.9408
2020-05-10,3.9408
2020-05-11,3.8803
2020-05-12,3.567
2020-05-13,3.3221
2020-05-14,3.6407
2020-05-15,3.4617
2020-05-16,3.4617
2020-05-17,3.4617
2020-05-18,3.7697
2020-05-19,3.825
2020-05-20,4.0541
2020-05-21,3.954
2020-05-22,3.9435
2020-05-23,3.9435
2020-05-24,3.9435
2020-05-25,3.9435
2020-05-26,4.3305
2020-05-27,4.7438
2020-05-28,4.2147
2020-05-29,4.1817
2020-05-30,4.1817
2020-05-31,4.1817
2020-06-01,4.3542
2020-06-02,4.3516
2020-06-03,4.5753
2020-06-04,5.3194
2020-06-05,6.2136
2020-06-06,6.2136
2020-06-07,6.2136
2020-06-08,6.476
2020-06-09,5.9027
2020-06-10,5.6921
2020-06-11,5.1349
2020-06-12,5.6435
2020-06-13,5.6435
2020-06-14,5.6435
2020-06-15,5.6532
2020-06-16,5.7828
2020-06-17,5.6629
2020-06-18,5.6143
2020-06-19,5.5528
2020-06-20,5.5528
2020-06-21,5.5528
2020-06-22,5.6208
2020-06-23,5.765
2020-06-24,5.339
2020-06-25,5.3843
2020-06-26,4.9438
2020-06-27,4.9438
2020-06-28,4.9438
2020-06-29,5.2418
2020-06-30,4.9902
2020-07-01,4.8265
2020-07-02,4.8606
2020-07-03,4.8606
2020-07-04,4.8606
2020-07-05,4.8606
2020-07-06,4.9083
2020-07-07,4.4377
2020-07-08,4.5093
2020-07-09,4.2024
2020-07-10,4.3865
2020-07-11,4.3865
2020-07-12,4.3865
2020-07-13,4.332
2020-07-14,4.2365
2020-07-15,4.6866
2020-07-16,4.4718
2020-07-17,4.4036
2020-07-18,4.4036
2020-07-19,4.4036
2020-07-20,4.3865
2020-07-21,4.5161
2020-07-22,4.5536
2020-07-23,4.4922
2020-07-24,4.3968
2020-07-25,4.3968
2020-07-26,4.3968
2020-07-27,4.2808
2020-07-28,4.4104
2020-07-29,4.5639
2020-07-30,4.673
2020-07-31,4.7992
2020-08-01,4.7992
2020-08-02,4.7992
2020-08-03,4.922
2020-08-04,4.8162
