,KMX US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,13.3853
2020-01-02,13.6287
2020-01-03,13.3311
2020-01-04,13.3311
2020-01-05,13.3311
2020-01-06,13.3033
2020-01-07,13.2983
2020-01-08,13.2785
2020-01-09,13.3471
2020-01-10,13.5436
2020-01-11,13.5436
2020-01-12,13.5436
2020-01-13,13.7996
2020-01-14,13.9196
2020-01-15,14.0436
2020-01-16,14.2837
2020-01-17,14.413
2020-01-18,14.413
2020-01-19,14.413
2020-01-20,14.413
2020-01-21,14.442
2020-01-22,14.6333
2020-01-23,14.7336
2020-01-24,14.5515
2020-01-25,14.5515
2020-01-26,14.5515
2020-01-27,14.4526
2020-01-28,14.7942
2020-01-29,14.785
2020-01-30,14.8985
2020-01-31,14.5924
2020-02-01,14.5924
2020-02-02,14.5924
2020-02-03,14.3312
2020-02-04,14.5542
2020-02-05,14.7151
2020-02-06,14.5832
2020-02-07,14.4948
2020-02-08,14.4948
2020-02-09,14.4948
2020-02-10,14.6729
2020-02-11,14.8299
2020-02-12,14.7494
2020-02-13,14.8365
2020-02-14,14.8259
2020-02-15,14.8259
2020-02-16,14.8259
2020-02-17,14.8259
2020-02-18,14.7547
2020-02-19,15.0
2020-02-20,15.2335
2020-02-21,15.1425
2020-02-22,15.1425
2020-02-23,15.1425
2020-02-24,14.6465
2020-02-25,14.0977
2020-02-26,13.8352
2020-02-27,13.4249
2020-02-28,13.091
2020-02-29,13.091
2020-03-01,13.091
2020-03-02,13.4051
2020-03-03,12.9424
2020-03-04,13.5291
2020-03-05,12.9127
2020-03-06,12.7925
2020-03-07,12.7925
2020-03-08,12.7925
2020-03-09,11.5274
2020-03-10,12.1192
2020-03-11,11.6566
2020-03-12,10.5788
2020-03-13,10.7494
2020-03-14,10.7494
2020-03-15,10.7494
2020-03-16,8.9091
2020-03-17,8.7554
2020-03-18,8.0394
2020-03-19,8.0278
2020-03-20,7.529
2020-03-21,7.529
2020-03-22,7.529
2020-03-23,7.9722
2020-03-24,9.0862
2020-03-25,10.0632
2020-03-26,9.6807
2020-03-27,9.4235
2020-03-28,9.4235
2020-03-29,9.4235
2020-03-30,9.0125
2020-03-31,8.7644
2020-04-01,8.5744
2020-04-02,8.2832
2020-04-03,8.0769
2020-04-04,8.0769
2020-04-05,8.0769
2020-04-06,8.8315
2020-04-07,9.2907
2020-04-08,9.9627
2020-04-09,10.3858
2020-04-10,10.3858
2020-04-11,10.3858
2020-04-12,10.3858
2020-04-13,9.8827
2020-04-14,10.1136
2020-04-15,9.7511
2020-04-16,9.4274
2020-04-17,10.2207
2020-04-18,10.2207
2020-04-19,10.2207
2020-04-20,10.1355
2020-04-21,9.9836
2020-04-22,10.1547
2020-04-23,10.2935
2020-04-24,10.9326
2020-04-25,10.9326
2020-04-26,10.9326
2020-04-27,11.4483
2020-04-28,11.3364
2020-04-29,11.9652
2020-04-30,11.2785
2020-05-01,10.9468
2020-05-02,10.9468
2020-05-03,10.9468
2020-05-04,11.0252
2020-05-05,11.1911
2020-05-06,11.1911
2020-05-07,11.1782
2020-05-08,11.6695
2020-05-09,11.6695
2020-05-10,11.6695
2020-05-11,11.5858
2020-05-12,11.4339
2020-05-13,11.3271
2020-05-14,11.4841
2020-05-15,11.5652
2020-05-16,11.5652
2020-05-17,11.5652
2020-05-18,12.0737
2020-05-19,11.9707
2020-05-20,11.8935
2020-05-21,12.1599
2020-05-22,12.3054
2020-05-23,12.3054
2020-05-24,12.3054
2020-05-25,12.3054
2020-05-26,12.7778
2020-05-27,13.2914
2020-05-28,13.2232
2020-05-29,17.1891
2020-05-30,17.1891
2020-05-31,17.1891
2020-06-01,17.5473
2020-06-02,17.888
2020-06-03,18.3744
2020-06-04,18.0812
2020-06-05,18.5729
2020-06-06,18.5729
2020-06-07,18.5729
2020-06-08,18.9979
2020-06-09,18.3955
2020-06-10,17.881
2020-06-11,17.0556
2020-06-12,17.528
2020-06-13,17.528
2020-06-14,17.528
2020-06-15,18.0285
2020-06-16,18.6484
2020-06-17,18.759
2020-06-18,18.9206
2020-06-19,17.8609
2020-06-20,17.8609
2020-06-21,17.8609
2020-06-22,18.2279
2020-06-23,17.9206
2020-06-24,17.4359
2020-06-25,17.4605
2020-06-26,16.9319
2020-06-27,16.9319
