,MBUU US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,8.6488
2020-01-02,8.6488
2020-01-03,8.6278
2020-01-04,8.6278
2020-01-05,8.6278
2020-01-06,8.6621
2020-01-07,8.5859
2020-01-08,8.6202
2020-01-09,8.4676
2020-01-10,8.3265
2020-01-11,8.3265
2020-01-12,8.3265
2020-01-13,8.4733
2020-01-14,8.481
2020-01-15,8.6259
2020-01-16,8.7994
2020-01-17,8.9673
2020-01-18,8.9673
2020-01-19,8.9673
2020-01-20,8.9673
2020-01-21,8.9787
2020-01-22,8.7727
2020-01-23,9.2285
2020-01-24,9.2399
2020-01-25,9.2399
2020-01-26,9.2399
2020-01-27,9.2209
2020-01-28,9.465
2020-01-29,9.3563
2020-01-30,9.2419
2020-01-31,9.1904
2020-02-01,9.1904
2020-02-02,9.1904
2020-02-03,9.2075
2020-02-04,9.198
2020-02-05,9.7377
2020-02-06,10.0601
2020-02-07,9.9623
2020-02-08,9.9623
2020-02-09,9.9623
2020-02-10,9.9201
2020-02-11,9.945
2020-02-12,10.2673
2020-02-13,10.6547
2020-02-14,10.4034
2020-02-15,10.4034
2020-02-16,10.4034
2020-02-17,10.4034
2020-02-18,10.4898
2020-02-19,10.6605
2020-02-20,10.6816
2020-02-21,10.3689
2020-02-22,10.3689
2020-02-23,10.3689
2020-02-24,9.9373
2020-02-25,9.5192
2020-02-26,9.7973
2020-02-27,9.2027
2020-02-28,9.2679
2020-02-29,9.2679
2020-03-01,9.2679
2020-03-02,8.9956
2020-03-03,8.9188
2020-03-04,9.0473
2020-03-05,8.1554
2020-03-06,7.9866
2020-03-07,7.9866
2020-03-08,7.9866
2020-03-09,7.1446
2020-03-10,6.9969
2020-03-11,6.6075
2020-03-12,5.94
2020-03-13,6.4483
2020-03-14,6.4483
2020-03-15,6.4483
2020-03-16,6.1395
2020-03-17,6.1817
2020-03-18,5.612
2020-03-19,5.8479
2020-03-20,5.4624
2020-03-21,5.4624
2020-03-22,5.4624
2020-03-23,5.2706
2020-03-24,5.612
2020-03-25,5.9323
2020-03-26,6.3255
2020-03-27,6.2354
2020-03-28,6.2354
2020-03-29,6.2354
2020-03-30,6.3677
2020-03-31,6.3137
2020-04-01,5.5067
2020-04-02,4.5052
2020-04-03,4.3762
2020-04-04,4.3762
2020-04-05,4.3762
2020-04-06,4.6709
2020-04-07,4.8519
2020-04-08,5.2332
2020-04-09,5.9921
2020-04-10,5.9921
2020-04-11,5.9921
2020-04-12,5.9921
2020-04-13,5.5144
2020-04-14,5.7166
2020-04-15,5.5549
2020-04-16,5.5414
2020-04-17,5.9208
2020-04-18,5.9208
2020-04-19,5.9208
2020-04-20,5.6955
2020-04-21,5.6993
2020-04-22,5.8129
2020-04-23,6.1442
2020-04-24,6.4986
2020-04-25,6.4986
2020-04-26,6.4986
2020-04-27,7.0089
2020-04-28,7.4885
2020-04-29,7.6811
2020-04-30,7.3903
2020-05-01,7.1322
2020-05-02,7.1322
2020-05-03,7.1322
2020-05-04,7.1206
2020-05-05,7.2439
2020-05-06,7.3402
2020-05-07,7.9862
2020-05-08,8.3397
2020-05-09,8.3397
2020-05-10,8.3397
2020-05-11,8.7701
2020-05-12,8.1495
2020-05-13,7.6576
2020-05-14,8.0765
2020-05-15,8.7644
2020-05-16,8.7644
2020-05-17,8.7644
2020-05-18,9.6982
2020-05-19,9.8001
2020-05-20,9.6041
2020-05-21,9.6079
2020-05-22,9.8001
2020-05-23,9.8001
2020-05-24,9.8001
2020-05-25,9.8001
2020-05-26,9.8327
2020-05-27,10.6129
2020-05-28,10.048
2020-05-29,9.8251
2020-05-30,9.8251
2020-05-31,9.8251
2020-06-01,10.2478
2020-06-02,10.046
2020-06-03,11.0241
2020-06-04,11.1682
2020-06-05,11.0741
2020-06-06,11.0741
2020-06-07,11.0741
2020-06-08,11.0837
2020-06-09,10.8665
2020-06-10,10.807
2020-06-11,10.071
2020-06-12,10.2747
2020-06-13,10.2747
2020-06-14,10.2747
2020-06-15,10.634
2020-06-16,11.0279
2020-06-17,10.7474
2020-06-18,10.7455
2020-06-19,10.5956
2020-06-20,10.5956
2020-06-21,10.5956
2020-06-22,10.7858
2020-06-23,10.7532
2020-06-24,10.4265
2020-06-25,10.39
2020-06-26,10.2151
2020-06-27,10.2151
2020-06-28,10.2151
2020-06-29,10.4534
2020-06-30,13.2549
2020-07-01,13.0422
2020-07-02,13.1426
2020-07-03,13.1426
2020-07-04,13.1426
2020-07-05,13.1426
2020-07-06,13.9624
2020-07-07,13.1665
2020-07-08,13.2047
2020-07-09,12.6072
2020-07-10,12.9251
2020-07-11,12.9251
2020-07-12,12.9251
2020-07-13,12.7984
2020-07-14,13.2907
2020-07-15,13.8022
2020-07-16,13.678
2020-07-17,13.2836
2020-07-18,13.2836
2020-07-19,13.2836
2020-07-20,13.5345
2020-07-21,14.5025
2020-07-22,14.9567
2020-07-23,14.9256
2020-07-24,14.9352
2020-07-25,14.9352
2020-07-26,14.9352
2020-07-27,15.6283
2020-07-28,15.4586
2020-07-29,15.4132
2020-07-30,15.3797
2020-07-31,14.8874
2020-08-01,14.8874
2020-08-02,14.8874
2020-08-03,15.4968
2020-08-04,15.3582
2020-08-05,15.406
2020-08-06,14.7344
2020-08-07,14.5002
2020-08-08,14.5002
2020-08-09,14.5002
2020-08-10,14.0986
2020-08-11,14.0652
2020-08-12,14.5814
2020-08-13,15.1885
2020-08-14,15.3582
2020-08-15,15.3582
2020-08-16,15.3582
2020-08-17,15.6211
2020-08-18,15.4873
2020-08-19,15.1694
2020-08-20,14.3544
2020-08-21,13.9289
2020-08-22,13.9289
2020-08-23,13.9289
2020-08-24,14.015
2020-08-25,13.7449
2020-08-26,14.1034
2020-08-27,14.3953
2020-08-28,14.098
2020-08-29,14.098
2020-08-30,14.098
2020-08-31,13.2812
2020-09-01,14.1332
2020-09-02,13.934
2020-09-03,13.2117
2020-09-04,13.0293
2020-09-05,13.0293
2020-09-06,13.0293
2020-09-07,13.0293
2020-09-08,13.0293
2020-09-09,12.9813
2020-09-10,12.6717
2020-09-11,12.5013
2020-09-12,12.5013
2020-09-13,12.5013
2020-09-14,12.8277
2020-09-15,12.8973
2020-09-16,12.8973
2020-09-17,12.8829
2020-09-18,12.7173
2020-09-19,12.7173
2020-09-20,12.7173
2020-09-21,12.3213
2020-09-22,13.6484
2020-09-23,12.7541
2020-09-24,12.3147
2020-09-25,12.3555
2020-09-26,12.3555
2020-09-27,12.3555
2020-09-28,12.442
2020-09-29,12.3699
2020-09-30,11.5742
2020-10-01,12.0442
2020-10-02,12.4828
2020-10-03,12.4828
2020-10-04,12.4828
2020-10-05,13.0155
2020-10-06,13.0177
2020-10-07,13.1722
2020-10-08,12.9282
2020-10-09,13.161
2020-10-10,13.161
2020-10-11,13.161
2020-10-12,12.8365
2020-10-13,12.9909
2020-10-14,12.8118
2020-10-15,12.9909
2020-10-16,13.0446
2020-10-17,13.0446
2020-10-18,13.0446
2020-10-19,12.6059
2020-10-20,12.973
2020-10-21,12.5477
2020-10-22,12.4627
2020-10-23,12.4112
2020-10-24,12.4112
2020-10-25,12.4112
2020-10-26,11.7846
2020-10-27,12.2859
2020-10-28,12.6731
2020-10-29,12.2501
2020-10-30,11.8584
2020-10-31,11.8584
2020-11-01,11.8584
2020-11-02,11.986
2020-11-03,12.6731
2020-11-04,12.738
2020-11-05,13.7585
2020-11-06,13.0096
2020-11-07,13.0096
2020-11-08,13.0096
2020-11-09,11.9531
2020-11-10,11.9396
2020-11-11,12.7197
2020-11-12,12.5713
2020-11-13,12.9265
2020-11-14,12.9265
2020-11-15,12.9265
2020-11-16,13.2951
2020-11-17,13.5716
2020-11-18,13.4255
2020-11-19,13.2074
2020-11-20,13.3873
2020-11-21,13.3873
2020-11-22,13.3873
2020-11-23,14.0594
2020-11-24,13.4929
2020-11-25,13.4862
2020-11-26,13.4862
2020-11-27,13.7582
2020-11-28,13.7582
2020-11-29,13.7582
2020-11-30,13.2929
2020-12-01,13.666
2020-12-02,13.5401
2020-12-03,13.6368
2020-12-04,13.7784
2020-12-05,13.7784
2020-12-06,13.7784
2020-12-07,13.9492
2020-12-08,13.9515
2020-12-09,13.7874
2020-12-10,13.9358
2020-12-11,13.7874
2020-12-12,13.7874
2020-12-13,13.7874
