,JWN US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,9.2128
2020-01-02,9.1029
2020-01-03,9.0721
2020-01-04,9.0721
2020-01-05,9.0721
2020-01-06,9.2195
2020-01-07,9.3547
2020-01-08,9.3748
2020-01-09,9.3828
2020-01-10,9.3226
2020-01-11,9.3226
2020-01-12,9.3226
2020-01-13,9.3119
2020-01-14,9.2891
2020-01-15,9.1431
2020-01-16,9.1538
2020-01-17,9.1337
2020-01-18,9.1337
2020-01-19,9.1337
2020-01-20,9.1337
2020-01-21,9.0467
2020-01-22,9.0721
2020-01-23,8.9998
2020-01-24,8.9101
2020-01-25,8.9101
2020-01-26,8.9101
2020-01-27,8.8578
2020-01-28,8.8886
2020-01-29,8.89
2020-01-30,8.9101
2020-01-31,9.1421
2020-02-01,9.1421
2020-02-02,9.1421
2020-02-03,9.239
2020-02-04,9.3536
2020-02-05,9.6708
2020-02-06,9.5724
2020-02-07,9.3271
2020-02-08,9.3271
2020-02-09,9.3271
2020-02-10,9.2948
2020-02-11,9.3815
2020-02-12,9.5621
2020-02-13,9.5151
2020-02-14,9.6444
2020-02-15,9.6444
2020-02-16,9.6444
2020-02-17,9.6444
2020-02-18,9.5959
2020-02-19,9.6796
2020-02-20,9.7618
2020-02-21,9.6825
2020-02-22,9.6825
2020-02-23,9.6825
2020-02-24,9.452
2020-02-25,9.1333
2020-02-26,9.0716
2020-02-27,8.8748
2020-02-28,8.8249
2020-02-29,8.8249
2020-03-01,8.8249
2020-03-02,8.7838
2020-03-03,8.6398
2020-03-04,8.5684
2020-03-05,8.0518
2020-03-06,8.0032
2020-03-07,8.0032
2020-03-08,8.0032
2020-03-09,7.672
2020-03-10,7.7191
2020-03-11,7.2658
2020-03-12,6.655
2020-03-13,6.9066
2020-03-14,6.9066
2020-03-15,6.9066
2020-03-16,6.259
2020-03-17,6.4842
2020-03-18,6.6373
2020-03-19,6.8566
2020-03-20,6.3702
2020-03-21,6.3702
2020-03-22,6.3702
2020-03-23,6.0375
2020-03-24,6.4738
2020-03-25,6.4294
2020-03-26,6.3806
2020-03-27,6.0966
2020-03-28,6.0966
2020-03-29,6.0966
2020-03-30,6.0626
2020-03-31,5.9975
2020-04-01,5.6944
2020-04-02,5.6781
2020-04-03,5.6589
2020-04-04,5.6589
2020-04-05,5.6589
2020-04-06,6.1247
2020-04-07,6.3969
2020-04-08,6.5388
2020-04-09,6.882
2020-04-10,6.882
2020-04-11,6.882
2020-04-12,6.882
2020-04-13,6.7518
2020-04-14,6.6941
2020-04-15,6.4131
2020-04-16,6.2652
2020-04-17,6.5093
2020-04-18,6.5093
2020-04-19,6.5093
2020-04-20,6.3022
2020-04-21,6.1957
2020-04-22,6.1425
2020-04-23,6.3229
2020-04-24,6.3673
2020-04-25,6.3673
2020-04-26,6.3673
2020-04-27,6.7267
2020-04-28,6.7784
2020-04-29,6.7429
2020-04-30,6.5063
2020-05-01,6.5063
2020-05-02,6.5063
2020-05-03,6.5063
2020-05-04,6.5063
2020-05-05,6.5063
2020-05-06,6.5063
2020-05-07,6.5063
2020-05-08,6.5063
2020-05-09,6.5063
2020-05-10,6.5063
2020-05-11,6.5063
2020-05-12,6.5063
2020-05-13,6.5063
2020-05-14,6.5063
2020-05-15,6.5063
2020-05-16,6.5063
2020-05-17,6.5063
2020-05-18,6.5063
2020-05-19,6.5063
2020-05-20,6.5063
2020-05-21,6.5063
2020-05-22,6.5063
2020-05-23,6.5063
2020-05-24,6.5063
2020-05-25,6.5063
2020-05-26,6.5063
2020-05-27,6.5063
2020-05-28,6.5063
2020-05-29,6.5063
2020-05-30,6.5063
2020-05-31,6.5063
2020-06-01,6.5063
2020-06-02,6.5063
2020-06-03,6.5063
2020-06-04,6.5063
2020-06-05,6.5063
2020-06-06,6.5063
2020-06-07,6.5063
2020-06-08,6.5063
2020-06-09,6.5063
2020-06-10,6.5063
2020-06-11,6.5063
2020-06-12,6.5063
2020-06-13,6.5063
2020-06-14,6.5063
2020-06-15,6.5063
2020-06-16,6.5063
2020-06-17,6.5063
2020-06-18,6.5063
2020-06-19,6.5063
2020-06-20,6.5063
2020-06-21,6.5063
2020-06-22,6.5063
2020-06-23,6.5063
2020-06-24,6.5063
2020-06-25,6.5063
2020-06-26,6.5063
2020-06-27,6.5063
2020-06-28,6.5063
2020-06-29,6.5063
2020-06-30,6.5063
2020-07-01,6.5063
2020-07-02,6.5063
2020-07-03,6.5063
2020-07-04,6.5063
2020-07-05,6.5063
2020-07-06,6.5063
2020-07-07,6.5063
2020-07-08,6.5063
2020-07-09,6.5063
2020-07-10,6.5063
2020-07-11,6.5063
2020-07-12,6.5063
2020-07-13,6.5063
2020-07-14,6.5063
2020-07-15,6.5063
2020-07-16,6.5063
2020-07-17,6.5063
2020-07-18,6.5063
2020-07-19,6.5063
2020-07-20,6.5063
2020-07-21,6.5063
2020-07-22,6.5063
2020-07-23,6.5063
2020-07-24,6.5063
2020-07-25,6.5063
2020-07-26,6.5063
2020-07-27,6.5063
2020-07-28,6.5063
2020-07-29,6.5063
2020-07-30,6.5063
2020-07-31,6.5063
2020-08-01,6.5063
2020-08-02,6.5063
2020-08-03,6.5063
2020-08-04,6.5063
2020-08-05,6.5063
2020-08-06,6.5063
2020-08-07,6.5063
2020-08-08,6.5063
2020-08-09,6.5063
2020-08-10,6.5063
2020-08-11,6.5063
2020-08-12,6.5063
2020-08-13,6.5063
2020-08-14,6.5063
2020-08-15,6.5063
2020-08-16,6.5063
2020-08-17,6.5063
2020-08-18,6.5063
2020-08-19,6.5063
2020-08-20,6.5063
2020-08-21,6.5063
2020-08-22,6.5063
2020-08-23,6.5063
2020-08-24,6.5063
2020-08-25,6.5063
2020-08-26,6.5063
2020-08-27,6.5063
2020-08-28,6.5063
2020-08-29,6.5063
2020-08-30,6.5063
2020-08-31,6.5063
2020-09-01,6.5063
2020-09-02,6.5063
2020-09-03,6.5063
2020-09-04,6.5063
2020-09-05,6.5063
2020-09-06,6.5063
2020-09-07,6.5063
2020-09-08,6.5063
2020-09-09,6.5063
2020-09-10,6.5063
2020-09-11,6.5063
2020-09-12,6.5063
2020-09-13,6.5063
2020-09-14,6.5063
2020-09-15,6.5063
2020-09-16,6.5063
2020-09-17,6.5063
2020-09-18,6.5063
2020-09-19,6.5063
2020-09-20,6.5063
2020-09-21,6.5063
2020-09-22,6.5063
2020-09-23,6.5063
2020-09-24,6.5063
2020-09-25,6.5063
2020-09-26,6.5063
2020-09-27,6.5063
2020-09-28,6.5063
2020-09-29,6.5063
2020-09-30,6.5063
2020-10-01,6.5063
2020-10-02,6.5063
2020-10-03,6.5063
2020-10-04,6.5063
2020-10-05,6.5063
2020-10-06,6.5063
2020-10-07,6.5063
2020-10-08,6.5063
2020-10-09,6.5063
2020-10-10,6.5063
2020-10-11,6.5063
2020-10-12,6.5063
2020-10-13,6.5063
2020-10-14,6.5063
2020-10-15,6.5063
2020-10-16,6.5063
2020-10-17,6.5063
2020-10-18,6.5063
2020-10-19,6.5063
2020-10-20,6.5063
2020-10-21,6.5063
2020-10-22,6.5063
2020-10-23,6.5063
2020-10-24,6.5063
2020-10-25,6.5063
2020-10-26,6.5063
2020-10-27,6.5063
2020-10-28,6.5063
2020-10-29,6.5063
2020-10-30,6.5063
2020-10-31,6.5063
2020-11-01,6.5063
2020-11-02,6.5063
2020-11-03,6.5063
2020-11-04,6.5063
2020-11-05,6.5063
2020-11-06,6.5063
2020-11-07,6.5063
2020-11-08,6.5063
2020-11-09,6.5063
2020-11-10,6.5063
2020-11-11,6.5063
2020-11-12,6.5063
2020-11-13,6.5063
2020-11-14,6.5063
2020-11-15,6.5063
2020-11-16,6.5063
2020-11-17,6.5063
2020-11-18,6.5063
2020-11-19,6.5063
2020-11-20,6.5063
2020-11-21,6.5063
2020-11-22,6.5063
2020-11-23,6.5063
2020-11-24,6.5063
2020-11-25,6.5063
2020-11-26,6.5063
2020-11-27,6.5063
2020-11-28,6.5063
2020-11-29,6.5063
2020-11-30,6.5063
2020-12-01,6.5063
2020-12-02,6.5063
2020-12-03,6.5063
2020-12-04,6.5063
