,NMRK US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,21.384
2020-01-02,20.5465
2020-01-03,20.5855
2020-01-04,20.5855
2020-01-05,20.5855
2020-01-06,20.183
2020-01-07,20.0012
2020-01-08,19.7415
2020-01-09,19.8454
2020-01-10,19.326
2020-01-11,19.326
2020-01-12,19.326
2020-01-13,19.1053
2020-01-14,19.352
2020-01-15,19.6636
2020-01-16,19.6247
2020-01-17,19.7415
2020-01-18,19.7415
2020-01-19,19.7415
2020-01-20,19.7415
2020-01-21,19.4818
2020-01-22,19.365
2020-01-23,19.774
2020-01-24,19.391
2020-01-25,19.391
2020-01-26,19.391
2020-01-27,19.4039
2020-01-28,19.4169
2020-01-29,19.352
2020-01-30,19.4169
2020-01-31,19.1962
2020-02-01,19.1962
2020-02-02,19.1962
2020-02-03,19.365
2020-02-04,19.7545
2020-02-05,19.9493
2020-02-06,19.8324
2020-02-07,19.2741
2020-02-08,19.2741
2020-02-09,19.2741
2020-02-10,19.6506
2020-02-11,19.1443
2020-02-12,19.5727
2020-02-13,19.2222
2020-02-14,18.7937
2020-02-15,18.7937
2020-02-16,18.7937
2020-02-17,18.7937
2020-02-18,18.6119
2020-02-19,19.2157
2020-02-20,19.5468
2020-02-21,19.0923
2020-02-22,19.0923
2020-02-23,19.0923
2020-02-24,18.3133
2020-02-25,17.703
2020-02-26,17.8264
2020-02-27,16.8851
2020-02-28,16.1827
2020-02-29,16.1827
2020-03-01,16.1827
2020-03-02,16.9021
2020-03-03,16.3754
2020-03-04,16.4139
2020-03-05,15.7588
2020-03-06,15.1935
2020-03-07,15.1935
2020-03-08,15.1935
2020-03-09,13.4978
2020-03-10,13.9859
2020-03-11,12.9197
2020-03-12,11.969
2020-03-13,12.3544
2020-03-14,12.3544
2020-03-15,12.3544
2020-03-16,10.5302
2020-03-17,9.7979
2020-03-18,7.1258
2020-03-19,9.2455
2020-03-20,8.8858
2020-03-21,8.8858
2020-03-22,8.8858
2020-03-23,8.8473
2020-03-24,9.5025
2020-03-25,9.5667
2020-03-26,10.8257
2020-03-27,10.5045
2020-03-28,10.5045
2020-03-29,10.5045
2020-03-30,10.0934
2020-03-31,11.7519
