,TROW US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,11.7121
2020-01-02,12.0371
2020-01-03,11.997
2020-01-04,11.997
2020-01-05,11.997
2020-01-06,12.0723
2020-01-07,12.1213
2020-01-08,12.2388
2020-01-09,12.3425
2020-01-10,12.2623
2020-01-11,12.2623
2020-01-12,12.2623
2020-01-13,12.6117
2020-01-14,12.4845
2020-01-15,12.5256
2020-01-16,12.7087
2020-01-17,12.7322
2020-01-18,12.7322
2020-01-19,12.7322
2020-01-20,12.7322
2020-01-21,12.7361
2020-01-22,12.7625
2020-01-23,12.8252
2020-01-24,12.6264
2020-01-25,12.6264
2020-01-26,12.6264
2020-01-27,12.368
2020-01-28,12.6382
2020-01-29,13.11
2020-01-30,13.1541
2020-01-31,12.8565
2020-02-01,12.8565
2020-02-02,12.8565
2020-02-03,12.9534
2020-02-04,13.1776
2020-02-05,13.2882
2020-02-06,13.2716
2020-02-07,13.3176
2020-02-08,13.3176
2020-02-09,13.3176
2020-02-10,13.3411
2020-02-11,13.3538
2020-02-12,13.3411
2020-02-13,13.2745
2020-02-14,13.3704
2020-02-15,13.3704
2020-02-16,13.3704
2020-02-17,13.3704
2020-02-18,13.409
2020-02-19,13.5356
2020-02-20,13.405
2020-02-21,13.2597
2020-02-22,13.2597
2020-02-23,13.2597
2020-02-24,12.8127
2020-02-25,12.2975
2020-02-26,12.3044
2020-02-27,11.635
2020-02-28,11.454
2020-02-29,11.454
2020-03-01,11.454
2020-03-02,12.1927
2020-03-03,11.9959
2020-03-04,12.517
2020-03-05,11.8495
2020-03-06,11.3294
2020-03-07,11.3294
2020-03-08,11.3294
2020-03-09,10.033
2020-03-10,10.9378
2020-03-11,10.2189
2020-03-12,8.8553
2020-03-13,10.3979
2020-03-14,10.3979
2020-03-15,10.3979
2020-03-16,9.4308
2020-03-17,10.475
2020-03-18,10.5047
2020-03-19,9.9312
2020-03-20,8.7178
2020-03-21,8.7178
2020-03-22,8.7178
2020-03-23,8.2313
2020-03-24,8.6348
2020-03-25,8.9799
2020-03-26,9.8056
2020-03-27,9.5178
2020-03-28,9.5178
2020-03-29,9.5178
2020-03-30,9.4466
2020-03-31,8.7322
2020-04-01,8.3879
2020-04-02,8.6857
2020-04-03,8.5081
2020-04-04,8.5081
2020-04-05,8.5081
2020-04-06,9.1922
2020-04-07,9.1194
2020-04-08,9.4482
2020-04-09,9.4163
2020-04-10,9.4163
2020-04-11,9.4163
2020-04-12,9.4163
2020-04-13,9.1503
2020-04-14,9.1221
2020-04-15,8.8534
2020-04-16,8.9044
2020-04-17,9.2642
2020-04-18,9.2642
2020-04-19,9.2642
2020-04-20,9.051
2020-04-21,8.8415
2020-04-22,9.0037
2020-04-23,8.8698
2020-04-24,8.9773
2020-04-25,8.9773
2020-04-26,8.9773
2020-04-27,9.5384
2020-04-28,9.9531
2020-04-29,10.2222
2020-04-30,10.1076
2020-05-01,9.6466
2020-05-02,9.6466
2020-05-03,9.6466
2020-05-04,9.5618
2020-05-05,9.5782
2020-05-06,9.4476
2020-05-07,9.7265
2020-05-08,9.9682
2020-05-09,9.9682
2020-05-10,9.9682
2020-05-11,9.8447
2020-05-12,9.8518
2020-05-13,9.4245
2020-05-14,9.8358
2020-05-15,9.9193
2020-05-16,9.9193
2020-05-17,9.9193
2020-05-18,10.2489
2020-05-19,9.9797
