,EXC US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,19.4316
2020-01-02,19.3961
2020-01-03,19.4272
2020-01-04,19.4272
2020-01-05,19.4272
2020-01-06,19.4416
2020-01-07,19.4516
2020-01-08,19.5237
2020-01-09,19.5559
2020-01-10,19.5803
2020-01-11,19.5803
2020-01-12,19.5803
2020-01-13,19.5648
2020-01-14,19.4804
2020-01-15,19.6446
2020-01-16,19.6868
2020-01-17,19.831
2020-01-18,19.831
2020-01-19,19.831
2020-01-20,19.831
2020-01-21,19.8731
2020-01-22,19.8909
2020-01-23,19.9552
2020-01-24,19.9064
2020-01-25,19.9064
2020-01-26,19.9064
2020-01-27,19.8044
2020-01-28,19.9064
2020-01-29,19.9242
2020-01-30,19.9796
2020-01-31,19.8753
2020-02-01,19.8753
2020-02-02,19.8753
2020-02-03,20.0107
2020-02-04,19.9863
2020-02-05,20.0395
2020-02-06,20.024
2020-02-07,20.0085
2020-02-08,20.0085
2020-02-09,20.0085
2020-02-10,20.0351
2020-02-11,20.3129
2020-02-12,20.2951
2020-02-13,20.3641
2020-02-14,20.4065
2020-02-15,20.4065
2020-02-16,20.4065
2020-02-17,20.4065
2020-02-18,20.5447
2020-02-19,20.3708
2020-02-20,20.4265
2020-02-21,20.3976
2020-02-22,20.3976
2020-02-23,20.3976
2020-02-24,20.2195
2020-02-25,19.9538
2020-02-26,19.8243
2020-02-27,19.3977
2020-02-28,18.9444
2020-02-29,18.9444
2020-03-01,18.9444
2020-03-02,19.4625
2020-03-03,19.1856
2020-03-04,19.7729
2020-03-05,19.6188
2020-03-06,19.4044
2020-03-07,19.4044
2020-03-08,19.4044
2020-03-09,18.6764
2020-03-10,18.9466
2020-03-11,18.2075
2020-03-12,17.1936
2020-03-13,17.437
2020-03-14,17.437
2020-03-15,17.437
2020-03-16,16.1306
2020-03-17,17.3566
2020-03-18,16.6956
2020-03-19,16.5549
2020-03-20,16.24
2020-03-21,16.24
2020-03-22,16.24
2020-03-23,15.9984
2020-03-24,17.0239
2020-03-25,17.0169
2020-03-26,17.4884
2020-03-27,17.2286
2020-03-28,17.2286
2020-03-29,17.2286
2020-03-30,17.6313
2020-03-31,17.4103
2020-04-01,16.684
2020-04-02,16.9358
2020-04-03,16.521
2020-04-04,16.521
2020-04-05,16.521
2020-04-06,17.3012
2020-04-07,17.1996
2020-04-08,17.5841
2020-04-09,17.9496
2020-04-10,17.9496
2020-04-11,17.9496
2020-04-12,17.9496
2020-04-13,17.6197
2020-04-14,17.9318
2020-04-15,17.4593
2020-04-16,17.492
2020-04-17,17.7734
2020-04-18,17.7734
2020-04-19,17.7734
2020-04-20,17.4853
2020-04-21,17.1586
2020-04-22,17.5143
2020-04-23,17.3012
2020-04-24,17.3804
2020-04-25,17.3804
2020-04-26,17.3804
2020-04-27,17.6364
2020-04-28,17.6572
2020-04-29,17.7467
2020-04-30,17.4876
2020-05-01,17.1853
2020-05-02,17.1853
2020-05-03,17.1853
2020-05-04,17.1237
2020-05-05,17.2009
2020-05-06,16.9061
2020-05-07,17.016
2020-05-08,17.5657
2020-05-09,17.5657
2020-05-10,17.5657
2020-05-11,17.5322
2020-05-12,17.4318
2020-05-13,17.1751
2020-05-14,17.2688
2020-05-15,17.088
2020-05-16,17.088
2020-05-17,17.088
2020-05-18,17.5902
2020-05-19,17.405
2020-05-20,17.463
2020-05-21,17.3447
2020-05-22,17.4362
2020-05-23,17.4362
2020-05-24,17.4362
2020-05-25,17.4362
2020-05-26,17.6036
2020-05-27,17.6795
2020-05-28,17.751
