,CLX US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,19.8165
2020-01-02,19.7125
2020-01-03,19.7461
2020-01-04,19.7461
2020-01-05,19.7461
2020-01-06,19.7975
2020-01-07,19.5907
2020-01-08,19.641
2020-01-09,19.7338
2020-01-10,19.831
2020-01-11,19.831
2020-01-12,19.831
2020-01-13,20.1137
2020-01-14,20.1193
2020-01-15,20.1663
2020-01-16,20.2177
2020-01-17,20.2814
2020-01-18,20.2814
2020-01-19,20.2814
2020-01-20,20.2814
2020-01-21,20.4378
2020-01-22,20.4971
2020-01-23,20.4345
2020-01-24,20.3462
2020-01-25,20.3462
2020-01-26,20.3462
2020-01-27,20.5339
2020-01-28,20.0992
2020-01-29,20.0031
2020-01-30,20.0757
2020-01-31,20.2378
2020-02-01,20.2378
2020-02-02,20.2378
2020-02-03,20.0735
2020-02-04,20.8841
2020-02-05,21.0757
2020-02-06,21.0457
2020-02-07,21.1749
2020-02-08,21.1749
2020-02-09,21.1749
2020-02-10,21.3342
2020-02-11,21.0111
2020-02-12,20.9521
2020-02-13,21.0122
2020-02-14,21.0189
2020-02-15,21.0189
2020-02-16,21.0189
2020-02-17,21.0189
2020-02-18,21.0178
2020-02-19,21.02
2020-02-20,20.9454
2020-02-21,20.9978
2020-02-22,20.9978
2020-02-23,20.9978
2020-02-24,21.2818
2020-02-25,21.3553
2020-02-26,21.3754
2020-02-27,21.45
2020-02-28,20.4163
2020-02-29,20.4163
2020-03-01,20.4163
2020-03-02,21.8188
2020-03-03,21.3576
2020-03-04,21.8756
2020-03-05,22.2465
2020-03-06,21.958
2020-03-07,21.958
2020-03-08,21.958
2020-03-09,22.1407
2020-03-10,22.1518
2020-03-11,21.528
2020-03-12,20.3361
2020-03-13,21.3464
2020-03-14,21.3464
2020-03-15,21.3464
2020-03-16,22.1173
2020-03-17,24.7006
2020-03-18,23.9286
2020-03-19,24.0211
2020-03-20,22.4192
2020-03-21,22.4192
2020-03-22,22.4192
2020-03-23,21.6104
2020-03-24,21.4077
2020-03-25,21.1114
2020-03-26,21.9413
2020-03-27,21.9502
2020-03-28,21.9502
2020-03-29,21.9502
2020-03-30,22.0939
2020-03-31,20.3649
2020-04-01,20.5117
2020-04-02,21.0367
2020-04-03,20.8117
2020-04-04,20.8117
2020-04-05,20.8117
2020-04-06,21.2117
2020-04-07,21.2242
2020-04-08,21.1763
2020-04-09,21.5065
2020-04-10,21.5065
2020-04-11,21.5065
