,CAR US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,8.7804
2020-01-02,8.8696
2020-01-03,8.8156
2020-01-04,8.8156
2020-01-05,8.8156
2020-01-06,8.832
2020-01-07,8.8443
2020-01-08,8.8934
2020-01-09,9.0515
2020-01-10,8.9655
2020-01-11,8.9655
2020-01-12,8.9655
2020-01-13,9.065
2020-01-14,9.1276
2020-01-15,9.0744
2020-01-16,9.0785
2020-01-17,9.0056
2020-01-18,9.0056
2020-01-19,9.0056
2020-01-20,9.0056
2020-01-21,8.9769
2020-01-22,8.9663
2020-01-23,8.9704
2020-01-24,8.9409
2020-01-25,8.9409
2020-01-26,8.9409
2020-01-27,8.8221
2020-01-28,8.9049
2020-01-29,8.8893
2020-01-30,8.8721
2020-01-31,8.8262
2020-02-01,8.8262
2020-02-02,8.8262
2020-02-03,8.8287
2020-02-04,8.9565
2020-02-05,9.0449
2020-02-06,8.9704
2020-02-07,8.9958
2020-02-08,8.9958
2020-02-09,8.9958
2020-02-10,9.1981
2020-02-11,9.3013
2020-02-12,9.488
2020-02-13,9.5372
2020-02-14,9.5224
2020-02-15,9.5224
2020-02-16,9.5224
2020-02-17,9.5224
2020-02-18,9.5237
2020-02-19,9.6764
2020-02-20,10.2925
2020-02-21,10.0945
2020-02-22,10.0945
2020-02-23,10.0945
2020-02-24,9.7819
2020-02-25,9.4577
2020-02-26,9.1112
2020-02-27,8.7808
2020-02-28,8.8105
2020-02-29,8.8105
2020-03-01,8.8105
2020-03-02,8.8027
2020-03-03,8.6088
2020-03-04,8.5247
2020-03-05,8.1914
2020-03-06,8.1303
2020-03-07,8.1303
2020-03-08,8.1303
2020-03-09,7.8795
2020-03-10,7.9645
2020-03-11,7.7409
2020-03-12,7.4209
2020-03-13,7.6255
2020-03-14,7.6255
2020-03-15,7.6255
2020-03-16,7.3194
2020-03-17,7.142
2020-03-18,6.7815
2020-03-19,6.9383
2020-03-20,7.0455
2020-03-21,7.0455
2020-03-22,7.0455
2020-03-23,7.2452
2020-03-24,7.6172
2020-03-25,7.5619
2020-03-26,7.4943
2020-03-27,7.27
2020-03-28,7.27
2020-03-29,7.27
2020-03-30,7.1782
2020-03-31,9.226
2020-04-01,9.1245
2020-04-02,8.9707
2020-04-03,8.905
2020-04-04,8.905
2020-04-05,8.905
2020-04-06,9.0766
2020-04-07,9.2231
2020-04-08,9.2762
2020-04-09,9.4241
2020-04-10,9.4241
2020-04-11,9.4241
2020-04-12,9.4241
2020-04-13,9.312
2020-04-14,9.282
2020-04-15,9.2598
2020-04-16,9.1283
2020-04-17,9.2385
2020-04-18,9.2385
2020-04-19,9.2385
2020-04-20,9.1883
2020-04-21,9.1032
2020-04-22,9.0423
2020-04-23,9.0432
2020-04-24,9.1467
2020-04-25,9.1467
2020-04-26,9.1467
2020-04-27,9.3516
2020-04-28,9.4792
2020-04-29,9.5257
2020-04-30,9.4754
2020-05-01,9.2262
2020-05-02,9.2262
2020-05-03,9.2262
2020-05-04,9.233
