,NAVI US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,116.0174
2020-01-02,116.0104
2020-01-03,115.9867
2020-01-04,115.9867
2020-01-05,115.9867
2020-01-06,115.9979
2020-01-07,115.9951
2020-01-08,116.0146
2020-01-09,115.9867
2020-01-10,115.9449
2020-01-11,115.9449
2020-01-12,115.9449
2020-01-13,115.97
2020-01-14,115.9839
2020-01-15,115.9672
2020-01-16,116.0007
2020-01-17,116.0676
2020-01-18,116.0676
2020-01-19,116.0676
2020-01-20,116.0676
2020-01-21,116.0676
2020-01-22,116.4355
2020-01-23,116.5107
2020-01-24,116.4146
2020-01-25,116.4146
2020-01-26,116.4146
2020-01-27,116.3212
2020-01-28,116.3909
2020-01-29,116.3853
2020-01-30,116.3574
2020-01-31,116.2125
2020-02-01,116.2125
2020-02-02,116.2125
2020-02-03,116.1094
2020-02-04,116.0564
2020-02-05,116.1261
2020-02-06,116.1344
2020-02-07,116.1094
2020-02-08,116.1094
2020-02-09,116.1094
2020-02-10,116.1289
2020-02-11,116.2459
2020-02-12,116.3184
2020-02-13,116.3128
2020-02-14,116.2655
2020-02-15,116.2655
2020-02-16,116.2655
2020-02-17,116.2655
2020-02-18,116.1902
2020-02-19,116.2
2020-02-20,116.232
2020-02-21,116.154
2020-02-22,116.154
2020-02-23,116.154
2020-02-24,115.8947
2020-02-25,115.6717
2020-02-26,115.5561
2020-02-27,115.3498
2020-02-28,114.9422
2020-02-29,114.9422
2020-03-01,114.9422
2020-03-02,115.0275
2020-03-03,114.7886
2020-03-04,114.9129
2020-03-05,114.7496
2020-03-06,114.7617
2020-03-07,114.7617
2020-03-08,114.7617
2020-03-09,114.4156
2020-03-10,114.6398
2020-03-11,114.5179
2020-03-12,114.1742
2020-03-13,114.318
2020-03-14,114.318
2020-03-15,114.318
2020-03-16,113.9816
2020-03-17,113.6549
2020-03-18,113.4233
2020-03-19,113.7353
2020-03-20,113.6671
2020-03-21,113.6671
2020-03-22,113.6671
2020-03-23,113.6817
2020-03-24,113.9304
2020-03-25,114.1522
2020-03-26,114.1718
2020-03-27,114.162
2020-03-28,114.162
2020-03-29,114.162
2020-03-30,114.1913
2020-03-31,183.5916
2020-04-01,183.3671
2020-04-02,183.1073
2020-04-03,182.9852
2020-04-04,182.9852
2020-04-05,182.9852
2020-04-06,183.3553
2020-04-07,183.4833
2020-04-08,183.6191
2020-04-09,183.8773
2020-04-10,183.8773
2020-04-11,183.8773
2020-04-12,183.8773
2020-04-13,183.7845
2020-04-14,183.6977
2020-04-15,183.5043
2020-04-16,183.453
2020-04-17,183.5832
2020-04-18,183.5832
2020-04-19,183.5832
2020-04-20,183.3937
2020-04-21,183.2003
2020-04-22,183.2122
2020-04-23,183.2595
2020-04-24,183.3819
2020-04-25,183.3819
2020-04-26,183.3819
2020-04-27,183.5201
2020-04-28,183.5595
2020-04-29,183.8556
2020-04-30,183.6148
2020-05-01,183.3802
2020-05-02,183.3802
2020-05-03,183.3802
2020-05-04,183.4572
2020-05-05,183.4453
2020-05-06,183.3664
2020-05-07,183.5835
2020-05-08,183.6743
2020-05-09,183.6743
2020-05-10,183.6743
2020-05-11,183.5085
2020-05-12,183.3861
2020-05-13,183.1433
2020-05-14,183.2953
2020-05-15,183.244
2020-05-16,183.244
2020-05-17,183.244
2020-05-18,183.4887
2020-05-19,183.319
2020-05-20,183.4098
2020-05-21,183.4414
2020-05-22,183.3585
2020-05-23,183.3585
2020-05-24,183.3585
2020-05-25,183.3585
2020-05-26,183.4927
2020-05-27,183.6664
2020-05-28,183.6427
2020-05-29,183.544
2020-05-30,183.544
2020-05-31,183.544
2020-06-01,183.6348
2020-06-02,183.7098
2020-06-03,183.8401
2020-06-04,183.8519
2020-06-05,184.0868
2020-06-06,184.0868
2020-06-07,184.0868
2020-06-08,184.2388
2020-06-09,184.0414
2020-06-10,183.7671
2020-06-11,183.544
2020-06-12,183.6664
2020-06-13,183.6664
2020-06-14,183.6664
2020-06-15,183.771
2020-06-16,183.8006
2020-06-17,183.7335
2020-06-18,183.7848
2020-06-19,183.6782
2020-06-20,183.6782
2020-06-21,183.6782
2020-06-22,183.6388
2020-06-23,183.6072
2020-06-24,183.4789
2020-06-25,183.5322
2020-06-26,183.3624
2020-06-27,183.3624
2020-06-28,183.3624
2020-06-29,183.4651
2020-06-30,191.4729
2020-07-01,191.4219
2020-07-02,191.4176
2020-07-03,191.4176
2020-07-04,191.4176
2020-07-05,191.4176
2020-07-06,191.5749
2020-07-07,191.3688
2020-07-08,191.4134
2020-07-09,191.2349
2020-07-10,191.4304
2020-07-11,191.4304
2020-07-12,191.4304
2020-07-13,191.3921
2020-07-14,191.4729
2020-07-15,191.6344
2020-07-16,191.6684
2020-07-17,191.5324
2020-07-18,191.5324
2020-07-19,191.5324
2020-07-20,191.4856
2020-07-21,191.7131
2020-07-22,191.8767
2020-07-23,191.9447
2020-07-24,191.8937
2020-07-25,191.8937
2020-07-26,191.8937
2020-07-27,192.0276
2020-07-28,191.9617
2020-07-29,191.9638
