,MKC/V US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,27.9346
2020-01-02,27.61
2020-01-03,27.9866
2020-01-04,27.9866
2020-01-05,27.9866
2020-01-06,28.1164
2020-01-07,27.7336
2020-01-08,27.6056
2020-01-09,26.8675
2020-01-10,27.1579
2020-01-11,27.1579
2020-01-12,27.1579
2020-01-13,27.3087
2020-01-14,27.5187
2020-01-15,27.6387
2020-01-16,27.5554
2020-01-17,27.7716
2020-01-18,27.7716
2020-01-19,27.7716
2020-01-20,27.7716
2020-01-21,28.104
2020-01-22,28.3049
2020-01-23,28.3418
2020-01-24,28.3301
2020-01-25,28.3301
2020-01-26,28.3301
2020-01-27,28.3397
2020-01-28,27.4134
2020-01-29,27.588
2020-01-30,27.3311
2020-01-31,27.0451
2020-02-01,27.0451
2020-02-02,27.0451
2020-02-03,27.0093
2020-02-04,26.6811
2020-02-05,26.841
2020-02-06,26.8632
2020-02-07,26.9924
2020-02-08,26.9924
2020-02-09,26.9924
2020-02-10,27.0569
2020-02-11,27.0258
2020-02-12,27.2568
2020-02-13,27.546
2020-02-14,27.5223
2020-02-15,27.5223
2020-02-16,27.5223
2020-02-17,27.5223
2020-02-18,27.2537
2020-02-19,27.1361
2020-02-20,27.093
2020-02-21,26.879
2020-02-22,26.879
2020-02-23,26.879
2020-02-24,26.7184
2020-02-25,26.3514
2020-02-26,25.6162
2020-02-27,25.2241
2020-02-28,24.8803
2020-02-29,24.8803
2020-03-01,24.8803
2020-03-02,25.7636
2020-03-03,25.4162
2020-03-04,25.9527
2020-03-05,25.9012
2020-03-06,25.4977
2020-03-07,25.4977
2020-03-08,25.4977
2020-03-09,24.6448
2020-03-10,25.6126
2020-03-11,24.9777
2020-03-12,22.8135
2020-03-13,23.3358
2020-03-14,23.3358
2020-03-15,23.3358
2020-03-16,21.2995
2020-03-17,23.8133
2020-03-18,24.1423
2020-03-19,22.037
2020-03-20,21.8918
2020-03-21,21.8918
2020-03-22,21.8918
2020-03-23,20.4066
2020-03-24,21.8875
2020-03-25,21.8564
2020-03-26,22.8771
2020-03-27,22.9686
2020-03-28,22.9686
2020-03-29,22.9686
2020-03-30,24.4681
2020-03-31,24.2151
2020-04-01,23.8244
2020-04-02,24.7548
