,LECO US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,17.4749
2020-01-02,17.7094
2020-01-03,17.5569
2020-01-04,17.5569
2020-01-05,17.5569
2020-01-06,17.5307
2020-01-07,17.5208
2020-01-08,17.5733
2020-01-09,17.6438
2020-01-10,17.4503
2020-01-11,17.4503
2020-01-12,17.4503
2020-01-13,17.4749
2020-01-14,17.4159
2020-01-15,17.329
2020-01-16,17.5946
2020-01-17,17.4913
2020-01-18,17.4913
2020-01-19,17.4913
2020-01-20,17.4913
2020-01-21,17.2552
2020-01-22,17.1142
2020-01-23,17.1568
2020-01-24,16.8698
2020-01-25,16.8698
2020-01-26,16.8698
2020-01-27,16.5796
2020-01-28,16.8846
2020-01-29,16.86
2020-01-30,16.8518
2020-01-31,16.2368
2020-02-01,16.2368
2020-02-02,16.2368
2020-02-03,16.5484
2020-02-04,16.9534
2020-02-05,17.1322
2020-02-06,16.9256
2020-02-07,16.7386
2020-02-08,16.7386
2020-02-09,16.7386
2020-02-10,16.7862
2020-02-11,16.9961
2020-02-12,17.142
2020-02-13,16.8764
2020-02-14,16.7944
2020-02-15,16.7944
2020-02-16,16.7944
2020-02-17,16.7944
2020-02-18,16.5861
2020-02-19,16.3106
2020-02-20,16.3303
2020-02-21,16.0663
2020-02-22,16.0663
2020-02-23,16.0663
2020-02-24,15.6448
2020-02-25,15.266
2020-02-26,15.2299
2020-02-27,15.0889
2020-02-28,14.8691
2020-02-29,14.8691
2020-03-01,14.8691
2020-03-02,15.3903
2020-03-03,15.3078
2020-03-04,15.5846
2020-03-05,14.9888
2020-03-06,14.7978
2020-03-07,14.7978
2020-03-08,14.7978
2020-03-09,13.281
2020-03-10,14.0483
2020-03-11,13.2518
2020-03-12,12.7565
2020-03-13,13.9431
2020-03-14,13.9431
2020-03-15,13.9431
2020-03-16,12.797
2020-03-17,13.4461
2020-03-18,13.0123
2020-03-19,12.6302
2020-03-20,12.0649
2020-03-21,12.0649
2020-03-22,12.0649
2020-03-23,11.2905
2020-03-24,12.0358
2020-03-25,12.6795
2020-03-26,13.391
2020-03-27,12.7876
2020-03-28,12.7876
2020-03-29,12.7876
2020-03-30,12.8876
2020-03-31,13.5965
2020-04-01,12.7982
2020-04-02,13.1631
2020-04-03,13.148
2020-04-04,13.148
2020-04-05,13.148
2020-04-06,14.1052
2020-04-07,14.2224
2020-04-08,15.0558
2020-04-09,15.1194
2020-04-10,15.1194
2020-04-11,15.1194
2020-04-12,15.1194
2020-04-13,14.5604
2020-04-14,14.8667
2020-04-15,14.2793
2020-04-16,14.5805
2020-04-17,14.7244
2020-04-18,14.7244
2020-04-19,14.7244
2020-04-20,14.3998
2020-04-21,14.209
2020-04-22,14.4182
2020-04-23,14.5286
2020-04-24,14.773
2020-04-25,14.773
2020-04-26,14.773
2020-04-27,15.3866
2020-04-28,15.4295
2020-04-29,15.8062
2020-04-30,15.3502
2020-05-01,14.7522
2020-05-02,14.7522
2020-05-03,14.7522
2020-05-04,14.6812
2020-05-05,14.8199
2020-05-06,14.5539
2020-05-07,14.7059
2020-05-08,15.0496
2020-05-09,15.0496
2020-05-10,15.0496
2020-05-11,14.8744
2020-05-12,14.3805
2020-05-13,13.7659
2020-05-14,13.9658
2020-05-15,14.1244
2020-05-16,14.1244
2020-05-17,14.1244
2020-05-18,15.0231
2020-05-19,14.9488
2020-05-20,15.1768
2020-05-21,15.1586
2020-05-22,15.2148
2020-05-23,15.2148
2020-05-24,15.2148
2020-05-25,15.2148
2020-05-26,15.8971
2020-05-27,16.2391
2020-05-28,15.8079
2020-05-29,15.6245
2020-05-30,15.6245
2020-05-31,15.6245
2020-06-01,15.7236
2020-06-02,15.836
2020-06-03,16.2044
2020-06-04,16.282
2020-06-05,16.8503
2020-06-06,16.8503
2020-06-07,16.8503
2020-06-08,17.2022
2020-06-09,17.0288
2020-06-10,16.4951
2020-06-11,15.2891
2020-06-12,15.5617
2020-06-13,15.5617
2020-06-14,15.5617
2020-06-15,15.6559
2020-06-16,15.8938
2020-06-17,16.0111
2020-06-18,15.8624
2020-06-19,15.8459
2020-06-20,15.8459
2020-06-21,15.8459
2020-06-22,15.7104
2020-06-23,15.6311
2020-06-24,15.3122
2020-06-25,15.3833
2020-06-26,15.4395
2020-06-27,15.4395
2020-06-28,15.4395
2020-06-29,15.7368
2020-06-30,19.3042
2020-07-01,18.9547
2020-07-02,19.2517
2020-07-03,19.2517
2020-07-04,19.2517
2020-07-05,19.2517
2020-07-06,19.5163
2020-07-07,19.3406
2020-07-08,19.5708
2020-07-09,19.2193
2020-07-10,19.3204
2020-07-11,19.3204
2020-07-12,19.3204
2020-07-13,19.7163
2020-07-14,20.1041
2020-07-15,20.4354
2020-07-16,20.3748
2020-07-17,20.3364
2020-07-18,20.3364
2020-07-19,20.3364
2020-07-20,20.0799
2020-07-21,20.3869
2020-07-22,20.5041
2020-07-23,20.6677
2020-07-24,20.7768
2020-07-25,20.7768
2020-07-26,20.7768
2020-07-27,21.2167
2020-07-28,20.5443
2020-07-29,20.8068
2020-07-30,20.6553
2020-07-31,20.5402
2020-08-01,20.5402
2020-08-02,20.5402
2020-08-03,20.8573
2020-08-04,20.9219
2020-08-05,21.1804
2020-08-06,21.1632
2020-08-07,21.5196
2020-08-08,21.5196
2020-08-09,21.5196
2020-08-10,21.8387
2020-08-11,22.0891
2020-08-12,22.1032
2020-08-13,21.9538
2020-08-14,21.9639
2020-08-15,21.9639
2020-08-16,21.9639
2020-08-17,22.0164
2020-08-18,21.8084
2020-08-19,21.7094
2020-08-20,21.5903
2020-08-21,21.7135
2020-08-22,21.7135
2020-08-23,21.7135
2020-08-24,21.9073
2020-08-25,21.8185
2020-08-26,21.9275
2020-08-27,21.9316
2020-08-28,22.1173
2020-08-29,22.1173
2020-08-30,22.1173
2020-08-31,21.8165
2020-09-01,21.9921
2020-09-02,22.1678
2020-09-03,21.3621
2020-09-04,21.4106
2020-09-05,21.4106
2020-09-06,21.4106
2020-09-07,21.4106
2020-09-08,20.9623
2020-09-09,21.2935
2020-09-10,20.8593
2020-09-11,21.0107
2020-09-12,21.0107
2020-09-13,21.0107
2020-09-14,21.247
2020-09-15,21.1864
2020-09-16,21.0309
2020-09-17,21.146
2020-09-18,20.8088
2020-09-19,20.8088
2020-09-20,20.8088
2020-09-21,20.199
2020-09-22,20.2212
2020-09-23,19.9849
2020-09-24,20.2091
2020-09-25,20.2454
2020-09-26,20.2454
2020-09-27,20.2454
2020-09-28,20.7482
2020-09-29,20.72
2020-09-30,21.4687
2020-10-01,21.2401
2020-10-02,21.4351
2020-10-03,21.4351
2020-10-04,21.4351
2020-10-05,22.0683
2020-10-06,22.0515
2020-10-07,22.2213
2020-10-08,22.3576
2020-10-09,22.2947
2020-10-10,22.2947
2020-10-11,22.2947
2020-10-12,22.7077
2020-10-13,22.7203
2020-10-14,22.8503
2020-10-15,23.2235
2020-10-16,23.322
2020-10-17,23.322
2020-10-18,23.322
2020-10-19,23.3011
2020-10-20,23.5526
2020-10-21,23.4856
2020-10-22,23.9489
2020-10-23,24.299
2020-10-24,24.299
2020-10-25,24.299
2020-10-26,23.7078
2020-10-27,23.5082
2020-10-28,23.1743
2020-10-29,23.4515
2020-10-30,23.5566
2020-10-31,23.5566
2020-11-01,23.5566
2020-11-02,24.2097
2020-11-03,24.823
2020-11-04,23.7603
2020-11-05,24.3882
2020-11-06,24.2391
2020-11-07,24.2391
2020-11-08,24.2391
2020-11-09,24.9049
2020-11-10,25.5203
2020-11-11,25.7618
2020-11-12,25.5329
2020-11-13,26.2259
2020-11-14,26.2259
2020-11-15,26.2259
2020-11-16,26.9106
2020-11-17,26.5683
2020-11-18,26.2385
2020-11-19,26.2469
2020-11-20,25.9655
2020-11-21,25.9655
2020-11-22,25.9655
2020-11-23,26.1209
2020-11-24,26.457
2020-11-25,26.1545
2020-11-26,26.1545
2020-11-27,26.3268
2020-11-28,26.3268
2020-11-29,26.3268
2020-11-30,26.3247
2020-12-01,26.5347
2020-12-02,26.3141
2020-12-03,26.1629
2020-12-04,26.9379
2020-12-05,26.9379
2020-12-06,26.9379
2020-12-07,27.0093
2020-12-08,27.2719
2020-12-09,27.3937
2020-12-10,27.2698
2020-12-11,27.5239
2020-12-12,27.5239
2020-12-13,27.5239
2020-12-14,27.0135
2020-12-15,27.4084
2020-12-16,27.1626
2020-12-17,27.1983
2020-12-18,27.1059
2020-12-19,27.1059
2020-12-20,27.1059
2020-12-21,27.1269
2020-12-22,27.0366
2020-12-23,27.1332
2020-12-24,27.1248
2020-12-25,27.1248
2020-12-26,27.1248
2020-12-27,27.1248
2020-12-28,26.9442
2020-12-29,26.5347
2020-12-30,26.6607
2020-12-31,26.1448
2021-01-01,26.1448
2021-01-02,26.1448
