,HUBG US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,12.3723
2020-01-02,12.6382
2020-01-03,12.6005
2020-01-04,12.6005
2020-01-05,12.6005
2020-01-06,12.6448
2020-01-07,12.5794
2020-01-08,12.7933
2020-01-09,12.6891
2020-01-10,12.6027
2020-01-11,12.6027
2020-01-12,12.6027
2020-01-13,12.9218
2020-01-14,13.0857
2020-01-15,12.8442
2020-01-16,13.2032
2020-01-17,13.2009
2020-01-18,13.2009
2020-01-19,13.2009
2020-01-20,13.2009
2020-01-21,13.0957
2020-01-22,12.9993
2020-01-23,13.0636
2020-01-24,13.006
2020-01-25,13.006
2020-01-26,13.006
2020-01-27,12.8664
2020-01-28,12.8952
2020-01-29,12.9882
2020-01-30,12.9484
2020-01-31,12.7224
2020-02-01,12.7224
2020-02-02,12.7224
2020-02-03,12.6559
2020-02-04,12.8952
2020-02-05,13.2718
2020-02-06,13.2708
2020-02-07,14.2251
2020-02-08,14.2251
2020-02-09,14.2251
2020-02-10,13.5575
2020-02-11,13.2929
2020-02-12,13.4612
2020-02-13,13.6228
2020-02-14,13.2996
2020-02-15,13.2996
2020-02-16,13.2996
2020-02-17,13.2996
2020-02-18,13.2985
2020-02-19,13.2929
2020-02-20,13.3483
2020-02-21,13.1888
2020-02-22,13.1888
2020-02-23,13.1888
2020-02-24,12.7238
2020-02-25,12.1437
2020-02-26,11.703
2020-02-27,11.2668
2020-02-28,11.3149
2020-02-29,11.3149
2020-03-01,11.3149
2020-03-02,11.8835
2020-03-03,11.6761
2020-03-04,12.073
2020-03-05,11.4287
2020-03-06,11.2124
2020-03-07,11.2124
2020-03-08,11.2124
2020-03-09,10.3228
2020-03-10,10.635
2020-03-11,10.2047
2020-03-12,9.9628
2020-03-13,10.1311
2020-03-14,10.1311
2020-03-15,10.1311
2020-03-16,9.3129
2020-03-17,10.3206
2020-03-18,10.3429
2020-03-19,10.9315
2020-03-20,10.5413
2020-03-21,10.5413
2020-03-22,10.5413
2020-03-23,10.8534
2020-03-24,10.8289
2020-03-25,10.5279
2020-03-26,11.0519
2020-03-27,10.5034
2020-03-28,10.5034
2020-03-29,10.5034
2020-03-30,10.7776
2020-03-31,12.4319
2020-04-01,12.1235
2020-04-02,12.0382
2020-04-03,11.9505
2020-04-04,11.9505
2020-04-05,11.9505
2020-04-06,12.2413
2020-04-07,12.6718
2020-04-08,12.9749
2020-04-09,13.052
2020-04-10,13.052
2020-04-11,13.052
2020-04-12,13.052
2020-04-13,12.8383
2020-04-14,13.3079
2020-04-15,13.0047
2020-04-16,13.2557
2020-04-17,13.4346
2020-04-18,13.4346
2020-04-19,13.4346
2020-04-20,12.7811
2020-04-21,12.4556
2020-04-22,12.3239
2020-04-23,12.4109
2020-04-24,12.5351
2020-04-25,12.5351
2020-04-26,12.5351
2020-04-27,13.0942
2020-04-28,13.1687
2020-04-29,13.534
2020-04-30,12.9849
2020-05-01,11.6071
2020-05-02,11.6071
2020-05-03,11.6071
2020-05-04,12.0802
2020-05-05,12.0304
2020-05-06,11.7017
2020-05-07,12.0254
2020-05-08,12.4146
2020-05-09,12.4146
2020-05-10,12.4146
2020-05-11,12.5598
2020-05-12,11.6874
2020-05-13,11.168
2020-05-14,11.0479
2020-05-15,10.8426
2020-05-16,10.8426
2020-05-17,10.8426
2020-05-18,11.7738
2020-05-19,11.6637
2020-05-20,11.8364
2020-05-21,11.8314
2020-05-22,12.0366
2020-05-23,12.0366
2020-05-24,12.0366
2020-05-25,12.0366
2020-05-26,12.5448
2020-05-27,13.0104
2020-05-28,12.8276
2020-05-29,12.7375
2020-05-30,12.7375
2020-05-31,12.7375
2020-06-01,12.5323
2020-06-02,12.8126
2020-06-03,12.8201
2020-06-04,12.8827
2020-06-05,13.3658
2020-06-06,13.3658
2020-06-07,13.3658
2020-06-08,13.521
2020-06-09,13.2306
2020-06-10,13.3483
2020-06-11,12.5272
2020-06-12,12.5848
2020-06-13,12.5848
2020-06-14,12.5848
2020-06-15,12.8627
2020-06-16,12.9678
2020-06-17,13.2932
2020-06-18,13.3533
2020-06-19,12.8577
2020-06-20,12.8577
2020-06-21,12.8577
2020-06-22,12.8176
2020-06-23,12.9478
2020-06-24,12.5773
2020-06-25,12.292
2020-06-26,12.5523
2020-06-27,12.5523
2020-06-28,12.5523
2020-06-29,12.7175
2020-06-30,14.8291
2020-07-01,14.7004
2020-07-02,14.8906
2020-07-03,14.8906
2020-07-04,14.8906
2020-07-05,14.8906
2020-07-06,14.9549
2020-07-07,15.4143
2020-07-08,15.6104
2020-07-09,15.2534
2020-07-10,15.6982
2020-07-11,15.6982
2020-07-12,15.6982
2020-07-13,15.5167
2020-07-14,15.7479
2020-07-15,15.9469
2020-07-16,16.0434
2020-07-17,16.4794
2020-07-18,16.4794
2020-07-19,16.4794
2020-07-20,16.2366
2020-07-21,16.26
2020-07-22,16.0171
2020-07-23,15.941
2020-07-24,15.8649
2020-07-25,15.8649
2020-07-26,15.8649
2020-07-27,15.903
2020-07-28,15.5431
2020-07-29,15.8152
2020-07-30,15.4394
2020-07-31,16.2994
2020-08-01,16.2994
2020-08-02,16.2994
2020-08-03,16.2234
2020-08-04,16.2438
2020-08-05,16.5063
2020-08-06,16.4156
2020-08-07,16.8134
2020-08-08,16.8134
2020-08-09,16.8134
2020-08-10,16.3571
2020-08-11,16.2767
2020-08-12,16.3659
2020-08-13,16.3132
2020-08-14,16.3161
2020-08-15,16.3161
2020-08-16,16.3161
2020-08-17,16.1348
2020-08-18,15.9183
2020-08-19,16.0236
2020-08-20,16.1143
2020-08-21,16.439
2020-08-22,16.439
2020-08-23,16.439
2020-08-24,16.7491
2020-08-25,16.6438
2020-08-26,16.6847
2020-08-27,16.6789
2020-08-28,16.714
2020-08-29,16.714
2020-08-30,16.714
2020-08-31,16.5735
2020-09-01,16.5531
2020-09-02,16.828
2020-09-03,16.1377
2020-09-04,15.9505
2020-09-05,15.9505
2020-09-06,15.9505
2020-09-07,15.9505
2020-09-08,15.7516
2020-09-09,16.1523
2020-09-10,15.9008
2020-09-11,16.1611
2020-09-12,16.1611
2020-09-13,16.1611
2020-09-14,15.9388
2020-09-15,16.0207
2020-09-16,15.9593
2020-09-17,16.0032
2020-09-18,15.4503
2020-09-19,15.4503
2020-09-20,15.4503
2020-09-21,15.0671
2020-09-22,15.0701
2020-09-23,15.0993
2020-09-24,15.3684
2020-09-25,15.3128
2020-09-26,15.3128
2020-09-27,15.3128
2020-09-28,15.6112
2020-09-29,15.6024
2020-09-30,15.9001
2020-10-01,15.8534
2020-10-02,16.2027
2020-10-03,16.2027
2020-10-04,16.2027
2020-10-05,16.4406
2020-10-06,16.6874
2020-10-07,16.9584
2020-10-08,17.0156
2020-10-09,16.9554
2020-10-10,16.9554
2020-10-11,16.9554
2020-10-12,17.1722
2020-10-13,17.0608
2020-10-14,17.2414
2020-10-15,17.4582
2020-10-16,16.7477
2020-10-17,16.7477
2020-10-18,16.7477
2020-10-19,16.2629
2020-10-20,16.3111
2020-10-21,16.4255
2020-10-22,16.57
2020-10-23,16.6603
2020-10-24,16.6603
2020-10-25,16.6603
2020-10-26,16.4978
2020-10-27,16.2208
2020-10-28,15.6939
2020-10-29,15.7059
2020-10-30,15.871
2020-10-31,15.871
2020-11-01,15.871
2020-11-02,15.7988
2020-11-03,16.2651
2020-11-04,16.1328
2020-11-05,16.1566
2020-11-06,16.2078
2020-11-07,16.2078
2020-11-08,16.2078
2020-11-09,15.8226
2020-11-10,16.626
2020-11-11,16.5809
2020-11-12,16.4996
2020-11-13,16.96
2020-11-14,16.96
2020-11-15,16.96
2020-11-16,17.3
2020-11-17,17.4474
2020-11-18,17.3301
2020-11-19,17.294
2020-11-20,17.306
2020-11-21,17.306
2020-11-22,17.306
2020-11-23,17.2459
2020-11-24,17.5708
2020-11-25,17.5558
2020-11-26,17.5558
2020-11-27,17.4836
2020-11-28,17.4836
2020-11-29,17.4836
2020-11-30,17.2218
2020-12-01,17.3391
2020-12-02,17.2519
2020-12-03,17.2759
2020-12-04,17.625
2020-12-05,17.625
2020-12-06,17.625
2020-12-07,17.8416
2020-12-08,17.8747
2020-12-09,18.2599
2020-12-10,18.0342
2020-12-11,18.2689
2020-12-12,18.2689
2020-12-13,18.2689
2020-12-14,17.8055
2020-12-15,18.0161
2020-12-16,17.962
2020-12-17,18.0673
2020-12-18,17.962
2020-12-19,17.962
2020-12-20,17.962
2020-12-21,17.8266
2020-12-22,17.7604
2020-12-23,17.8446
2020-12-24,17.8236
2020-12-25,17.8236
2020-12-26,17.8236
2020-12-27,17.8236
2020-12-28,17.9319
2020-12-29,17.7995
2020-12-30,17.8326
2020-12-31,20.2313
2021-01-01,20.2313
2021-01-02,20.2313
2021-01-03,20.2313
2021-01-04,19.6761
2021-01-05,20.0505
2021-01-06,20.7187
2021-01-07,20.7477
2021-01-08,20.7251
2021-01-09,20.7251
2021-01-10,20.7251
2021-01-11,20.8478
2021-01-12,21.0221
2021-01-13,20.6606
2021-01-14,21.2867
2021-01-15,20.8704
2021-01-16,20.8704
2021-01-17,20.8704
2021-01-18,20.8704
2021-01-19,20.8252
2021-01-20,21.3642
2021-01-21,21.0253
2021-01-22,20.9769
2021-01-23,20.9769
2021-01-24,20.9769
2021-01-25,21.0447
2021-01-26,20.7961
2021-01-27,19.8246
2021-01-28,19.4534
2021-01-29,18.8208
2021-01-30,18.8208
2021-01-31,18.8208
2021-02-01,19.3663
2021-02-02,19.9537
2021-02-03,19.7116
2021-02-04,20.1474
2021-02-05,20.536
2021-02-06,20.536
2021-02-07,20.536
2021-02-08,20.772
2021-02-09,20.9401
2021-02-10,20.0931
2021-02-11,19.6728
2021-02-12,19.9735
2021-02-13,19.9735
2021-02-14,19.9735
2021-02-15,19.9735
2021-02-16,19.6857
2021-02-17,19.6437
2021-02-18,19.3624
2021-02-19,20.1965
2021-02-20,20.1965
2021-02-21,20.1965
2021-02-22,20.2741
2021-02-23,20.0155
2021-02-24,20.4196
2021-02-25,20.2676
2021-02-26,20.4487
2021-02-27,20.4487
2021-02-28,20.4487
2021-03-01,20.8037
2021-03-02,20.7907
2021-03-03,21.1129
2021-03-04,21.5131
2021-03-05,21.8612
2021-03-06,21.8612
2021-03-07,21.8612
2021-03-08,22.2517
2021-03-09,22.7235
2021-03-10,22.8146
2021-03-11,23.3548
2021-03-12,23.999
2021-03-13,23.999
2021-03-14,23.999
2021-03-15,23.5825
2021-03-16,23.2897
2021-03-17,23.6248
2021-03-18,23.96
2021-03-19,23.4068
2021-03-20,23.4068
2021-03-21,23.4068
2021-03-22,23.1075
2021-03-23,22.5641
2021-03-24,22.7007
2021-03-25,22.8797
2021-03-26,23.8493
2021-03-27,23.8493
2021-03-28,23.8493
2021-03-29,23.7159
2021-03-30,23.947
2021-03-31,21.6189
2021-04-01,21.7971
2021-04-02,21.7971
2021-04-03,21.7971
2021-04-04,21.7971
2021-04-05,21.9754
2021-04-06,21.4187
2021-04-07,21.0998
2021-04-08,21.2124
2021-04-09,21.4031
2021-04-10,21.4031
2021-04-11,21.4031
2021-04-12,21.6986
2021-04-13,21.6079
2021-04-14,22.1394
2021-04-15,22.2394
2021-04-16,22.1769
2021-04-17,22.1769
2021-04-18,22.1769
2021-04-19,21.8924
2021-04-20,21.7205
2021-04-21,21.3953
2021-04-22,21.1421
2021-04-23,21.2077
2021-04-24,21.2077
2021-04-25,21.2077
2021-04-26,20.7451
2021-04-27,20.8513
2021-04-28,20.9139
2021-04-29,21.3078
2021-04-30,21.1265
2021-05-01,21.1265
2021-05-02,21.1265
2021-05-03,21.7361
2021-05-04,22.0362
2021-05-05,22.4963
2021-05-06,22.3713
2021-05-07,23.3497
2021-05-08,23.3497
2021-05-09,23.3497
2021-05-10,23.531
2021-05-11,23.0746
2021-05-12,22.5837
2021-05-13,23.2934
2021-05-14,23.7842
2021-05-15,23.7842
2021-05-16,23.7842
2021-05-17,23.853
2021-05-18,23.3575
2021-05-19,22.4931
2021-05-20,22.3805
2021-05-21,22.3367
2021-05-22,22.3367
2021-05-23,22.3367
2021-05-24,22.4993
2021-05-25,21.9897
2021-05-26,22.2336
2021-05-27,22.3649
2021-05-28,22.4055
2021-05-29,22.4055
2021-05-30,22.4055
2021-05-31,22.4055
2021-06-01,22.7056
2021-06-02,22.0835
2021-06-03,22.0554
2021-06-04,21.5708
2021-06-05,21.5708
2021-06-06,21.5708
2021-06-07,21.5927
2021-06-08,21.4957
2021-06-09,21.1362
2021-06-10,20.9674
2021-06-11,21.3113
2021-06-12,21.3113
2021-06-13,21.3113
2021-06-14,21.6521
2021-06-15,21.899
2021-06-16,21.7271
2021-06-17,21.0424
2021-06-18,20.6766
2021-06-19,20.6766
2021-06-20,20.6766
2021-06-21,21.28
2021-06-22,21.6614
2021-06-23,21.3175
2021-06-24,21.3144
2021-06-25,21.3207
2021-06-26,21.3207
2021-06-27,21.3207
2021-06-28,21.3175
2021-06-29,21.3238
2021-06-30,18.2582
2021-07-01,19.0118
2021-07-02,18.8316
2021-07-03,18.8316
2021-07-04,18.8316
2021-07-05,18.8316
2021-07-06,18.5613
2021-07-07,18.7715
2021-07-08,18.2282
2021-07-09,18.5695
2021-07-10,18.5695
2021-07-11,18.5695
2021-07-12,18.5941
2021-07-13,18.3838
2021-07-14,18.5067
2021-07-15,18.5668
2021-07-16,17.8678
2021-07-17,17.8678
2021-07-18,17.8678
2021-07-19,17.5156
2021-07-20,17.7586
2021-07-21,17.6603
2021-07-22,17.7012
2021-07-23,18.0453
2021-07-24,18.0453
2021-07-25,18.0453
2021-07-26,17.9633
2021-07-27,17.7395
2021-07-28,17.693
2021-07-29,18.1916
2021-07-30,18.3088
2021-07-31,18.3088
2021-08-01,18.3088
2021-08-02,18.1044
2021-08-03,18.4478
2021-08-04,17.502
2021-08-05,17.3739
2021-08-06,17.6874
2021-08-07,17.6874
2021-08-08,17.6874
2021-08-09,17.3951
2021-08-10,17.5505
2021-08-11,17.9567
2021-08-12,17.9594
2021-08-13,18.5428
2021-08-14,18.5428
2021-08-15,18.5428
2021-08-16,18.6791
2021-08-17,18.4883
2021-08-18,18.3247
2021-08-19,18.0494
2021-08-20,18.5346
2021-08-21,18.5346
2021-08-22,18.5346
2021-08-23,18.6627
2021-08-24,18.4337
