,REGI US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,3.1971
2020-01-02,3.2926
2020-01-03,3.3866
2020-01-04,3.3866
2020-01-05,3.3866
2020-01-06,3.3434
2020-01-07,3.1453
2020-01-08,3.0183
2020-01-09,3.0305
2020-01-10,3.0274
2020-01-11,3.0274
2020-01-12,3.0274
2020-01-13,3.0305
2020-01-14,3.1371
2020-01-15,3.1209
2020-01-16,3.1443
2020-01-17,3.0391
2020-01-18,3.0391
2020-01-19,3.0391
2020-01-20,3.0391
2020-01-21,3.0518
2020-01-22,3.0589
2020-01-23,3.1509
2020-01-24,3.0995
2020-01-25,3.0995
2020-01-26,3.0995
2020-01-27,3.067
2020-01-28,3.1148
2020-01-29,3.0985
2020-01-30,3.1006
2020-01-31,3.129
2020-02-01,3.129
2020-02-02,3.129
2020-02-03,3.1534
2020-02-04,3.2367
2020-02-05,3.2926
2020-02-06,3.318
2020-02-07,3.1869
2020-02-08,3.1869
2020-02-09,3.1869
2020-02-10,3.2509
2020-02-11,3.2591
2020-02-12,3.2794
2020-02-13,3.3434
2020-02-14,3.4145
2020-02-15,3.4145
2020-02-16,3.4145
2020-02-17,3.4145
2020-02-18,3.446
2020-02-19,3.57
2020-02-20,3.5944
2020-02-21,3.5324
2020-02-22,3.5324
2020-02-23,3.5324
2020-02-24,3.4125
2020-02-25,3.2631
2020-02-26,3.2875
2020-02-27,3.0894
2020-02-28,3.1463
2020-02-29,3.1463
2020-03-01,3.1463
2020-03-02,3.2022
2020-03-03,3.1067
2020-03-04,3.2509
2020-03-05,3.2174
2020-03-06,3.2014
2020-03-07,3.2014
2020-03-08,3.2014
2020-03-09,2.8325
2020-03-10,2.8823
2020-03-11,2.5805
2020-03-12,2.4311
2020-03-13,3.3548
2020-03-14,3.3548
2020-03-15,3.3548
2020-03-16,2.5845
2020-03-17,2.3864
2020-03-18,2.2025
2020-03-19,2.3955
2020-03-20,2.4667
2020-03-21,2.4667
2020-03-22,2.4667
2020-03-23,2.3722
2020-03-24,2.5825
2020-03-25,2.4972
2020-03-26,2.4504
2020-03-27,2.3163
2020-03-28,2.3163
2020-03-29,2.3163
2020-03-30,2.359
2020-03-31,1.7935
2020-04-01,1.6732
2020-04-02,1.7068
2020-04-03,1.7451
2020-04-04,1.7451
2020-04-05,1.7451
2020-04-06,1.8778
2020-04-07,1.9629
2020-04-08,2.0253
2020-04-09,2.0207
2020-04-10,2.0207
2020-04-11,2.0207
2020-04-12,2.0207
2020-04-13,2.0371
2020-04-14,1.9691
2020-04-15,1.852
2020-04-16,1.8247
2020-04-17,1.9441
2020-04-18,1.9441
2020-04-19,1.9441
2020-04-20,1.9395
2020-04-21,1.852
2020-04-22,1.9106
2020-04-23,2.0066
2020-04-24,2.0441
2020-04-25,2.0441
2020-04-26,2.0441
2020-04-27,2.1026
2020-04-28,2.1003
2020-04-29,2.1409
2020-04-30,2.1276
2020-05-01,1.9926
2020-05-02,1.9926
2020-05-03,1.9926
2020-05-04,2.1106
2020-05-05,2.0848
2020-05-06,2.027
2020-05-07,2.0809
2020-05-08,2.1129
2020-05-09,2.1129
2020-05-10,2.1129
2020-05-11,2.1567
2020-05-12,2.2052
2020-05-13,1.9817
2020-05-14,1.9996
2020-05-15,2.0676
2020-05-16,2.0676
2020-05-17,2.0676
2020-05-18,2.2052
2020-05-19,2.2474
2020-05-20,2.2348
2020-05-21,2.3153
2020-05-22,2.2856
2020-05-23,2.2856
2020-05-24,2.2856
2020-05-25,2.2856
2020-05-26,2.3122
2020-05-27,2.4646
2020-05-28,2.3818
2020-05-29,2.4138
2020-05-30,2.4138
2020-05-31,2.4138
2020-06-01,2.3802
2020-06-02,2.513
2020-06-03,2.4599
2020-06-04,2.5013
2020-06-05,2.6791
2020-06-06,2.6791
2020-06-07,2.6791
2020-06-08,2.7233
2020-06-09,2.7365
2020-06-10,2.6349
2020-06-11,2.3036
2020-06-12,2.3314
2020-06-13,2.3314
2020-06-14,2.3314
2020-06-15,2.3716
2020-06-16,2.4044
2020-06-17,2.3497
2020-06-18,2.4107
2020-06-19,2.3966
2020-06-20,2.3966
2020-06-21,2.3966
2020-06-22,2.3825
2020-06-23,2.424
2020-06-24,1.9668
2020-06-25,1.991
2020-06-26,1.934
2020-06-27,1.934
2020-06-28,1.934
2020-06-29,2.0856
2020-06-30,1.3539
2020-07-01,1.2927
2020-07-02,1.2799
2020-07-03,1.2799
2020-07-04,1.2799
2020-07-05,1.2799
2020-07-06,1.2998
2020-07-07,1.2645
2020-07-08,1.3511
2020-07-09,1.2799
2020-07-10,1.2542
2020-07-11,1.2542
2020-07-12,1.2542
2020-07-13,1.2172
2020-07-14,1.2499
2020-07-15,1.3546
2020-07-16,1.3767
2020-07-17,1.4088
2020-07-18,1.4088
2020-07-19,1.4088
2020-07-20,1.417
2020-07-21,1.4429
2020-07-22,1.4636
2020-07-23,1.4971
2020-07-24,1.527
2020-07-25,1.527
2020-07-26,1.527
2020-07-27,1.5647
2020-07-28,1.537
2020-07-29,1.6068
2020-07-30,1.5918
2020-07-31,1.5533
2020-08-01,1.5533
2020-08-02,1.5533
2020-08-03,1.6139
2020-08-04,1.6317
2020-08-05,1.8121
2020-08-06,1.9167
2020-08-07,2.0866
2020-08-08,2.0866
2020-08-09,2.0866
2020-08-10,2.2844
2020-08-11,2.2844
2020-08-12,2.3653
2020-08-13,2.4198
2020-08-14,2.4306
2020-08-15,2.4306
2020-08-16,2.4306
2020-08-17,2.4327
2020-08-18,2.3001
2020-08-19,2.2887
2020-08-20,2.2887
2020-08-21,2.2084
2020-08-22,2.2084
2020-08-23,2.2084
2020-08-24,2.3331
2020-08-25,2.3184
2020-08-26,2.2206
2020-08-27,2.1654
2020-08-28,2.1353
2020-08-29,2.1353
2020-08-30,2.1353
2020-08-31,1.9848
2020-09-01,2.3567
2020-09-02,2.3553
2020-09-03,2.3016
2020-09-04,2.4091
2020-09-05,2.4091
2020-09-06,2.4091
2020-09-07,2.4091
2020-09-08,2.3381
2020-09-09,2.6678
2020-09-10,2.5674
2020-09-11,2.5452
2020-09-12,2.5452
2020-09-13,2.5452
2020-09-14,2.6993
2020-09-15,2.8347
2020-09-16,2.9616
2020-09-17,2.9838
2020-09-18,3.0863
2020-09-19,3.0863
2020-09-20,3.0863
2020-09-21,2.9487
2020-09-22,2.9902
2020-09-23,2.8706
2020-09-24,2.9171
2020-09-25,2.8247
2020-09-26,2.8247
2020-09-27,2.8247
2020-09-28,2.9451
2020-09-29,3.1737
2020-09-30,3.2767
2020-10-01,3.311
2020-10-02,3.4302
2020-10-03,3.4302
2020-10-04,3.4302
2020-10-05,3.5231
2020-10-06,3.478
2020-10-07,3.7014
2020-10-08,3.7304
2020-10-09,3.9397
2020-10-10,3.9397
2020-10-11,3.9397
2020-10-12,3.9303
2020-10-13,3.6045
2020-10-14,3.4833
2020-10-15,3.5136
2020-10-16,3.4416
2020-10-17,3.4416
2020-10-18,3.4416
2020-10-19,3.4093
2020-10-20,3.657
2020-10-21,3.6893
2020-10-22,3.8448
2020-10-23,3.6415
2020-10-24,3.6415
2020-10-25,3.6415
2020-10-26,3.5372
2020-10-27,3.6604
2020-10-28,3.3932
2020-10-29,3.5406
2020-10-30,3.4773
2020-10-31,3.4773
2020-11-01,3.4773
2020-11-02,3.4154
2020-11-03,3.3649
2020-11-04,3.1569
2020-11-05,3.5412
2020-11-06,3.2952
2020-11-07,3.2952
2020-11-08,3.2952
2020-11-09,3.5776
2020-11-10,3.8174
2020-11-11,3.9663
2020-11-12,3.6874
2020-11-13,3.7447
2020-11-14,3.7447
2020-11-15,3.7447
2020-11-16,3.8039
2020-11-17,3.6672
2020-11-18,3.4677
2020-11-19,3.4415
2020-11-20,3.3262
2020-11-21,3.3262
2020-11-22,3.3262
2020-11-23,3.5728
2020-11-24,3.5984
2020-11-25,3.682
2020-11-26,3.682
2020-11-27,3.8498
2020-11-28,3.8498
2020-11-29,3.8498
2020-11-30,3.5944
2020-12-01,3.6234
2020-12-02,3.7009
2020-12-03,3.6348
2020-12-04,3.6793
2020-12-05,3.6793
2020-12-06,3.6793
2020-12-07,3.4118
2020-12-08,3.6497
2020-12-09,3.6153
2020-12-10,3.5789
2020-12-11,3.8686
2020-12-12,3.8686
2020-12-13,3.8686
2020-12-14,4.0492
2020-12-15,4.4696
2020-12-16,4.4427
2020-12-17,4.6179
2020-12-18,4.7735
2020-12-19,4.7735
2020-12-20,4.7735
2020-12-21,4.9042
2020-12-22,5.0046
2020-12-23,4.8847
2020-12-24,4.5741
2020-12-25,4.5741
2020-12-26,4.5741
2020-12-27,4.5741
2020-12-28,4.6738
2020-12-29,4.3241
2020-12-30,4.5946
2020-12-31,20.8639
2021-01-01,20.8639
2021-01-02,20.8639
2021-01-03,20.8639
2021-01-04,20.4019
2021-01-05,22.2561
2021-01-06,25.2173
2021-01-07,26.2033
2021-01-08,25.0405
2021-01-09,25.0405
2021-01-10,25.0405
2021-01-11,25.518
2021-01-12,25.6266
2021-01-13,25.3258
2021-01-14,24.6995
2021-01-15,23.7135
2021-01-16,23.7135
2021-01-17,23.7135
2021-01-18,23.7135
2021-01-19,25.8126
2021-01-20,27.2017
2021-01-21,28.997
2021-01-22,30.076
2021-01-23,30.076
2021-01-24,30.076
2021-01-25,29.9892
2021-01-26,29.3691
2021-01-27,28.8296
2021-01-28,27.7691
2021-01-29,26.687
2021-01-30,26.687
2021-01-31,26.687
2021-02-01,29.5954
2021-02-02,28.228
2021-02-03,29.1117
2021-02-04,28.9629
2021-02-05,29.5024
2021-02-06,29.5024
2021-02-07,29.5024
2021-02-08,33.4744
2021-02-09,33.1984
2021-02-10,34.1534
2021-02-11,32.7302
2021-02-12,32.6806
2021-02-13,32.6806
2021-02-14,32.6806
2021-02-15,32.6806
2021-02-16,32.3829
2021-02-17,30.6683
2021-02-18,27.8994
2021-02-19,28.966
2021-02-20,28.966
2021-02-21,28.966
2021-02-22,29.1117
2021-02-23,27.9583
2021-02-24,28.0792
2021-02-25,25.5522
2021-02-26,23.0189
2021-02-27,23.0189
2021-02-28,23.0189
2021-03-01,25.7785
2021-03-02,24.8032
2021-03-03,22.3225
2021-03-04,21.8078
2021-03-05,22.5551
2021-03-06,22.5551
2021-03-07,22.5551
2021-03-08,22.0078
2021-03-09,22.9954
2021-03-10,24.428
2021-03-11,24.5551
2021-03-12,23.8822
2021-03-13,23.8822
2021-03-14,23.8822
2021-03-15,23.4078
2021-03-16,22.1923
2021-03-17,23.0869
2021-03-18,23.0126
2021-03-19,22.874
2021-03-20,22.874
2021-03-21,22.874
2021-03-22,23.3644
2021-03-23,21.3457
2021-03-24,21.5127
2021-03-25,21.4523
2021-03-26,21.5732
2021-03-27,21.5732
2021-03-28,21.5732
2021-03-29,20.3434
2021-03-30,22.1951
2021-03-31,28.6342
2021-04-01,29.8487
2021-04-02,29.8487
2021-04-03,29.8487
2021-04-04,29.8487
2021-04-05,27.3053
2021-04-06,28.4193
2021-04-07,27.2893
2021-04-08,28.2343
2021-04-09,27.6543
2021-04-10,27.6543
2021-04-11,27.6543
2021-04-12,26.1993
2021-04-13,26.4693
2021-04-14,27.6443
2021-04-15,26.1043
2021-04-16,28.1843
2021-04-17,28.1843
2021-04-18,28.1843
2021-04-19,26.6693
2021-04-20,25.2043
2021-04-21,25.8193
2021-04-22,24.5792
2021-04-23,25.0843
2021-04-24,25.0843
2021-04-25,25.0843
2021-04-26,25.9243
2021-04-27,25.2993
2021-04-28,24.7992
2021-04-29,23.4992
2021-04-30,23.5242
2021-05-01,23.5242
2021-05-02,23.5242
2021-05-03,22.0392
2021-05-04,26.9144
2021-05-05,26.004
2021-05-06,27.0249
2021-05-07,27.6195
2021-05-08,27.6195
2021-05-09,27.6195
2021-05-10,25.4936
2021-05-11,25.12
2021-05-12,25.099
2021-05-13,26.2408
2021-05-14,29.0034
2021-05-15,29.0034
2021-05-16,29.0034
2021-05-17,28.9507
2021-05-18,30.4346
2021-05-19,30.0505
2021-05-20,25.9988
2021-05-21,26.0987
2021-05-22,26.0987
2021-05-23,26.0987
2021-05-24,27.63
2021-05-25,26.4092
2021-05-26,27.53
2021-05-27,28.0036
2021-05-28,27.8983
2021-05-29,27.8983
2021-05-30,27.8983
2021-05-31,27.8983
2021-06-01,29.4348
2021-06-02,31.6554
2021-06-03,32.8393
2021-06-04,30.9082
2021-06-05,30.9082
2021-06-06,30.9082
2021-06-07,31.9974
2021-06-08,31.829
2021-06-09,33.1919
2021-06-10,32.2553
