,IP US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,12.9416
2020-01-02,12.8447
2020-01-03,12.6984
2020-01-04,12.6984
2020-01-05,12.6984
2020-01-06,12.5576
2020-01-07,12.4717
2020-01-08,12.5649
2020-01-09,12.5869
2020-01-10,12.5649
2020-01-11,12.5649
2020-01-12,12.5649
2020-01-13,12.6472
2020-01-14,12.6436
2020-01-15,12.6582
2020-01-16,12.8136
2020-01-17,12.8867
2020-01-18,12.8867
2020-01-19,12.8867
2020-01-20,12.8867
2020-01-21,12.6655
2020-01-22,12.66
2020-01-23,12.6874
2020-01-24,12.4808
2020-01-25,12.4808
2020-01-26,12.4808
2020-01-27,12.3071
2020-01-28,12.3565
2020-01-29,12.4516
2020-01-30,12.2358
2020-01-31,11.967
2020-02-01,11.967
2020-02-02,11.967
2020-02-03,12.0639
2020-02-04,12.1572
2020-02-05,12.5741
2020-02-06,12.6125
2020-02-07,12.4863
2020-02-08,12.4863
2020-02-09,12.4863
2020-02-10,12.5192
2020-02-11,12.6344
2020-02-12,12.6582
2020-02-13,12.4662
2020-02-14,12.4187
2020-02-15,12.4187
2020-02-16,12.4187
2020-02-17,12.4187
2020-02-18,12.426
2020-02-19,12.3292
2020-02-20,12.3749
2020-02-21,12.4335
2020-02-22,12.4335
2020-02-23,12.4335
2020-02-24,12.0824
2020-02-25,11.6948
2020-02-26,11.6198
2020-02-27,11.298
2020-02-28,11.2797
2020-02-29,11.2797
2020-03-01,11.2797
2020-03-02,11.5119
2020-03-03,11.298
2020-03-04,11.4552
2020-03-05,11.2011
2020-03-06,11.0511
2020-03-07,11.0511
2020-03-08,11.0511
2020-03-09,10.424
2020-03-10,10.7696
2020-03-11,10.4148
2020-03-12,9.7548
2020-03-13,10.6361
2020-03-14,10.6361
2020-03-15,10.6361
2020-03-16,9.9559
2020-03-17,10.6452
2020-03-18,10.1808
2020-03-19,10.0309
2020-03-20,9.9175
2020-03-21,9.9175
2020-03-22,9.9175
2020-03-23,9.3616
2020-03-24,9.6249
2020-03-25,9.7877
2020-03-26,10.1918
2020-03-27,10.1204
2020-03-28,10.1204
2020-03-29,10.1204
2020-03-30,10.2503
2020-03-31,12.9861
2020-04-01,12.7789
2020-04-02,12.8569
2020-04-03,12.5946
2020-04-04,12.5946
2020-04-05,12.5946
2020-04-06,13.105
2020-04-07,12.9538
2020-04-08,13.4807
2020-04-09,13.7288
2020-04-10,13.7288
2020-04-11,13.7288
2020-04-12,13.7288
2020-04-13,13.7856
2020-04-14,13.5894
2020-04-15,13.1688
2020-04-16,12.8546
2020-04-17,13.1806
2020-04-18,13.1806
2020-04-19,13.1806
2020-04-20,12.9278
2020-04-21,12.7719
2020-04-22,12.7364
2020-04-23,12.8711
2020-04-24,13.0105
2020-04-25,13.0105
2020-04-26,13.0105
2020-04-27,13.4075
2020-04-28,14.1022
2020-04-29,14.2841
2020-04-30,13.7477
2020-05-01,13.6595
