,BIIB US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,7.6812
2020-01-02,7.6174
2020-01-03,7.5305
2020-01-04,7.5305
2020-01-05,7.5305
2020-01-06,7.5298
2020-01-07,7.5111
2020-01-08,7.5769
2020-01-09,7.6189
2020-01-10,7.6755
2020-01-11,7.6755
2020-01-12,7.6755
2020-01-13,7.6087
2020-01-14,7.7386
2020-01-15,7.5879
2020-01-16,7.4099
2020-01-17,7.3935
2020-01-18,7.3935
2020-01-19,7.3935
2020-01-20,7.3935
2020-01-21,7.4368
2020-01-22,7.4601
2020-01-23,7.3604
2020-01-24,7.2049
2020-01-25,7.2049
2020-01-26,7.2049
2020-01-27,7.2817
2020-01-28,7.3025
2020-01-29,7.3171
2020-01-30,7.1893
2020-01-31,6.9669
2020-02-01,6.9669
2020-02-02,6.9669
2020-02-03,7.0663
2020-02-04,7.3368
2020-02-05,8.6071
2020-02-06,8.4137
2020-02-07,8.4498
2020-02-08,8.4498
2020-02-09,8.4498
2020-02-10,8.4555
2020-02-11,8.2914
2020-02-12,8.2783
2020-02-13,8.3398
2020-02-14,8.3089
2020-02-15,8.3089
2020-02-16,8.3089
2020-02-17,8.3089
2020-02-18,8.4102
2020-02-19,8.5076
2020-02-20,8.3989
2020-02-21,8.4006
2020-02-22,8.4006
2020-02-23,8.4006
2020-02-24,8.1354
2020-02-25,8.0892
2020-02-26,8.1717
2020-02-27,7.7424
2020-02-28,7.7007
2020-02-29,7.7007
2020-03-01,7.7007
2020-03-02,8.1826
2020-03-03,7.8833
2020-03-04,8.1965
2020-03-05,7.9308
2020-03-06,7.9369
2020-03-07,7.9369
2020-03-08,7.9369
2020-03-09,7.4238
2020-03-10,7.6324
2020-03-11,7.3512
2020-03-12,6.7241
2020-03-13,7.6221
2020-03-14,7.6221
2020-03-15,7.6221
2020-03-16,7.0415
2020-03-17,7.6248
2020-03-18,7.4607
2020-03-19,7.1972
2020-03-20,6.9686
2020-03-21,6.9686
2020-03-22,6.9686
2020-03-23,6.7318
2020-03-24,6.9048
2020-03-25,7.1221
2020-03-26,7.6154
2020-03-27,7.413
2020-03-28,7.413
2020-03-29,7.413
2020-03-30,7.892
2020-03-31,7.6899
2020-04-01,7.1433
2020-04-02,7.4082
2020-04-03,7.3145
2020-04-04,7.3145
2020-04-05,7.3145
2020-04-06,7.5718
2020-04-07,7.3311
2020-04-08,7.7033
2020-04-09,7.8003
2020-04-10,7.8003
2020-04-11,7.8003
2020-04-12,7.8003
2020-04-13,7.845
2020-04-14,8.1009
2020-04-15,7.9396
2020-04-16,8.2092
2020-04-17,8.3088
2020-04-18,8.3088
2020-04-19,8.3088
2020-04-20,7.8667
2020-04-21,7.632
2020-04-22,6.9324
2020-04-23,6.6873
2020-04-24,6.8103
2020-04-25,6.8103
2020-04-26,6.8103
2020-04-27,6.931
2020-04-28,6.9749
2020-04-29,6.9636
2020-04-30,6.7888
2020-05-01,6.7059
2020-05-02,6.7059
2020-05-03,6.7059
2020-05-04,6.782
2020-05-05,6.9576
2020-05-06,7.0095
2020-05-07,7.1698
2020-05-08,7.17
2020-05-09,7.17
2020-05-10,7.17
2020-05-11,7.4802
2020-05-12,7.2975
2020-05-13,7.1908
2020-05-14,7.2099
2020-05-15,7.2272
2020-05-16,7.2272
2020-05-17,7.2272
2020-05-18,7.2117
2020-05-19,7.0826
2020-05-20,7.0704
2020-05-21,6.958
2020-05-22,6.9596
2020-05-23,6.9596
2020-05-24,6.9596
2020-05-25,6.9596
2020-05-26,6.7675
2020-05-27,6.8915
2020-05-28,6.8702
2020-05-29,7.0163
2020-05-30,7.0163
2020-05-31,7.0163
2020-06-01,6.8913
2020-06-02,6.9225
2020-06-03,6.9168
2020-06-04,6.8514
2020-06-05,7.0081
2020-06-06,7.0081
2020-06-07,7.0081
2020-06-08,6.8871
2020-06-09,6.7203
2020-06-10,6.7538
2020-06-11,6.4871
2020-06-12,6.3995
2020-06-13,6.3995
2020-06-14,6.3995
2020-06-15,6.3822
2020-06-16,6.4627
2020-06-17,6.448
2020-06-18,5.9789
2020-06-19,6.2161
2020-06-20,6.2161
2020-06-21,6.2161
2020-06-22,6.0673
2020-06-23,6.1538
2020-06-24,6.0396
2020-06-25,6.0305
2020-06-26,5.9425
2020-06-27,5.9425
2020-06-28,5.9425
2020-06-29,5.98
2020-06-30,6.2655
2020-07-01,6.204
2020-07-02,6.2118
2020-07-03,6.2118
2020-07-04,6.2118
2020-07-05,6.2118
2020-07-06,6.3153
2020-07-07,6.2832
2020-07-08,6.5451
2020-07-09,6.5121
2020-07-10,6.5161
2020-07-11,6.5161
2020-07-12,6.5161
2020-07-13,6.4639
2020-07-14,6.569
2020-07-15,6.6063
2020-07-16,6.5307
2020-07-17,6.5825
2020-07-18,6.5825
2020-07-19,6.5825
2020-07-20,6.6161
2020-07-21,6.5451
2020-07-22,6.3733
2020-07-23,6.3239
2020-07-24,6.1913
2020-07-25,6.1913
2020-07-26,6.1913
2020-07-27,6.4887
2020-07-28,6.3634
2020-07-29,6.2993
2020-07-30,6.2456
2020-07-31,6.242
2020-08-01,6.242
2020-08-02,6.242
2020-08-03,6.3164
2020-08-04,6.2718
2020-08-05,6.2737
2020-08-06,6.3057
2020-08-07,6.9076
2020-08-08,6.9076
2020-08-09,6.9076
2020-08-10,6.7906
2020-08-11,6.5692
2020-08-12,6.6396
2020-08-13,6.5392
2020-08-14,6.5587
2020-08-15,6.5587
2020-08-16,6.5587
2020-08-17,6.5525
2020-08-18,6.5464
2020-08-19,6.3555
2020-08-20,6.3027
2020-08-21,6.293
2020-08-22,6.293
2020-08-23,6.293
2020-08-24,6.2821
2020-08-25,6.3351
2020-08-26,6.3381
2020-08-27,6.34
2020-08-28,6.3872
2020-08-29,6.3872
2020-08-30,6.3872
2020-08-31,6.5198
2020-09-01,6.3505
2020-09-02,6.4761
2020-09-03,6.2733
2020-09-04,6.2701
2020-09-05,6.2701
2020-09-06,6.2701
2020-09-07,6.2701
2020-09-08,6.1177
2020-09-09,6.1952
2020-09-10,6.0665
2020-09-11,6.1394
2020-09-12,6.1394
2020-09-13,6.1394
2020-09-14,6.3192
2020-09-15,6.3227
2020-09-16,6.2785
