,RGP US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,11.2152
2020-01-02,11.2507
2020-01-03,11.915
2020-01-04,11.915
2020-01-05,11.915
2020-01-06,11.4246
2020-01-07,11.3563
2020-01-08,11.3563
2020-01-09,11.1918
2020-01-10,11.1669
2020-01-11,11.1669
2020-01-12,11.1669
2020-01-13,11.2321
2020-01-14,11.2011
2020-01-15,11.2104
2020-01-16,11.2663
2020-01-17,11.2197
2020-01-18,11.2197
2020-01-19,11.2197
2020-01-20,11.2197
2020-01-21,10.9807
2020-01-22,11.0831
2020-01-23,11.1266
2020-01-24,10.99
2020-01-25,10.99
2020-01-26,10.99
2020-01-27,10.8348
2020-01-28,10.8596
2020-01-29,10.8658
2020-01-30,10.8286
2020-01-31,10.5647
2020-02-01,10.5647
2020-02-02,10.5647
2020-02-03,10.5927
2020-02-04,10.6051
2020-02-05,10.7727
2020-02-06,10.5802
2020-02-07,10.3692
2020-02-08,10.3692
2020-02-09,10.3692
2020-02-10,10.2326
2020-02-11,10.2139
2020-02-12,10.2077
2020-02-13,10.1394
2020-02-14,10.0277
2020-02-15,10.0277
2020-02-16,10.0277
2020-02-17,10.0277
2020-02-18,10.0215
2020-02-19,9.7111
2020-02-20,9.7607
2020-02-21,11.115
2020-02-22,11.115
2020-02-23,11.115
2020-02-24,10.965
2020-02-25,10.5293
2020-02-26,10.4435
2020-02-27,10.1507
2020-02-28,10.2364
2020-02-29,10.2364
2020-03-01,10.2364
2020-03-02,10.3507
2020-03-03,9.8863
2020-03-04,10.1435
2020-03-05,9.7863
2020-03-06,9.9292
2020-03-07,9.9292
2020-03-08,9.9292
2020-03-09,9.222
2020-03-10,9.3791
2020-03-11,9.4149
2020-03-12,8.4433
2020-03-13,8.7076
2020-03-14,8.7076
2020-03-15,8.7076
2020-03-16,7.929
2020-03-17,8.7434
2020-03-18,7.729
2020-03-19,7.9647
2020-03-20,8.0861
2020-03-21,8.0861
2020-03-22,8.0861
2020-03-23,7.8933
2020-03-24,8.1933
2020-03-25,8.1862
2020-03-26,8.9934
2020-03-27,8.6362
2020-03-28,8.6362
2020-03-29,8.6362
2020-03-30,9.0505
2020-03-31,9.122
2020-04-01,8.6576
2020-04-02,8.5729
2020-04-03,8.2443
2020-04-04,8.2443
2020-04-05,8.2443
2020-04-06,8.13
2020-04-07,8.6444
2020-04-08,8.6444
2020-04-09,9.0373
2020-04-10,9.0373
2020-04-11,9.0373
2020-04-12,9.0373
2020-04-13,8.773
2020-04-14,8.6444
2020-04-15,8.4586
2020-04-16,8.2871
2020-04-17,8.5872
2020-04-18,8.5872
2020-04-19,8.5872
2020-04-20,8.7551
2020-04-21,8.5372
2020-04-22,8.6086
2020-04-23,8.7158
2020-04-24,8.48
2020-04-25,8.48
2020-04-26,8.48
2020-04-27,8.7158
2020-04-28,8.923
2020-04-29,9.1516
2020-04-30,9.0588
2020-05-01,8.9945
2020-05-02,8.9945
2020-05-03,8.9945
2020-05-04,8.7301
2020-05-05,8.7944
2020-05-06,8.5229
2020-05-07,8.6944
2020-05-08,9.0588
2020-05-09,9.0588
2020-05-10,9.0588
2020-05-11,8.8158
2020-05-12,8.3657
2020-05-13,8.1728
2020-05-14,8.38
2020-05-15,8.5086
2020-05-16,8.5086
2020-05-17,8.5086
2020-05-18,9.0516
2020-05-19,8.6622
2020-05-20,9.0159
2020-05-21,8.8444
2020-05-22,8.8016
2020-05-23,8.8016
2020-05-24,8.8016
2020-05-25,8.8016
2020-05-26,9.3303
2020-05-27,9.6446
2020-05-28,9.4589
2020-05-29,10.0621
2020-05-30,10.0621
2020-05-31,10.0621
2020-06-01,9.9036
2020-06-02,9.9787
2020-06-03,10.4961
2020-06-04,10.7215
2020-06-05,11.097
2020-06-06,11.097
2020-06-07,11.097
2020-06-08,11.5227
2020-06-09,11.3474
2020-06-10,10.7966
2020-06-11,10.2291
2020-06-12,10.2624
2020-06-13,10.2624
2020-06-14,10.2624
2020-06-15,10.2708
2020-06-16,10.4377
2020-06-17,10.3125
2020-06-18,10.2958
2020-06-19,10.2541
2020-06-20,10.2541
2020-06-21,10.2541
2020-06-22,10.5212
2020-06-23,10.6046
2020-06-24,10.4961
2020-06-25,10.5712
2020-06-26,10.5546
2020-06-27,10.5546
2020-06-28,10.5546
2020-06-29,10.5212
2020-06-30,10.8801
2020-07-01,10.6464
2020-07-02,10.8216
2020-07-03,10.8216
2020-07-04,10.8216
2020-07-05,10.8216
2020-07-06,10.8383
2020-07-07,10.5629
2020-07-08,10.4002
2020-07-09,9.9787
2020-07-10,10.2124
2020-07-11,10.2124
2020-07-12,10.2124
2020-07-13,10.2374
2020-07-14,10.3709
2020-07-15,10.7716
2020-07-16,10.6464
2020-07-17,10.5629
2020-07-18,10.5629
2020-07-19,10.5629
2020-07-20,10.4043
2020-07-21,11.2306
2020-07-22,10.7716
2020-07-23,10.3042
2020-07-24,10.0788
2020-07-25,10.0788
2020-07-26,10.0788
2020-07-27,10.1206
2020-07-28,10.204
2020-07-29,10.3083
2020-07-30,10.3709
2020-07-31,10.3209
2020-08-01,10.3209
2020-08-02,10.3209
2020-08-03,10.4627
2020-08-04,10.4544
2020-08-05,11.072
2020-08-06,11.0637
2020-08-07,11.3224
2020-08-08,11.3224
2020-08-09,11.3224
2020-08-10,11.2974
2020-08-11,11.5227
2020-08-12,11.5144
2020-08-13,11.3766
2020-08-14,11.3725
2020-08-15,11.3725
2020-08-16,11.3725
2020-08-17,11.3307
2020-08-18,11.3474
2020-08-19,11.3474
2020-08-20,11.3391
2020-08-21,11.3015
2020-08-22,11.3015
2020-08-23,11.3015
2020-08-24,11.6312
2020-08-25,11.5644
2020-08-26,11.4726
2020-08-27,11.4309
2020-08-28,12.2315
2020-08-29,12.2315
2020-08-30,12.2315
2020-08-31,11.8226
2020-09-01,11.8598
2020-09-02,12.12
2020-09-03,11.7761
2020-09-04,11.646
2020-09-05,11.646
2020-09-06,11.646
2020-09-07,11.646
2020-09-08,11.4044
2020-09-09,11.2093
2020-09-10,10.977
2020-09-11,10.9848
2020-09-12,10.9848
2020-09-13,10.9848
2020-09-14,11.2473
2020-09-15,10.9848
2020-09-16,11.3363
2020-09-17,11.5378
2020-09-18,11.6597
2020-09-19,11.6597
2020-09-20,11.6597
2020-09-21,11.3035
2020-09-22,11.3035
2020-09-23,10.9379
2020-09-24,11.0879
2020-09-25,11.1067
2020-09-26,11.1067
2020-09-27,11.1067
2020-09-28,11.4254
2020-09-29,11.3879
2020-09-30,11.2285
2020-10-01,10.9942
2020-10-02,11.041
2020-10-03,11.041
2020-10-04,11.041
2020-10-05,11.3691
2020-10-06,11.3972
2020-10-07,11.9222
2020-10-08,11.2783
2020-10-09,11.3252
2020-10-10,11.3252
2020-10-11,11.3252
2020-10-12,11.7284
2020-10-13,11.4565
2020-10-14,11.2221
2020-10-15,11.2783
2020-10-16,11.3721
2020-10-17,11.3721
2020-10-18,11.3721
2020-10-19,11.1752
2020-10-20,11.1283
2020-10-21,11.0814
2020-10-22,11.2127
2020-10-23,11.0814
2020-10-24,11.0814
2020-10-25,11.0814
2020-10-26,10.7345
2020-10-27,10.697
2020-10-28,10.4814
2020-10-29,10.5189
2020-10-30,10.472
2020-10-31,10.472
2020-11-01,10.472
2020-11-02,10.5845
2020-11-03,10.922
2020-11-04,10.772
2020-11-05,10.9408
2020-11-06,10.6876
2020-11-07,10.6876
2020-11-08,10.6876
2020-11-09,11.569
2020-11-10,11.7846
2020-11-11,11.4471
2020-11-12,11.3158
2020-11-13,11.6909
2020-11-14,11.6909
2020-11-15,11.6909
2020-11-16,11.7846
2020-11-17,12.1315
2020-11-18,11.7565
2020-11-19,11.5971
2020-11-20,11.794
2020-11-21,11.794
2020-11-22,11.794
2020-11-23,12.0003
2020-11-24,12.2909
2020-11-25,12.0565
2020-11-26,12.0565
2020-11-27,22.9061
2020-11-28,22.9061
2020-11-29,22.9061
2020-11-30,22.2056
2020-12-01,22.5289
2020-12-02,22.457
2020-12-03,22.8701
2020-12-04,23.8041
2020-12-05,23.8041
2020-12-06,23.8041
2020-12-07,23.7143
2020-12-08,23.8221
2020-12-09,23.7502
2020-12-10,23.6874
2020-12-11,23.6245
2020-12-12,23.6245
2020-12-13,23.6245
2020-12-14,24.0017
2020-12-15,23.9119
2020-12-16,23.3551
2020-12-17,23.409
2020-12-18,23.1396
2020-12-19,23.1396
2020-12-20,23.1396
2020-12-21,22.3852
2020-12-22,22.4481
2020-12-23,22.8881
2020-12-24,22.7624
2020-12-25,22.7624
2020-12-26,22.7624
2020-12-27,22.7624
2020-12-28,23.1755
2020-12-29,22.9959
2020-12-30,22.8701
2020-12-31,23.0318
2021-01-01,23.0318
2021-01-02,23.0318
2021-01-03,23.0318
2021-01-04,22.7444
2021-01-05,23.0498
2021-01-06,24.2888
2021-01-07,22.2379
2021-01-08,21.7968
2021-01-09,21.7968
2021-01-10,21.7968
2021-01-11,21.6708
2021-01-12,21.9859
2021-01-13,22.2199
2021-01-14,22.4179
2021-01-15,23.183
2021-01-16,23.183
2021-01-17,23.183
2021-01-18,23.183
2021-01-19,23.138
2021-01-20,22.868
2021-01-21,22.724
2021-01-22,23.174
2021-01-23,23.174
2021-01-24,23.174
2021-01-25,22.688
2021-01-26,22.3279
2021-01-27,21.8238
2021-01-28,21.7158
2021-01-29,21.2298
2021-01-30,21.2298
2021-01-31,21.2298
2021-02-01,21.7518
2021-02-02,22.1119
2021-02-03,22.3279
