,NKE US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,30.3583
2020-01-02,30.6194
2020-01-03,30.5373
2020-01-04,30.5373
2020-01-05,30.5373
2020-01-06,30.5109
2020-01-07,30.4258
2020-01-08,30.3585
2020-01-09,30.338
2020-01-10,30.1683
2020-01-11,30.1683
2020-01-12,30.1683
2020-01-13,30.537
2020-01-14,30.7594
2020-01-15,30.7214
2020-01-16,30.8911
2020-01-17,31.2305
2020-01-18,31.2305
2020-01-19,31.2305
2020-01-20,31.2305
2020-01-21,31.2452
2020-01-22,31.2188
2020-01-23,30.7887
2020-01-24,30.499
2020-01-25,30.499
2020-01-26,30.499
2020-01-27,29.9752
2020-01-28,30.0249
2020-01-29,29.8581
2020-01-30,29.3753
2020-01-31,28.8222
2020-02-01,28.8222
2020-02-02,28.8222
2020-02-03,29.6913
2020-02-04,30.3088
2020-02-05,30.063
2020-02-06,29.984
2020-02-07,29.7411
2020-02-08,29.7411
2020-02-09,29.7411
2020-02-10,29.9108
2020-02-11,29.9108
2020-02-12,30.7828
2020-02-13,30.8911
2020-02-14,30.9408
2020-02-15,30.9408
2020-02-16,30.9408
2020-02-17,30.9408
2020-02-18,30.4902
2020-02-19,30.6248
2020-02-20,30.6453
2020-02-21,29.9781
2020-02-22,29.9781
2020-02-23,29.9781
2020-02-24,28.7081
2020-02-25,27.8273
2020-02-26,27.564
2020-02-27,26.5544
2020-02-28,27.1058
2020-02-29,27.1058
2020-03-01,27.1058
2020-03-02,28.0822
2020-03-03,27.5644
2020-03-04,28.4107
2020-03-05,27.4609
2020-03-06,26.804
2020-03-07,26.804
2020-03-08,26.804
2020-03-09,25.5465
2020-03-10,26.7863
2020-03-11,25.514
2020-03-12,22.6144
2020-03-13,23.0227
2020-03-14,23.0227
2020-03-15,23.0227
2020-03-16,20.4219
2020-03-17,21.3243
2020-03-18,20.7917
2020-03-19,21.4723
2020-03-20,20.6172
2020-03-21,20.6172
2020-03-22,20.6172
2020-03-23,19.2413
2020-03-24,22.0611
2020-03-25,24.0375
2020-03-26,25.6028
2020-03-27,25.2862
2020-03-28,25.2862
2020-03-29,25.2862
2020-03-30,25.9223
2020-03-31,25.1412
2020-04-01,24.1026
2020-04-02,24.3719
2020-04-03,23.9932
2020-04-04,23.9932
2020-04-05,23.9932
2020-04-06,25.7004
2020-04-07,25.5239
2020-04-08,25.8607
2020-04-09,26.3009
2020-04-10,26.3009
2020-04-11,26.3009
2020-04-12,26.3009
2020-04-13,25.6126
2020-04-14,26.5018
2020-04-15,25.7839
2020-04-16,26.1562
2020-04-17,27.2227
2020-04-18,27.2227
2020-04-19,27.2227
2020-04-20,26.6289
2020-04-21,25.8312
2020-04-22,26.8859
2020-04-23,26.4664
2020-04-24,26.7677
2020-04-25,26.7677
2020-04-26,26.7677
2020-04-27,27.0632
2020-04-28,26.8948
2020-04-29,26.6791
2020-04-30,26.4162
2020-05-01,25.9316
2020-05-02,25.9316
2020-05-03,25.9316
2020-05-04,25.9937
2020-05-05,26.4221
2020-05-06,26.7884
2020-05-07,26.8239
2020-05-08,27.3852
2020-05-09,27.3852
2020-05-10,27.3852
2020-05-11,27.524
2020-05-12,26.7352
2020-05-13,26.0735
2020-05-14,26.23
2020-05-15,26.36
2020-05-16,26.36
2020-05-17,26.36
2020-05-18,27.5565
2020-05-19,27.6954
2020-05-20,28.1208
2020-05-21,28.5079
2020-05-22,28.3572
2020-05-23,28.3572
2020-05-24,28.3572
2020-05-25,28.3572
2020-05-26,29.2051
2020-05-27,30.1653
2020-05-28,29.7487
2020-05-29,49.2683
2020-05-30,49.2683
2020-05-31,49.2683
2020-06-01,49.7353
2020-06-02,50.3189
2020-06-03,51.958
2020-06-04,50.5815
2020-06-05,51.277
2020-06-06,51.277
2020-06-07,51.277
2020-06-08,52.0455
2020-06-09,51.2381
2020-06-10,50.9901
2020-06-11,47.6098
2020-06-12,48.2227
2020-06-13,48.2227
