,SKYW US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,11.4283
2020-01-02,11.4672
2020-01-03,11.3706
2020-01-04,11.3706
2020-01-05,11.3706
2020-01-06,11.3781
2020-01-07,11.3422
2020-01-08,11.3886
2020-01-09,11.4331
2020-01-10,11.3791
2020-01-11,11.3791
2020-01-12,11.3791
2020-01-13,11.3772
2020-01-14,11.3725
2020-01-15,11.4435
2020-01-16,11.5334
2020-01-17,11.577
2020-01-18,11.577
2020-01-19,11.577
2020-01-20,11.577
2020-01-21,11.4492
2020-01-22,11.3819
2020-01-23,11.4709
2020-01-24,11.3251
2020-01-25,11.3251
2020-01-26,11.3251
2020-01-27,11.1604
2020-01-28,11.2058
2020-01-29,11.0752
2020-01-30,11.1348
2020-01-31,10.5326
2020-02-01,10.5326
2020-02-02,10.5326
2020-02-03,10.5496
2020-02-04,10.7788
2020-02-05,10.9634
2020-02-06,10.7125
2020-02-07,10.7153
2020-02-08,10.7153
2020-02-09,10.7153
2020-02-10,10.6642
2020-02-11,10.7428
2020-02-12,10.7778
2020-02-13,10.8877
2020-02-14,10.7741
2020-02-15,10.7741
2020-02-16,10.7741
2020-02-17,10.7741
2020-02-18,10.7504
2020-02-19,10.6926
2020-02-20,10.6727
2020-02-21,10.5675
2020-02-22,10.5675
2020-02-23,10.5675
2020-02-24,10.3172
2020-02-25,10.0755
2020-02-26,9.7381
2020-02-27,9.6831
2020-02-28,9.612
2020-02-29,9.612
2020-03-01,9.612
2020-03-02,9.4414
2020-03-03,9.3864
2020-03-04,9.5978
2020-03-05,9.0462
2020-03-06,9.1779
2020-03-07,9.1779
2020-03-08,9.1779
2020-03-09,8.6291
2020-03-10,8.885
2020-03-11,8.6955
2020-03-12,7.7884
2020-03-13,7.8947
2020-03-14,7.8947
2020-03-15,7.8947
2020-03-16,7.4748
2020-03-17,7.3728
2020-03-18,6.4479
2020-03-19,6.9453
2020-03-20,7.218
2020-03-21,7.218
2020-03-22,7.218
2020-03-23,7.2747
2020-03-24,7.6862
2020-03-25,7.7494
2020-03-26,8.125
2020-03-27,7.873
2020-03-28,7.873
2020-03-29,7.873
2020-03-30,7.7777
2020-03-31,7.9688
2020-04-01,7.5119
2020-04-02,7.4999
2020-04-03,7.3452
2020-04-04,7.3452
2020-04-05,7.3452
2020-04-06,7.5973
2020-04-07,7.7991
2020-04-08,7.9146
2020-04-09,8.1887
2020-04-10,8.1887
2020-04-11,8.1887
2020-04-12,8.1887
2020-04-13,8.0301
2020-04-14,8.0632
2020-04-15,8.0582
2020-04-16,7.8714
2020-04-17,7.9246
2020-04-18,7.9246
2020-04-19,7.9246
2020-04-20,7.8513
2020-04-21,7.778
2020-04-22,7.6876
2020-04-23,7.8292
2020-04-24,7.9266
2020-04-25,7.9266
2020-04-26,7.9266
2020-04-27,8.0612
2020-04-28,8.2781
2020-04-29,8.5322
2020-04-30,8.4468
2020-05-01,8.0722
2020-05-02,8.0722
2020-05-03,8.0722
2020-05-04,7.9668
2020-05-05,7.8322
2020-05-06,7.7499
2020-05-07,7.7559
2020-05-08,8.2893
2020-05-09,8.2893
2020-05-10,8.2893
2020-05-11,8.141
2020-05-12,7.9341
2020-05-13,7.7423
2020-05-14,7.6491
2020-05-15,7.7473
2020-05-16,7.7473
2020-05-17,7.7473
2020-05-18,8.0388
2020-05-19,7.9426
2020-05-20,8.0959
2020-05-21,8.162
2020-05-22,8.162
2020-05-23,8.162
2020-05-24,8.162
2020-05-25,8.162
2020-05-26,8.4115
2020-05-27,8.7742
2020-05-28,8.6119
2020-05-29,8.5518
2020-05-30,8.5518
2020-05-31,8.5518
2020-06-01,8.6499
2020-06-02,8.7511
2020-06-03,9.0366
2020-06-04,9.3492
2020-06-05,9.6087
2020-06-06,9.6087
2020-06-07,9.6087
2020-06-08,10.0695
2020-06-09,9.7369
2020-06-10,9.0938
2020-06-11,8.4335
2020-06-12,8.8012
2020-06-13,8.8012
2020-06-14,8.8012
2020-06-15,8.8874
2020-06-16,9.0136
2020-06-17,8.8002
2020-06-18,8.8533
2020-06-19,8.697
2020-06-20,8.697
2020-06-21,8.697
2020-06-22,8.6119
2020-06-23,8.6369
2020-06-24,8.3153
2020-06-25,8.4766
2020-06-26,8.4025
2020-06-27,8.4025
2020-06-28,8.4025
2020-06-29,8.6309
2020-06-30,11.8695
2020-07-01,11.6948
2020-07-02,11.6328
2020-07-03,11.6328
2020-07-04,11.6328
2020-07-05,11.6328
2020-07-06,11.7768
2020-07-07,11.55
2020-07-08,11.5001
2020-07-09,11.2234
2020-07-10,11.5087
2020-07-11,11.5087
2020-07-12,11.5087
2020-07-13,11.4588
2020-07-14,11.5101
2020-07-15,11.841
2020-07-16,11.6328
2020-07-17,11.5329
2020-07-18,11.5329
2020-07-19,11.5329
2020-07-20,11.319
2020-07-21,11.3076
2020-07-22,11.2734
2020-07-23,11.3561
