,AIMC US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,16.7741
2020-01-02,16.8341
2020-01-03,16.8512
2020-01-04,16.8512
2020-01-05,16.8512
2020-01-06,16.8826
2020-01-07,16.8298
2020-01-08,16.8084
2020-01-09,16.8455
2020-01-10,16.7255
2020-01-11,16.7255
2020-01-12,16.7255
2020-01-13,16.8769
2020-01-14,16.8598
2020-01-15,16.7255
2020-01-16,16.9026
2020-01-17,16.8998
2020-01-18,16.8998
2020-01-19,16.8998
2020-01-20,16.8998
2020-01-21,16.6741
2020-01-22,16.5312
2020-01-23,16.4541
2020-01-24,16.3626
2020-01-25,16.3626
2020-01-26,16.3626
2020-01-27,16.1626
2020-01-28,16.1741
2020-01-29,16.1798
2020-01-30,16.2141
2020-01-31,15.9312
2020-02-01,15.9312
2020-02-02,15.9312
2020-02-03,16.0883
2020-02-04,16.2483
2020-02-05,16.7169
2020-02-06,16.7141
2020-02-07,16.4426
2020-02-08,16.4426
2020-02-09,16.4426
2020-02-10,16.3655
2020-02-11,16.4283
2020-02-12,16.4741
2020-02-13,17.1141
2020-02-14,16.8312
2020-02-15,16.8312
2020-02-16,16.8312
2020-02-17,16.8312
2020-02-18,16.6226
2020-02-19,16.5255
2020-02-20,16.3998
2020-02-21,16.3341
2020-02-22,16.3341
2020-02-23,16.3341
2020-02-24,15.8626
2020-02-25,15.6083
2020-02-26,15.554
2020-02-27,15.2569
2020-02-28,15.0467
2020-02-29,15.0467
2020-03-01,15.0467
2020-03-02,15.0982
2020-03-03,14.6289
2020-03-04,14.8264
2020-03-05,14.0881
2020-03-06,13.7133
2020-03-07,13.7133
2020-03-08,13.7133
2020-03-09,12.6316
2020-03-10,13.2297
2020-03-11,12.5401
2020-03-12,11.5329
2020-03-13,11.8762
2020-03-14,11.8762
2020-03-15,11.8762
2020-03-16,10.9434
2020-03-17,10.932
2020-03-18,10.1508
2020-03-19,10.9892
2020-03-20,10.7517
2020-03-21,10.7517
2020-03-22,10.7517
2020-03-23,10.8175
2020-03-24,11.0121
2020-03-25,11.6559
2020-03-26,12.2053
2020-03-27,11.4041
2020-03-28,11.4041
2020-03-29,11.4041
2020-03-30,11.3926
2020-03-31,42.2381
2020-04-01,40.2342
2020-04-02,42.0648
2020-04-03,40.2125
2020-04-04,40.2125
2020-04-05,40.2125
2020-04-06,42.6605
2020-04-07,43.8195
2020-04-08,45.011
2020-04-09,46.3867
2020-04-10,46.3867
2020-04-11,46.3867
2020-04-12,46.3867
2020-04-13,45.0977
2020-04-14,44.4586
2020-04-15,43.0938
2020-04-16,42.3464
2020-04-17,43.8304
2020-04-18,43.8304
2020-04-19,43.8304
2020-04-20,43.1155
2020-04-21,42.823
2020-04-22,42.7905
2020-04-23,43.917
2020-04-24,44.3936
2020-04-25,44.3936
2020-04-26,44.3936
2020-04-27,46.3867
2020-04-28,48.6397
2020-04-29,52.3875
2020-04-30,53.5249
2020-05-01,50.9686
2020-05-02,50.9686
2020-05-03,50.9686
2020-05-04,50.9631
