,AMGN US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,17.0024
2020-01-02,16.9429
2020-01-03,16.843
2020-01-04,16.843
2020-01-05,16.843
2020-01-06,16.9552
2020-01-07,16.8166
2020-01-08,16.8276
2020-01-09,16.8712
2020-01-10,16.8301
2020-01-11,16.8301
2020-01-12,16.8301
2020-01-13,16.7479
2020-01-14,16.9368
2020-01-15,17.041
2020-01-16,16.9674
2020-01-17,17.0282
2020-01-18,17.0282
2020-01-19,17.0282
2020-01-20,17.0282
2020-01-21,16.7896
2020-01-22,16.7375
2020-01-23,16.6327
2020-01-24,16.0532
2020-01-25,16.0532
2020-01-26,16.0532
2020-01-27,15.8913
2020-01-28,16.0072
2020-01-29,16.1489
2020-01-30,16.0876
2020-01-31,15.3973
2020-02-01,15.3973
2020-02-02,15.3973
2020-02-03,15.4479
2020-02-04,15.7486
2020-02-05,16.3664
2020-02-06,16.3365
2020-02-07,16.2072
2020-02-08,16.2072
2020-02-09,16.2072
2020-02-10,16.0907
2020-02-11,16.1846
2020-02-12,16.0371
2020-02-13,15.7961
2020-02-14,15.8229
2020-02-15,15.8229
2020-02-16,15.8229
2020-02-17,15.8229
2020-02-18,15.714
2020-02-19,15.7912
2020-02-20,15.7413
2020-02-21,15.7809
2020-02-22,15.7809
2020-02-23,15.7809
2020-02-24,15.4821
2020-02-25,15.0256
2020-02-26,15.2788
2020-02-27,14.6068
2020-02-28,14.3774
2020-02-29,14.3774
2020-03-01,14.3774
2020-03-02,15.1363
2020-03-03,14.6628
2020-03-04,15.3135
2020-03-05,15.1315
2020-03-06,15.042
2020-03-07,15.042
2020-03-08,15.042
2020-03-09,14.2946
2020-03-10,14.8077
2020-03-11,14.3116
2020-03-12,13.3128
2020-03-13,14.5216
2020-03-14,14.5216
2020-03-15,14.5216
2020-03-16,13.7048
2020-03-17,14.8685
2020-03-18,14.6908
2020-03-19,14.3183
2020-03-20,13.6786
2020-03-21,13.6786
2020-03-22,13.6786
2020-03-23,13.5374
2020-03-24,14.5362
2020-03-25,13.9763
2020-03-26,14.3019
2020-03-27,14.2885
2020-03-28,14.2885
2020-03-29,14.2885
2020-03-30,14.9099
2020-03-31,15.0055
2020-04-01,14.7019
2020-04-02,15.385
2020-04-03,15.1709
2020-04-04,15.1709
2020-04-05,15.1709
2020-04-06,15.5517
2020-04-07,15.3342
2020-04-08,15.9744
2020-04-09,15.9142
2020-04-10,15.9142
2020-04-11,15.9142
2020-04-12,15.9142
2020-04-13,15.9179
2020-04-14,16.4425
2020-04-15,16.135
2020-04-16,16.6946
2020-04-17,16.9449
2020-04-18,16.9449
2020-04-19,16.9449
2020-04-20,17.0452
2020-04-21,16.6854
2020-04-22,16.5956
2020-04-23,16.7924
2020-04-24,17.0255
2020-04-25,17.0255
2020-04-26,17.0255
2020-04-27,17.4037
2020-04-28,17.111
2020-04-29,16.9892
2020-04-30,17.2063
2020-05-01,16.7112
2020-05-02,16.7112
2020-05-03,16.7112
2020-05-04,16.7069
2020-05-05,17.0424
2020-05-06,17.0566
2020-05-07,16.8559
2020-05-08,16.9476
2020-05-09,16.9476
2020-05-10,16.9476
2020-05-11,17.4351
2020-05-12,17.0947
2020-05-13,17.0713
2020-05-14,17.1421
2020-05-15,17.2788
2020-05-16,17.2788
2020-05-17,17.2788
2020-05-18,16.8473
2020-05-19,16.4927
2020-05-20,16.5198
2020-05-21,16.3296
2020-05-22,16.4312
2020-05-23,16.4312
2020-05-24,16.4312
2020-05-25,16.4312
2020-05-26,16.1831
2020-05-27,16.3315
2020-05-28,16.2896
2020-05-29,16.6325
2020-05-30,16.6325
2020-05-31,16.6325
2020-06-01,16.4607
2020-06-02,16.2644
2020-06-03,16.097
2020-06-04,16.0896
2020-06-05,16.3844
2020-06-06,16.3844
2020-06-07,16.3844
2020-06-08,16.3893
2020-06-09,16.337
2020-06-10,16.4737
2020-06-11,15.9677
2020-06-12,15.9062
2020-06-13,15.9062
2020-06-14,15.9062
2020-06-15,16.0219
2020-06-16,16.4583
2020-06-17,16.4029
2020-06-18,16.6706
2020-06-19,17.1864
2020-06-20,17.1864
2020-06-21,17.1864
2020-06-22,16.9088
2020-06-23,17.0048
2020-06-24,16.8054
2020-06-25,16.9655
2020-06-26,16.8257
2020-06-27,16.8257
2020-06-28,16.8257
2020-06-29,16.7469
2020-06-30,17.5556
2020-07-01,18.7869
2020-07-02,18.9863
2020-07-03,18.9863
2020-07-04,18.9863
2020-07-05,18.9863
2020-07-06,18.8591
2020-07-07,18.6609
2020-07-08,18.5612
2020-07-09,18.5657
2020-07-10,18.3982
2020-07-11,18.3982
2020-07-12,18.3982
2020-07-13,18.4621
2020-07-14,18.6571
2020-07-15,18.6712
2020-07-16,18.792
2020-07-17,19.0004
2020-07-18,19.0004
2020-07-19,19.0004
2020-07-20,19.1595
2020-07-21,18.9652
2020-07-22,18.9058
2020-07-23,18.6028
