,TPB US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,27.6973
2020-01-02,27.277
2020-01-03,27.1916
2020-01-04,27.1916
2020-01-05,27.1916
2020-01-06,27.2699
2020-01-07,27.7756
2020-01-08,27.683
2020-01-09,27.9822
2020-01-10,27.9608
2020-01-11,27.9608
2020-01-12,27.9608
2020-01-13,28.0178
2020-01-14,27.4836
2020-01-15,27.1702
2020-01-16,27.3554
2020-01-17,26.8995
2020-01-18,26.8995
2020-01-19,26.8995
2020-01-20,26.8995
2020-01-21,26.6075
2020-01-22,26.4935
2020-01-23,26.002
2020-01-24,25.6744
2020-01-25,25.6744
2020-01-26,25.6744
2020-01-27,25.2541
2020-01-28,24.6273
2020-01-29,24.606
2020-01-30,24.029
2020-01-31,23.5945
2020-02-01,23.5945
2020-02-02,23.5945
2020-02-03,23.4093
2020-02-04,22.7968
2020-02-05,22.7255
2020-02-06,23.0389
2020-02-07,22.6614
2020-02-08,22.6614
2020-02-09,22.6614
2020-02-10,23.103
2020-02-11,22.9819
2020-02-12,23.103
2020-02-13,23.0959
2020-02-14,22.8181
2020-02-15,22.8181
2020-02-16,22.8181
2020-02-17,22.8181
2020-02-18,23.3737
2020-02-19,24.0433
2020-02-20,24.0433
2020-02-21,24.5988
2020-02-22,24.5988
2020-02-23,24.5988
2020-02-24,24.2926
2020-02-25,23.4521
2020-02-26,25.3824
2020-02-27,25.4422
2020-02-28,25.9698
2020-02-29,25.9698
2020-03-01,25.9698
2020-03-02,25.7773
2020-03-03,25.5705
2020-03-04,25.8129
2020-03-05,24.7649
2020-03-06,24.4084
2020-03-07,24.4084
2020-03-08,24.4084
2020-03-09,23.0253
2020-03-10,22.9967
2020-03-11,21.7918
2020-03-12,19.5366
2020-03-13,20.8656
2020-03-14,20.8656
2020-03-15,20.8656
2020-03-16,18.3506
2020-03-17,18.5363
2020-03-18,17.9362
2020-03-19,19.6867
2020-03-20,18.9959
2020-03-21,18.9959
2020-03-22,18.9959
2020-03-23,19.0958
2020-03-24,21.3727
2020-03-25,22.8858
2020-03-26,22.6075
2020-03-27,22.0151
2020-03-28,22.0151
2020-03-29,22.0151
2020-03-30,22.686
2020-03-31,24.7999
2020-04-01,24.1038
2020-04-02,23.7757
2020-04-03,24.5919
2020-04-04,24.5919
2020-04-05,24.5919
2020-04-06,24.5599
2020-04-07,24.9999
2020-04-08,24.2958
2020-04-09,25.3626
2020-04-10,25.3626
2020-04-11,25.3626
2020-04-12,25.3626
2020-04-13,25.4183
2020-04-14,25.3944
2020-04-15,24.7183
