,PNW US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,23.8603
2020-01-02,23.6562
2020-01-03,23.7031
2020-01-04,23.7031
2020-01-05,23.7031
2020-01-06,23.688
2020-01-07,23.6512
2020-01-08,23.6228
2020-01-09,23.8536
2020-01-10,23.9657
2020-01-11,23.9657
2020-01-12,23.9657
2020-01-13,24.0778
2020-01-14,24.2133
2020-01-15,24.3137
2020-01-16,24.414
2020-01-17,24.4308
2020-01-18,24.4308
2020-01-19,24.4308
2020-01-20,24.4308
2020-01-21,24.6048
2020-01-22,24.6349
2020-01-23,24.849
2020-01-24,25.0631
2020-01-25,25.0631
2020-01-26,25.0631
2020-01-27,25.1551
2020-01-28,25.0514
2020-01-29,25.2187
2020-01-30,25.3408
2020-01-31,25.1585
2020-02-01,25.1585
2020-02-02,25.1585
2020-02-03,25.2505
2020-02-04,25.1468
2020-02-05,25.2388
2020-02-06,25.2087
2020-02-07,25.2204
2020-02-08,25.2204
2020-02-09,25.2204
2020-02-10,25.3458
2020-02-11,25.3124
2020-02-12,25.3191
2020-02-13,25.5817
2020-02-14,25.6168
2020-02-15,25.6168
2020-02-16,25.6168
2020-02-17,25.6168
2020-02-18,25.8477
2020-02-19,25.8025
2020-02-20,25.7273
2020-02-21,26.1516
2020-02-22,26.1516
2020-02-23,26.1516
2020-02-24,25.7065
2020-02-25,25.2814
2020-02-26,25.0806
2020-02-27,24.4799
2020-02-28,23.7905
2020-02-29,23.7905
2020-03-01,23.7905
2020-03-02,24.6975
2020-03-03,24.6272
2020-03-04,25.5927
2020-03-05,25.4939
2020-03-06,25.4337
2020-03-07,25.4337
2020-03-08,25.4337
2020-03-09,24.7744
2020-03-10,24.9116
2020-03-11,23.8006
2020-03-12,22.2193
2020-03-13,22.4653
2020-03-14,22.4653
2020-03-15,22.4653
2020-03-16,20.213
2020-03-17,21.3375
2020-03-18,19.788
2020-03-19,20.2548
2020-03-20,19.7846
2020-03-21,19.7846
2020-03-22,19.7846
2020-03-23,19.3429
2020-03-24,20.7033
2020-03-25,20.9744
2020-03-26,22.0921
2020-03-27,21.806
2020-03-28,21.806
2020-03-29,21.806
2020-03-30,21.9281
2020-03-31,22.5295
2020-04-01,21.6762
2020-04-02,21.8365
2020-04-03,21.2194
2020-04-04,21.2194
2020-04-05,21.2194
2020-04-06,22.2835
2020-04-07,22.1576
2020-04-08,23.0664
2020-04-09,23.6458
2020-04-10,23.6458
2020-04-11,23.6458
2020-04-12,23.6458
2020-04-13,23.194
2020-04-14,23.5768
2020-04-15,23.2026
2020-04-16,23.0905
2020-04-17,23.2457
2020-04-18,23.2457
2020-04-19,23.2457
2020-04-20,22.6749
2020-04-21,22.5042
2020-04-22,22.8439
2020-04-23,22.5404
2020-04-24,22.768
2020-04-25,22.768
2020-04-26,22.768
2020-04-27,23.0474
2020-04-28,23.2595
2020-04-29,23.0112
2020-04-30,22.7422
2020-05-01,22.2472
2020-05-02,22.2472
2020-05-03,22.2472
2020-05-04,22.1662
2020-05-05,22.3369
2020-05-06,21.8834
2020-05-07,21.8403
2020-05-08,22.2046
2020-05-09,22.2046
2020-05-10,22.2046
2020-05-11,22.1667
2020-05-12,21.9649
2020-05-13,21.9615
2020-05-14,21.8856
2020-05-15,21.7821
2020-05-16,21.7821
2020-05-17,21.7821
2020-05-18,22.3754
2020-05-19,21.9839
2020-05-20,22.0149
2020-05-21,21.9304
2020-05-22,21.996
2020-05-23,21.996
2020-05-24,21.996
2020-05-25,21.996
2020-05-26,22.2857
2020-05-27,22.4858
2020-05-28,22.7186
2020-05-29,22.8997
2020-05-30,22.8997
2020-05-31,22.8997
2020-06-01,22.8445
2020-06-02,22.9445
2020-06-03,23.0842
2020-06-04,22.8876
2020-06-05,23.1549
2020-06-06,23.1549
2020-06-07,23.1549
2020-06-08,23.6136
2020-06-09,23.2808
2020-06-10,22.9393
2020-06-11,22.3478
2020-06-12,22.503
2020-06-13,22.503
2020-06-14,22.503
2020-06-15,22.76
2020-06-16,22.7841
2020-06-17,22.6151
2020-06-18,22.6841
2020-06-19,22.1408
2020-06-20,22.1408
2020-06-21,22.1408
2020-06-22,22.1029
2020-06-23,21.9235
2020-06-24,21.8166
2020-06-25,21.7718
2020-06-26,21.7183
2020-06-27,21.7183
2020-06-28,21.7183
2020-06-29,22.0477
2020-06-30,20.9959
2020-07-01,21.3252
2020-07-02,21.4255
2020-07-03,21.4255
2020-07-04,21.4255
2020-07-05,21.4255
2020-07-06,21.5462
2020-07-07,21.4208
2020-07-08,21.5337
