,AXP US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,16.8107
2020-01-02,16.9427
2020-01-03,16.8214
2020-01-04,16.8214
2020-01-05,16.8214
2020-01-06,16.769
2020-01-07,16.7059
2020-01-08,16.9126
2020-01-09,17.133
2020-01-10,17.0816
2020-01-11,17.0816
2020-01-12,17.0816
2020-01-13,17.2039
2020-01-14,17.2291
2020-01-15,17.3281
2020-01-16,17.399
2020-01-17,17.4932
2020-01-18,17.4932
2020-01-19,17.4932
2020-01-20,17.4932
2020-01-21,17.3971
2020-01-22,17.4903
2020-01-23,17.4786
2020-01-24,17.8417
2020-01-25,17.8417
2020-01-26,17.8417
2020-01-27,17.4077
2020-01-28,17.5835
2020-01-29,17.5087
2020-01-30,17.6582
2020-01-31,17.333
2020-02-01,17.333
2020-02-02,17.333
2020-02-03,17.4427
2020-02-04,17.5252
2020-02-05,17.6951
2020-02-06,17.6611
2020-02-07,17.5223
2020-02-08,17.5223
2020-02-09,17.5223
2020-02-10,17.5631
2020-02-11,17.6009
2020-02-12,17.6601
2020-02-13,17.6154
2020-02-14,17.7506
2020-02-15,17.7506
2020-02-16,17.7506
2020-02-17,17.7506
2020-02-18,17.7247
2020-02-19,17.8522
2020-02-20,17.8186
2020-02-21,17.6576
2020-02-22,17.6576
2020-02-23,17.6576
2020-02-24,17.0143
2020-02-25,16.3155
2020-02-26,16.0854
2020-02-27,15.5399
2020-02-28,15.2638
2020-02-29,15.2638
2020-03-01,15.2638
2020-03-02,15.6415
2020-03-03,15.0798
2020-03-04,15.817
2020-03-05,15.3607
2020-03-06,15.1018
2020-03-07,15.1018
2020-03-08,15.1018
2020-03-09,14.148
2020-03-10,14.6283
2020-03-11,13.869
2020-03-12,12.733
2020-03-13,14.2736
2020-03-14,14.2736
2020-03-15,14.2736
2020-03-16,12.9573
2020-03-17,13.0254
2020-03-18,11.7955
2020-03-19,12.1137
2020-03-20,11.8309
2020-03-21,11.8309
2020-03-22,11.8309
2020-03-23,11.3363
2020-03-24,12.7829
2020-03-25,13.3696
2020-03-26,13.6687
2020-03-27,13.2315
2020-03-28,13.2315
2020-03-29,13.2315
2020-03-30,13.3549
2020-03-31,12.8517
2020-04-01,11.9474
2020-04-02,11.81
2020-04-03,11.4539
2020-04-04,11.4539
2020-04-05,11.4539
2020-04-06,12.6492
2020-04-07,13.081
2020-04-08,13.6048
2020-04-09,13.9237
2020-04-10,13.9237
2020-04-11,13.9237
2020-04-12,13.9237
2020-04-13,13.4011
2020-04-14,13.1753
2020-04-15,12.6399
2020-04-16,12.3559
2020-04-17,13.0589
2020-04-18,13.0589
2020-04-19,13.0589
2020-04-20,12.6655
2020-04-21,12.3757
2020-04-22,12.4944
2020-04-23,12.4851
2020-04-24,12.5581
2020-04-25,12.5581
2020-04-26,12.5581
2020-04-27,12.7778
2020-04-28,13.1418
2020-04-29,14.0638
2020-04-30,13.4976
2020-05-01,13.1569
2020-05-02,13.1569
2020-05-03,13.1569
2020-05-04,12.9313
2020-05-05,12.9732
2020-05-06,12.6546
2020-05-07,12.972
2020-05-08,13.2941
2020-05-09,13.2941
2020-05-10,13.2941
2020-05-11,12.8092
2020-05-12,12.5546
2020-05-13,11.9604
2020-05-14,12.6325
2020-05-15,12.4476
2020-05-16,12.4476
2020-05-17,12.4476
2020-05-18,13.1673
2020-05-19,13.0336
2020-05-20,13.4371
2020-05-21,13.3325
2020-05-22,13.2743
2020-05-23,13.2743
2020-05-24,13.2743
2020-05-25,13.2743
2020-05-26,13.8545
2020-05-27,14.658
2020-05-28,14.2894
2020-05-29,13.9417
2020-05-30,13.9417
2020-05-31,13.9417
2020-06-01,14.1371
2020-06-02,14.4068
2020-06-03,15.1429
2020-06-04,15.2754
2020-06-05,15.6463
2020-06-06,15.6463
2020-06-07,15.6463
2020-06-08,16.1045
2020-06-09,15.7312
2020-06-10,15.2312
2020-06-11,14.3522
2020-06-12,14.7103
2020-06-13,14.7103
2020-06-14,14.7103
2020-06-15,14.9743
2020-06-16,15.1684
2020-06-17,14.9754
2020-06-18,14.7661
2020-06-19,14.6243
2020-06-20,14.6243
2020-06-21,14.6243
2020-06-22,14.4499
2020-06-23,14.4475
2020-06-24,13.9894
2020-06-25,14.265
2020-06-26,13.7499
2020-06-27,13.7499
2020-06-28,13.7499
2020-06-29,13.8778
2020-06-30,16.0534
2020-07-01,15.8796
2020-07-02,15.9219
2020-07-03,15.9219
2020-07-04,15.9219
2020-07-05,15.9219
2020-07-06,16.262
2020-07-07,15.7224
2020-07-08,15.7058
2020-07-09,15.3536
2020-07-10,15.7556
2020-07-11,15.7556
2020-07-12,15.7556
2020-07-13,15.8055
2020-07-14,15.999
2020-07-15,16.3798
2020-07-16,16.2227
2020-07-17,16.0504
2020-07-18,16.0504
2020-07-19,16.0504
2020-07-20,15.872
2020-07-21,16.2242
2020-07-22,16.2559
2020-07-23,16.2756
2020-07-24,16.0764
2020-07-25,16.0764
2020-07-26,16.0764
2020-07-27,16.146
2020-07-28,15.9388
2020-07-29,16.282
2020-07-30,15.9736
2020-07-31,15.7726
2020-08-01,15.7726
2020-08-02,15.7726
2020-08-03,15.8058
2020-08-04,15.7529
2020-08-05,16.0855
2020-08-06,16.1656
2020-08-07,16.6554
2020-08-08,16.6554
2020-08-09,16.6554
2020-08-10,17.0273
2020-08-11,17.2752
2020-08-12,17.0364
2020-08-13,16.8459
2020-08-14,16.8444
2020-08-15,16.8444
2020-08-16,16.8444
2020-08-17,16.412
2020-08-18,16.279
2020-08-19,16.3123
2020-08-20,16.2866
2020-08-21,16.2004
2020-08-22,16.2004
2020-08-23,16.2004
2020-08-24,16.6811
2020-08-25,16.6388
2020-08-26,16.5405
2020-08-27,17.0137
2020-08-28,17.1664
2020-08-29,17.1664
