,WBA US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,16.6258
2020-01-02,16.6446
2020-01-03,16.6446
2020-01-04,16.6446
2020-01-05,16.6446
2020-01-06,16.7245
2020-01-07,16.6775
2020-01-08,16.1146
2020-01-09,15.9349
2020-01-10,15.863
2020-01-11,15.863
2020-01-12,15.863
2020-01-13,15.838
2020-01-14,15.9255
2020-01-15,15.8958
2020-01-16,15.8942
2020-01-17,15.8927
2020-01-18,15.8927
2020-01-19,15.8927
2020-01-20,15.8927
2020-01-21,15.8083
2020-01-22,15.738
2020-01-23,15.7192
2020-01-24,15.5223
2020-01-25,15.5223
2020-01-26,15.5223
2020-01-27,15.552
2020-01-28,15.638
2020-01-29,15.5598
2020-01-30,15.5083
2020-01-31,15.3364
2020-02-01,15.3364
2020-02-02,15.3364
2020-02-03,15.352
2020-02-04,15.5692
2020-02-05,15.6692
2020-02-06,15.7489
2020-02-07,15.7098
2020-02-08,15.7098
2020-02-09,15.7098
2020-02-10,15.738
2020-02-11,15.6708
2020-02-12,15.9021
2020-02-13,15.7614
2020-02-14,15.6489
2020-02-15,15.6489
2020-02-16,15.6489
2020-02-17,15.6489
2020-02-18,15.4942
2020-02-19,15.527
2020-02-20,15.4958
2020-02-21,15.4301
2020-02-22,15.4301
2020-02-23,15.4301
2020-02-24,15.052
2020-02-25,14.8145
2020-02-26,14.8395
2020-02-27,14.616
2020-02-28,15.3914
2020-02-29,15.3914
2020-03-01,15.3914
2020-03-02,15.7808
2020-03-03,15.451
2020-03-04,15.8769
2020-03-05,15.8918
2020-03-06,16.1785
2020-03-07,16.1785
2020-03-08,16.1785
2020-03-09,15.8355
2020-03-10,15.9548
2020-03-11,15.4427
2020-03-12,14.606
2020-03-13,15.4626
2020-03-14,15.4626
2020-03-15,15.4626
2020-03-16,15.2787
2020-03-17,16.0277
2020-03-18,16.5596
2020-03-19,15.8537
2020-03-20,15.5007
2020-03-21,15.5007
2020-03-22,15.5007
2020-03-23,15.0351
2020-03-24,15.3069
2020-03-25,14.6755
2020-03-26,15.3765
2020-03-27,15.0997
2020-03-28,15.0997
2020-03-29,15.0997
2020-03-30,15.292
2020-03-31,15.3897
2020-04-01,14.939
2020-04-02,14.4248
2020-04-03,14.4904
2020-04-04,14.4904
2020-04-05,14.4904
2020-04-06,14.8038
2020-04-07,14.8334
2020-04-08,14.8793
2020-04-09,15.0253
2020-04-10,15.0253
2020-04-11,15.0253
2020-04-12,15.0253
2020-04-13,15.0467
2020-04-14,15.4191
2020-04-15,14.9367
2020-04-16,14.9023
2020-04-17,15.1107
2020-04-18,15.1107
2020-04-19,15.1107
2020-04-20,14.8399
2020-04-21,14.7907
2020-04-22,14.9154
2020-04-23,14.9466
2020-04-24,14.986
2020-04-25,14.986
2020-04-26,14.986
2020-04-27,15.0992
2020-04-28,15.1353
2020-04-29,15.2518
2020-04-30,14.9121
2020-05-01,14.6447
2020-05-02,14.6447
2020-05-03,14.6447
2020-05-04,14.7743
2020-05-05,14.7037
2020-05-06,14.5692
2020-05-07,14.4806
2020-05-08,14.6463
2020-05-09,14.6463
2020-05-10,14.6463
2020-05-11,14.6529
2020-05-12,14.4592
2020-05-13,14.1015
2020-05-14,14.1836
2020-05-15,14.1097
2020-05-16,14.1097
2020-05-17,14.1097
2020-05-18,14.5134
2020-05-19,14.3345
2020-05-20,14.3953
2020-05-21,14.3313
2020-05-22,14.3066
2020-05-23,14.3066
2020-05-24,14.3066
2020-05-25,14.3066
2020-05-26,14.7267
2020-05-27,14.8596
2020-05-28,14.6726
2020-05-29,36.0658
2020-05-30,36.0658
2020-05-31,36.0658
2020-06-01,36.2094
2020-06-02,36.3092
2020-06-03,36.3332
2020-06-04,36.5687
2020-06-05,37.0277
2020-06-06,37.0277
2020-06-07,37.0277
2020-06-08,37.6943
2020-06-09,36.9998
2020-06-10,36.6006
2020-06-11,35.1916
2020-06-12,35.4511
2020-06-13,35.4511
2020-06-14,35.4511
2020-06-15,35.487
2020-06-16,35.7504
2020-06-17,35.7504
2020-06-18,35.6826
2020-06-19,36.5407
2020-06-20,36.5407
2020-06-21,36.5407
2020-06-22,36.1855
2020-06-23,36.0139
2020-06-24,35.3593
2020-06-25,35.7065
2020-06-26,35.3593
