,NI US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,23.3958
2020-01-02,23.119
2020-01-03,23.2113
2020-01-04,23.2113
2020-01-05,23.2113
2020-01-06,23.2071
2020-01-07,23.3078
2020-01-08,23.3203
2020-01-09,23.3581
2020-01-10,23.3119
2020-01-11,23.3119
2020-01-12,23.3119
2020-01-13,23.4042
2020-01-14,23.5384
2020-01-15,23.7523
2020-01-16,23.8152
2020-01-17,23.8991
2020-01-18,23.8991
2020-01-19,23.8991
2020-01-20,23.8991
2020-01-21,23.962
2020-01-22,23.9075
2020-01-23,23.962
2020-01-24,23.9159
2020-01-25,23.9159
2020-01-26,23.9159
2020-01-27,23.8362
2020-01-28,23.9326
2020-01-29,23.962
2020-01-30,23.9242
2020-01-31,24.0123
2020-02-01,24.0123
2020-02-02,24.0123
2020-02-03,24.2136
2020-02-04,24.0836
2020-02-05,24.2052
2020-02-06,24.2388
2020-02-07,24.2178
2020-02-08,24.2178
2020-02-09,24.2178
2020-02-10,24.243
2020-02-11,24.2723
2020-02-12,24.2304
2020-02-13,24.3814
2020-02-14,24.3898
2020-02-15,24.3898
2020-02-16,24.3898
2020-02-17,24.3898
2020-02-18,24.3898
2020-02-19,24.3101
2020-02-20,24.3227
2020-02-21,24.2514
2020-02-22,24.2514
2020-02-23,24.2514
2020-02-24,23.9871
2020-02-25,23.6223
2020-02-26,23.3581
2020-02-27,23.1694
2020-02-28,23.3164
2020-02-29,23.3164
2020-03-01,23.3164
2020-03-02,23.9774
2020-03-03,23.9001
2020-03-04,24.5353
2020-03-05,24.4366
2020-03-06,24.3636
2020-03-07,24.3636
2020-03-08,24.3636
2020-03-09,23.604
2020-03-10,23.9602
2020-03-11,23.3508
2020-03-12,22.0289
2020-03-13,22.5268
2020-03-14,22.5268
2020-03-15,22.5268
2020-03-16,20.7071
2020-03-17,22.265
2020-03-18,21.8487
2020-03-19,21.7457
2020-03-20,20.7328
2020-03-21,20.7328
2020-03-22,20.7328
2020-03-23,20.6727
2020-03-24,21.1362
2020-03-25,21.5182
2020-03-26,22.2564
2020-03-27,22.3465
2020-03-28,22.3465
2020-03-29,22.3465
2020-03-30,22.913
2020-03-31,30.2156
2020-04-01,29.1172
2020-04-02,29.3645
2020-04-03,28.7894
2020-04-04,28.7894
2020-04-05,28.7894
2020-04-06,29.9741
2020-04-07,29.721
2020-04-08,30.5032
2020-04-09,31.1415
2020-04-10,31.1415
2020-04-11,31.1415
2020-04-12,31.1415
2020-04-13,30.6574
2020-04-14,31.1813
2020-04-15,30.5077
2020-04-16,30.7841
2020-04-17,31.0432
2020-04-18,31.0432
2020-04-19,31.0432
2020-04-20,30.525
2020-04-21,30.4674
2020-04-22,30.8301
2020-04-23,30.738
2020-04-24,30.8417
2020-04-25,30.8417
2020-04-26,30.8417
2020-04-27,30.9683
2020-04-28,31.3138
2020-04-29,30.7841
2020-04-30,30.312
2020-05-01,29.9435
2020-05-02,29.9435
2020-05-03,29.9435
2020-05-04,29.9032
2020-05-05,29.9781
2020-05-06,29.0552
2020-05-07,29.0436
2020-05-08,29.2567
2020-05-09,29.2567
2020-05-10,29.2567
2020-05-11,29.3834
2020-05-12,28.9688
2020-05-13,28.7615
2020-05-14,28.8075
2020-05-15,28.7384
2020-05-16,28.7384
2020-05-17,28.7384
2020-05-18,29.1991
2020-05-19,29.13
2020-05-20,29.1473
2020-05-21,29.0955
2020-05-22,29.1531
2020-05-23,29.1531
2020-05-24,29.1531
2020-05-25,29.1531
2020-05-26,29.3258
2020-05-27,29.2855
2020-05-28,29.6886
2020-05-29,29.5792
2020-05-30,29.5792
2020-05-31,29.5792
2020-06-01,29.7981
2020-06-02,30.0918
2020-06-03,30.4373
2020-06-04,30.0342
2020-06-05,30.2991
2020-06-06,30.2991
2020-06-07,30.2991
2020-06-08,30.6043
2020-06-09,30.1551
2020-06-10,29.9132
2020-06-11,29.1703
2020-06-12,29.251
2020-06-13,29.251
2020-06-14,29.251
2020-06-15,29.3777
2020-06-16,29.4698
2020-06-17,29.418
2020-06-18,29.5216
2020-06-19,29.084
2020-06-20,29.084
2020-06-21,29.084
2020-06-22,29.2337
2020-06-23,29.0148
2020-06-24,28.7557
2020-06-25,28.7154
2020-06-26,28.7269
2020-06-27,28.7269
2020-06-28,28.7269
2020-06-29,28.9227
2020-06-30,66.3044
2020-07-01,67.2454
2020-07-02,67.1147
2020-07-03,67.1147
2020-07-04,67.1147
2020-07-05,67.1147
2020-07-06,67.0232
2020-07-07,67.0755
2020-07-08,67.1408
2020-07-09,66.5789
2020-07-10,67.3892
2020-07-11,67.3892
2020-07-12,67.3892
2020-07-13,67.9773
2020-07-14,67.6244
2020-07-15,67.5852
2020-07-16,67.7551
2020-07-17,68.3955
2020-07-18,68.3955
2020-07-19,68.3955
2020-07-20,67.6244
2020-07-21,67.7028
2020-07-22,68.7876
2020-07-23,68.9183
2020-07-24,68.6569
2020-07-25,68.6569
2020-07-26,68.6569
2020-07-27,68.3171
2020-07-28,68.8268
2020-07-29,68.9444
2020-07-30,68.5915
2020-07-31,68.5393
2020-08-01,68.5393
2020-08-02,68.5393
2020-08-03,67.925
2020-08-04,68.1472
2020-08-05,68.4402
2020-08-06,68.4141
2020-08-07,68.9502
2020-08-08,68.9502
2020-08-09,68.9502
2020-08-10,69.0287
2020-08-11,68.3487
2020-08-12,68.9502
2020-08-13,68.4271
2020-08-14,68.1264
2020-08-15,68.1264
2020-08-16,68.1264
2020-08-17,67.9171
2020-08-18,67.4202
2020-08-19,67.2371
2020-08-20,66.6225
2020-08-21,66.2956
2020-08-22,66.2956
2020-08-23,66.2956
2020-08-24,66.701
2020-08-25,66.3218
2020-08-26,65.6025
2020-08-27,65.5895
2020-08-28,65.8118
2020-08-29,65.8118
2020-08-30,65.8118
2020-08-31,65.5633
2020-09-01,64.5564
2020-09-02,65.7071
2020-09-03,65.9033
2020-09-04,65.7202
2020-09-05,65.7202
2020-09-06,65.7202
2020-09-07,65.7202
2020-09-08,65.3148
2020-09-09,65.4979
2020-09-10,65.1971
2020-09-11,65.4064
2020-09-12,65.4064
2020-09-13,65.4064
2020-09-14,65.851
2020-09-15,65.4979
2020-09-16,65.6941
2020-09-17,65.9033
2020-09-18,65.3279
2020-09-19,65.3279
2020-09-20,65.3279
2020-09-21,65.6156
2020-09-22,65.4587
2020-09-23,64.8441
2020-09-24,64.8964
2020-09-25,65.5371
2020-09-26,65.5371
2020-09-27,65.5371
2020-09-28,65.1579
2020-09-29,65.3018
2020-09-30,67.3818
2020-10-01,67.3818
2020-10-02,67.5637
2020-10-03,67.5637
2020-10-04,67.5637
2020-10-05,67.3688
2020-10-06,67.9146
2020-10-07,67.4468
2020-10-08,67.8497
2020-10-09,68.0186
2020-10-10,68.0186
2020-10-11,68.0186
2020-10-12,68.7854
2020-10-13,68.8244
2020-10-14,69.0714
2020-10-15,69.1884
2020-10-16,69.3313
2020-10-17,69.3313
2020-10-18,69.3313
2020-10-19,69.2923
2020-10-20,69.4613
2020-10-21,69.4353
2020-10-22,70.0332
2020-10-23,70.3841
2020-10-24,70.3841
2020-10-25,70.3841
2020-10-26,70.3061
2020-10-27,70.3191
2020-10-28,68.9154
2020-10-29,68.6295
2020-10-30,68.6425
2020-10-31,68.6425
2020-11-01,68.6425
2020-11-02,69.2814
2020-11-03,70.0356
2020-11-04,69.5415
2020-11-05,69.5415
2020-11-06,68.9823
2020-11-07,68.9823
2020-11-08,68.9823
