,LEN/B US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,10.3169
2020-01-02,10.318
2020-01-03,10.4004
2020-01-04,10.4004
2020-01-05,10.4004
2020-01-06,10.5994
2020-01-07,10.4843
2020-01-08,10.5411
2020-01-09,10.5525
2020-01-10,10.8046
2020-01-11,10.8046
2020-01-12,10.8046
2020-01-13,10.9119
2020-01-14,11.0456
2020-01-15,11.1935
2020-01-16,11.2434
2020-01-17,11.2311
2020-01-18,11.2311
2020-01-19,11.2311
2020-01-20,11.2311
2020-01-21,11.4628
2020-01-22,11.5644
2020-01-23,11.7523
2020-01-24,11.6711
2020-01-25,11.6711
2020-01-26,11.6711
2020-01-27,11.7031
2020-01-28,11.763
2020-01-29,11.7611
2020-01-30,11.6966
2020-01-31,11.5851
2020-02-01,11.5851
2020-02-02,11.5851
2020-02-03,11.6196
2020-02-04,11.494
2020-02-05,11.7815
2020-02-06,11.8032
2020-02-07,11.912
2020-02-08,11.912
2020-02-09,11.912
2020-02-10,12.0474
2020-02-11,12.1882
2020-02-12,12.0814
2020-02-13,12.0084
2020-02-14,12.0824
2020-02-15,12.0824
2020-02-16,12.0824
2020-02-17,12.0824
2020-02-18,12.0548
2020-02-19,12.093
2020-02-20,12.165
2020-02-21,12.1149
2020-02-22,12.1149
2020-02-23,12.1149
2020-02-24,11.9316
2020-02-25,11.5917
2020-02-26,11.306
2020-02-27,11.0809
2020-02-28,9.9609
2020-02-29,9.9609
2020-03-01,9.9609
2020-03-02,10.2271
2020-03-03,10.4168
2020-03-04,10.7003
2020-03-05,10.4702
2020-03-06,10.2164
2020-03-07,10.2164
2020-03-08,10.2164
2020-03-09,9.3654
2020-03-10,9.8323
2020-03-11,9.1314
2020-03-12,8.3045
2020-03-13,8.2251
2020-03-14,8.2251
2020-03-15,8.2251
2020-03-16,7.1639
2020-03-17,6.9417
2020-03-18,6.4594
2020-03-19,6.5577
2020-03-20,6.8402
2020-03-21,6.8402
2020-03-22,6.8402
2020-03-23,6.2867
2020-03-24,7.0186
2020-03-25,7.6197
2020-03-26,7.8257
2020-03-27,7.5693
2020-03-28,7.5693
2020-03-29,7.5693
2020-03-30,7.5405
2020-03-31,7.3313
2020-04-01,6.9198
2020-04-02,6.7693
2020-04-03,6.7627
2020-04-04,6.7627
2020-04-05,6.7627
2020-04-06,7.4462
2020-04-07,7.4445
2020-04-08,7.9282
2020-04-09,8.0984
2020-04-10,8.0984
2020-04-11,8.0984
2020-04-12,8.0984
2020-04-13,7.6973
2020-04-14,7.8911
2020-04-15,7.5154
2020-04-16,7.6451
2020-04-17,7.8847
2020-04-18,7.8847
2020-04-19,7.8847
2020-04-20,7.5354
2020-04-21,7.5582
2020-04-22,7.6643
2020-04-23,7.6862
2020-04-24,7.8787
2020-04-25,7.8787
2020-04-26,7.8787
2020-04-27,8.1692
2020-04-28,8.6549
2020-04-29,9.0905
2020-04-30,8.7218
2020-05-01,8.6493
2020-05-02,8.6493
2020-05-03,8.6493
2020-05-04,8.6466
2020-05-05,8.84
2020-05-06,8.8325
2020-05-07,8.8072
2020-05-08,9.1776
2020-05-09,9.1776
2020-05-10,9.1776
2020-05-11,9.0582
2020-05-12,8.8103
2020-05-13,8.5822
2020-05-14,8.5622
2020-05-15,8.7848
2020-05-16,8.7848
2020-05-17,8.7848
2020-05-18,9.4861
2020-05-19,9.6965
2020-05-20,9.5892
2020-05-21,9.7607
2020-05-22,9.8864
2020-05-23,9.8864
2020-05-24,9.8864
2020-05-25,9.8864
2020-05-26,10.0807
2020-05-27,10.457
2020-05-28,9.8912
2020-05-29,9.3904
2020-05-30,9.3904
2020-05-31,9.3904
2020-06-01,9.3531
2020-06-02,9.3623
2020-06-03,9.7415
2020-06-04,9.4706
2020-06-05,9.7702
2020-06-06,9.7702
2020-06-07,9.7702
2020-06-08,9.6514
2020-06-09,9.6045
2020-06-10,9.6351
2020-06-11,9.0285
2020-06-12,9.2654
2020-06-13,9.2654
2020-06-14,9.2654
2020-06-15,9.7496
2020-06-16,9.801
2020-06-17,9.7453
2020-06-18,9.562
2020-06-19,9.3646
2020-06-20,9.3646
2020-06-21,9.3646
2020-06-22,9.4817
2020-06-23,9.4833
2020-06-24,9.2289
2020-06-25,9.3121
2020-06-26,9.2257
2020-06-27,9.2257
2020-06-28,9.2257
2020-06-29,9.4502
2020-06-30,9.5283
2020-07-01,9.3172
2020-07-02,9.3607
2020-07-03,9.3607
2020-07-04,9.3607
2020-07-05,9.3607
2020-07-06,9.5675
2020-07-07,9.5964
2020-07-08,9.9842
2020-07-09,9.7166
2020-07-10,9.9469
2020-07-11,9.9469
2020-07-12,9.9469
2020-07-13,9.6387
2020-07-14,10.0662
2020-07-15,10.2971
2020-07-16,10.4698
2020-07-17,10.4434
2020-07-18,10.4434
2020-07-19,10.4434
2020-07-20,10.3568
2020-07-21,10.3002
2020-07-22,10.5978
2020-07-23,10.4968
2020-07-24,10.4659
2020-07-25,10.4659
2020-07-26,10.4659
2020-07-27,10.8375
2020-07-28,10.5294
2020-07-29,10.7964
2020-07-30,10.7487
2020-07-31,10.7558
2020-08-01,10.7558
2020-08-02,10.7558
2020-08-03,10.9033
2020-08-04,10.803
2020-08-05,10.904
2020-08-06,10.8781
2020-08-07,10.8688
2020-08-08,10.8688
2020-08-09,10.8688
2020-08-10,11.0289
2020-08-11,10.919
2020-08-12,11.0043
2020-08-13,11.0429
2020-08-14,11.0081
2020-08-15,11.0081
2020-08-16,11.0081
2020-08-17,11.3375
2020-08-18,11.3486
2020-08-19,11.3103
2020-08-20,11.3281
2020-08-21,11.6144
2020-08-22,11.6144
2020-08-23,11.6144
2020-08-24,11.547
2020-08-25,11.4587
2020-08-26,11.3568
2020-08-27,11.2009
2020-08-28,11.2146
2020-08-29,11.2146
2020-08-30,11.2146
2020-08-31,9.7471
2020-09-01,10.0955
2020-09-02,10.121
2020-09-03,9.8009
2020-09-04,9.6212
2020-09-05,9.6212
2020-09-06,9.6212
2020-09-07,9.6212
2020-09-08,9.5952
2020-09-09,9.8484
2020-09-10,9.819
2020-09-11,10.0355
2020-09-12,10.0355
2020-09-13,10.0355
2020-09-14,10.1914
2020-09-15,9.8629
2020-09-16,10.1841
2020-09-17,10.1038
2020-09-18,10.2145
2020-09-19,10.2145
2020-09-20,10.2145
2020-09-21,9.9525
2020-09-22,10.2886
2020-09-23,9.901
2020-09-24,10.0356
2020-09-25,9.9497
2020-09-26,9.9497
2020-09-27,9.9497
2020-09-28,10.2648
2020-09-29,10.1916
2020-09-30,10.4865
2020-10-01,10.6325
2020-10-02,10.7352
2020-10-03,10.7352
2020-10-04,10.7352
2020-10-05,10.6465
2020-10-06,10.3952
2020-10-07,10.3718
2020-10-08,10.7568
2020-10-09,10.764
2020-10-10,10.764
2020-10-11,10.764
2020-10-12,10.7494
2020-10-13,10.6488
2020-10-14,10.6811
2020-10-15,10.8281
2020-10-16,10.8266
2020-10-17,10.8266
2020-10-18,10.8266
2020-10-19,10.5968
2020-10-20,10.6805
2020-10-21,10.3397
2020-10-22,9.9628
2020-10-23,10.1446
2020-10-24,10.1446
2020-10-25,10.1446
2020-10-26,9.7968
2020-10-27,9.5315
2020-10-28,9.5103
2020-10-29,9.4284
2020-10-30,9.2886
2020-10-31,9.2886
2020-11-01,9.2886
2020-11-02,9.5343
2020-11-03,9.7315
2020-11-04,10.2667
2020-11-05,10.187
2020-11-06,9.8563
2020-11-07,9.8563
2020-11-08,9.8563
2020-11-09,9.3044
2020-11-10,9.8312
2020-11-11,9.9261
2020-11-12,9.6871
2020-11-13,9.8622
2020-11-14,9.8622
2020-11-15,9.8622
2020-11-16,9.8789
2020-11-17,9.8701
2020-11-18,9.9459
2020-11-19,9.9285
2020-11-20,9.8704
2020-11-21,9.8704
2020-11-22,9.8704
2020-11-23,10.1333
2020-11-24,9.9495
2020-11-25,10.0026
2020-11-26,10.0026
2020-11-27,10.0709
2020-11-28,10.0709
2020-11-29,10.0709
2020-11-30,8.9358
