,BAH US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,17.4733
2020-01-02,17.6347
2020-01-03,17.796
2020-01-04,17.796
2020-01-05,17.796
2020-01-06,18.0412
2020-01-07,17.9511
2020-01-08,18.0873
2020-01-09,18.5191
2020-01-10,18.6322
2020-01-11,18.6322
2020-01-12,18.6322
2020-01-13,18.999
2020-01-14,19.0115
2020-01-15,19.2064
2020-01-16,19.1205
2020-01-17,19.2064
2020-01-18,19.2064
2020-01-19,19.2064
2020-01-20,19.2064
2020-01-21,19.0472
2020-01-22,18.8607
2020-01-23,18.9927
2020-01-24,18.9047
2020-01-25,18.9047
2020-01-26,18.9047
2020-01-27,18.8229
2020-01-28,19.0283
2020-01-29,18.9612
2020-01-30,19.0702
2020-01-31,18.9021
2020-02-01,18.9021
2020-02-02,18.9021
2020-02-03,19.0089
2020-02-04,18.988
2020-02-05,18.9293
2020-02-06,18.9691
2020-02-07,18.7744
2020-02-08,18.7744
2020-02-09,18.7744
2020-02-10,18.787
2020-02-11,18.743
2020-02-12,18.4898
2020-02-13,18.5212
2020-02-14,18.6112
2020-02-15,18.6112
2020-02-16,18.6112
2020-02-17,18.6112
2020-02-18,18.7619
2020-02-19,18.5881
2020-02-20,18.159
2020-02-21,17.8764
2020-02-22,17.8764
2020-02-23,17.8764
2020-02-24,17.6734
2020-02-25,17.3176
2020-02-26,17.619
2020-02-27,17.5708
2020-02-28,17.4913
2020-02-29,17.4913
2020-03-01,17.4913
2020-03-02,18.0669
2020-03-03,18.1862
2020-03-04,18.6907
2020-03-05,18.3684
2020-03-06,18.5358
2020-03-07,18.5358
2020-03-08,18.5358
2020-03-09,17.7488
2020-03-10,18.1925
2020-03-11,18.023
2020-03-12,16.4635
2020-03-13,17.2171
2020-03-14,17.2171
2020-03-15,17.2171
2020-03-16,15.9297
2020-03-17,16.3777
2020-03-18,17.1438
2020-03-19,15.9904
2020-03-20,14.6968
2020-03-21,14.6968
2020-03-22,14.6968
2020-03-23,14.5775
2020-03-24,15.8
2020-03-25,16.1998
2020-03-26,16.8863
2020-03-27,16.8696
2020-03-28,16.8696
2020-03-29,16.8696
2020-03-30,17.4871
2020-03-31,16.6466
2020-04-01,16.8434
2020-04-02,17.0237
2020-04-03,16.9376
2020-04-04,16.9376
2020-04-05,16.9376
2020-04-06,17.7329
2020-04-07,17.2082
2020-04-08,17.3086
2020-04-09,17.7965
2020-04-10,17.7965
2020-04-11,17.7965
2020-04-12,17.7965
2020-04-13,17.3517
2020-04-14,18.1265
2020-04-15,17.9112
2020-04-16,18.0957
2020-04-17,18.4134
2020-04-18,18.4134
2020-04-19,18.4134
2020-04-20,18.1326
2020-04-21,17.6407
2020-04-22,17.8764
2020-04-23,18.0383
2020-04-24,18.1265
2020-04-25,18.1265
2020-04-26,18.1265
2020-04-27,18.3806
2020-04-28,18.19
2020-04-29,17.9256
2020-04-30,17.6304
2020-05-01,17.4275
2020-05-02,17.4275
2020-05-03,17.4275
2020-05-04,17.4931
2020-05-05,17.6899
2020-05-06,17.6919
2020-05-07,17.7145
2020-05-08,17.5361
2020-05-09,17.5361
2020-05-10,17.5361
2020-05-11,17.4665
2020-05-12,17.1754
2020-05-13,17.0073
2020-05-14,16.9089
2020-05-15,17.0852
2020-05-16,17.0852
2020-05-17,17.0852
2020-05-18,17.0586
2020-05-19,17.366
2020-05-20,17.8661
2020-05-21,17.9235
2020-05-22,18.1162
2020-05-23,18.1162
2020-05-24,18.1162
2020-05-25,18.1162
2020-05-26,17.9526
2020-05-27,18.0333
2020-05-28,18.4547
2020-05-29,18.6604
2020-05-30,18.6604
2020-05-31,18.6604
2020-06-01,18.6564
2020-06-02,18.7935
2020-06-03,18.7915
2020-06-04,18.8399
2020-06-05,18.8157
2020-06-06,18.8157
2020-06-07,18.8157
2020-06-08,18.9051
2020-06-09,18.7274
2020-06-10,19.0827
2020-06-11,18.152
2020-06-12,18.1177
2020-06-13,18.1177
2020-06-14,18.1177
2020-06-15,18.1055
2020-06-16,18.3175
2020-06-17,18.6305
2020-06-18,18.7859
2020-06-19,18.687
2020-06-20,18.687
2020-06-21,18.687
2020-06-22,18.7112
2020-06-23,18.7314
2020-06-24,18.1641
2020-06-25,18.2307
2020-06-26,17.5968
2020-06-27,17.5968
2020-06-28,17.5968
2020-06-29,17.8774
2020-06-30,17.9307
2020-07-01,18.2636
2020-07-02,18.2814
2020-07-03,18.2814
2020-07-04,18.2814
2020-07-05,18.2814
2020-07-06,17.8614
2020-07-07,17.4572
2020-07-08,17.4711
2020-07-09,17.4295
2020-07-10,17.4394
2020-07-11,17.4394
2020-07-12,17.4394
2020-07-13,16.7183
2020-07-14,16.8253
2020-07-15,16.8827
2020-07-16,16.5657
2020-07-17,16.8332
2020-07-18,16.8332
2020-07-19,16.8332
2020-07-20,16.9362
2020-07-21,16.9956
2020-07-22,17.4137
2020-07-23,17.2472
2020-07-24,17.2472
2020-07-25,17.2472
2020-07-26,17.2472
2020-07-27,17.3047
2020-07-28,17.3998
2020-07-29,17.6752
2020-07-30,17.9188
2020-07-31,18.6806
2020-08-01,18.6806
2020-08-02,18.6806
2020-08-03,19.0266
2020-08-04,18.9416
2020-08-05,18.8289
2020-08-06,18.906
2020-08-07,19.2558
2020-08-08,19.2558
2020-08-09,19.2558
2020-08-10,19.2539
2020-08-11,19.5266
2020-08-12,19.4634
2020-08-13,19.4693
2020-08-14,19.6037
2020-08-15,19.6037
2020-08-16,19.6037
2020-08-17,19.4535
2020-08-18,19.4871
2020-08-19,19.5583
2020-08-20,19.663
2020-08-21,19.582
2020-08-22,19.582
2020-08-23,19.582
2020-08-24,19.7915
2020-08-25,19.6018
2020-08-26,19.8113
2020-08-27,20.0287
2020-08-28,20.0663
2020-08-29,20.0663
2020-08-30,20.0663
2020-08-31,19.9259
2020-09-01,19.9951
2020-09-02,20.0406
2020-09-03,19.6037
2020-09-04,19.3171
2020-09-05,19.3171
2020-09-06,19.3171
2020-09-07,19.3171
2020-09-08,19.0799
2020-09-09,19.499
2020-09-10,19.1531
2020-09-11,19.1274
2020-09-12,19.1274
2020-09-13,19.1274
2020-09-14,19.07
2020-09-15,19.0977
2020-09-16,19.2776
2020-09-17,19.2855
2020-09-18,19.2519
2020-09-19,19.2519
2020-09-20,19.2519
2020-09-21,19.4515
2020-09-22,19.7915
2020-09-23,19.0918
2020-09-24,18.9297
2020-09-25,19.2894
2020-09-26,19.2894
2020-09-27,19.2894
2020-09-28,19.3112
2020-09-29,19.1709
2020-09-30,17.5754
2020-10-01,17.5886
2020-10-02,17.551
2020-10-03,17.551
2020-10-04,17.551
2020-10-05,17.4738
2020-10-06,17.44
2020-10-07,17.3139
2020-10-08,17.2706
2020-10-09,17.233
2020-10-10,17.233
2020-10-11,17.233
2020-10-12,17.3083
2020-10-13,17.201
2020-10-14,17.4607
2020-10-15,17.3948
2020-10-16,17.4381
2020-10-17,17.4381
2020-10-18,17.4381
2020-10-19,17.0053
2020-10-20,16.9282
2020-10-21,16.7758
2020-10-22,16.7212
2020-10-23,16.836
2020-10-24,16.836
2020-10-25,16.836
2020-10-26,16.6159
2020-10-27,16.5745
2020-10-28,16.0063
2020-10-29,16.1323
2020-10-30,16.743
2020-10-31,16.743
2020-11-01,16.743
2020-11-02,17.2495
2020-11-03,17.7183
2020-11-04,18.4903
2020-11-05,18.2116
2020-11-06,18.2681
2020-11-07,18.2681
2020-11-08,18.2681
2020-11-09,18.2417
2020-11-10,18.2662
2020-11-11,18.1608
2020-11-12,18.253
2020-11-13,18.4526
2020-11-14,18.4526
2020-11-15,18.4526
2020-11-16,18.7915
2020-11-17,18.7501
2020-11-18,18.5505
2020-11-19,18.5599
2020-11-20,18.3792
2020-11-21,18.3792
2020-11-22,18.3792
2020-11-23,18.5053
2020-11-24,18.4978
2020-11-25,18.5317
2020-11-26,18.5317
2020-11-27,18.5561
2020-11-28,18.5561
2020-11-29,18.5561
2020-11-30,18.3039
2020-12-01,18.7576
2020-12-02,18.6333
2020-12-03,18.6032
2020-12-04,18.6126
2020-12-05,18.6126
2020-12-06,18.6126
2020-12-07,18.6484
2020-12-08,18.5373
2020-12-09,18.4187
2020-12-10,18.4639
2020-12-11,18.4884
2020-12-12,18.4884
2020-12-13,18.4884
2020-12-14,18.5863
2020-12-15,18.7633
2020-12-16,19.0363
2020-12-17,18.7275
2020-12-18,18.8706
2020-12-19,18.8706
2020-12-20,18.8706
2020-12-21,18.4695
2020-12-22,18.381
2020-12-23,18.4356
2020-12-24,18.4131
2020-12-25,18.4131
2020-12-26,18.4131
2020-12-27,18.4131
2020-12-28,18.462
2020-12-29,18.3848
2020-12-30,18.3396
2020-12-31,17.8923
2021-01-01,17.8923
2021-01-02,17.8923
2021-01-03,17.8923
2021-01-04,17.671
2021-01-05,17.7964
2021-01-06,18.1708
2021-01-07,18.5691
2021-01-08,18.7075
2021-01-09,18.7075
2021-01-10,18.7075
2021-01-11,18.6687
2021-01-12,18.9085
2021-01-13,18.6632
2021-01-14,18.6816
2021-01-15,18.8144
2021-01-16,18.8144
2021-01-17,18.8144
2021-01-18,18.8144
2021-01-19,19.1316
2021-01-20,19.3345
2021-01-21,19.2958
2021-01-22,19.506
2021-01-23,19.506
2021-01-24,19.506
2021-01-25,19.8067
2021-01-26,19.8583
2021-01-27,19.8085
2021-01-28,19.4083
2021-01-29,17.4995
2021-01-30,17.4995
2021-01-31,17.4995
2021-02-01,17.238
2021-02-02,17.1717
2021-02-03,16.8843
2021-02-04,17.1735
2021-02-05,16.9322
2021-02-06,16.9322
2021-02-07,16.9322
2021-02-08,16.9064
2021-02-09,17.1293
2021-02-10,17.1993
2021-02-11,17.3927
2021-02-12,17.0243
2021-02-13,17.0243
2021-02-14,17.0243
2021-02-15,17.0243
2021-02-16,16.7738
2021-02-17,16.6762
2021-02-18,16.4792
2021-02-19,16.3097
2021-02-20,16.3097
2021-02-21,16.3097
2021-02-22,16.0445
2021-02-23,15.9874
2021-02-24,16.179
2021-02-25,16.2048
2021-02-26,16.0206
2021-02-27,16.0206
2021-02-28,16.0206
2021-03-01,16.435
2021-03-02,16.376
2021-03-03,16.3024
2021-03-04,15.9359
2021-03-05,15.9488
2021-03-06,15.9488
2021-03-07,15.9488
2021-03-08,16.225
2021-03-09,16.1863
2021-03-10,16.2563
2021-03-11,16.3245
2021-03-12,16.2803
2021-03-13,16.2803
2021-03-14,16.2803
2021-03-15,16.6633
2021-03-16,16.4442
2021-03-17,16.5565
2021-03-18,16.6523
2021-03-19,16.5013
2021-03-20,16.5013
2021-03-21,16.5013
2021-03-22,16.516
2021-03-23,16.5565
2021-03-24,16.4976
2021-03-25,16.6173
2021-03-26,16.5031
2021-03-27,16.5031
2021-03-28,16.5031
2021-03-29,16.8088
2021-03-30,16.6891
2021-03-31,16.6006
2021-04-01,16.8118
2021-04-02,16.8118
2021-04-03,16.8118
2021-04-04,16.8118
2021-04-05,17.1661
2021-04-06,16.9531
2021-04-07,16.9048
2021-04-08,16.8672
2021-04-09,16.9102
2021-04-10,16.9102
2021-04-11,16.9102
2021-04-12,17.048
2021-04-13,16.9603
2021-04-14,17.0068
2021-04-15,17.1071
2021-04-16,17.3415
2021-04-17,17.3415
2021-04-18,17.3415
2021-04-19,17.3701
2021-04-20,17.1124
2021-04-21,17.2109
2021-04-22,17.1697
2021-04-23,17.1071
2021-04-24,17.1071
2021-04-25,17.1071
2021-04-26,16.9889
2021-04-27,17.0229
2021-04-28,16.8261
2021-04-29,17.1035
2021-04-30,17.0337
2021-05-01,17.0337
2021-05-02,17.0337
2021-05-03,17.1983
2021-05-04,17.5097
2021-05-05,17.1715
2021-05-06,17.2323
2021-05-07,17.2413
2021-05-08,17.2413
2021-05-09,17.2413
2021-05-10,17.1071
2021-05-11,16.81
2021-05-12,16.6292
2021-05-13,17.0623
2021-05-14,17.0695
2021-05-15,17.0695
2021-05-16,17.0695
2021-05-17,17.0892
2021-05-18,16.9281
2021-05-19,16.7455
2021-05-20,16.8744
2021-05-21,16.9038
2021-05-22,16.9038
2021-05-23,16.9038
2021-05-24,17.2769
2021-05-25,17.1519
2021-05-26,17.2681
2021-05-27,17.2276
2021-05-28,17.1343
2021-05-29,17.1343
2021-05-30,17.1343
2021-05-31,17.1343
2021-06-01,17.1396
2021-06-02,17.3349
2021-06-03,17.1854
2021-06-04,17.254
2021-06-05,17.254
2021-06-06,17.254
2021-06-07,17.3508
2021-06-08,17.3666
2021-06-09,17.5672
2021-06-10,17.7115
2021-06-11,17.6975
2021-06-12,17.6975
2021-06-13,17.6975
2021-06-14,17.5919
2021-06-15,17.6288
2021-06-16,17.6341
2021-06-17,17.6165
2021-06-18,17.4481
2021-06-19,17.4481
2021-06-20,17.4481
2021-06-21,17.7442
2021-06-22,17.8095
2021-06-23,17.5503
2021-06-24,17.4322
2021-06-25,17.6103
2021-06-26,17.6103
2021-06-27,17.6103
2021-06-28,17.3194
2021-06-29,17.1924
2021-06-30,20.031
2021-07-01,20.2257
2021-07-02,20.3336
2021-07-03,20.3336
