,GBDC US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,474.0298
2020-01-02,472.6411
2020-01-03,472.112
2020-01-04,472.112
2020-01-05,472.112
2020-01-06,471.4507
2020-01-07,470.7894
2020-01-08,470.3926
2020-01-09,470.9217
2020-01-10,471.8475
2020-01-11,471.8475
2020-01-12,471.8475
2020-01-13,473.0379
2020-01-14,472.5088
2020-01-15,472.9056
2020-01-16,472.5088
2020-01-17,473.3024
2020-01-18,473.3024
2020-01-19,473.3024
2020-01-20,473.3024
2020-01-21,473.6992
2020-01-22,473.5008
2020-01-23,474.2282
2020-01-24,473.6992
2020-01-25,473.6992
2020-01-26,473.6992
2020-01-27,473.3024
2020-01-28,473.4346
2020-01-29,473.5669
2020-01-30,473.1701
2020-01-31,473.4346
2020-02-01,473.4346
2020-02-02,473.4346
2020-02-03,474.0959
2020-02-04,472.5088
2020-02-05,473.3024
2020-02-06,473.1701
2020-02-07,473.4346
2020-02-08,473.4346
2020-02-09,473.4346
2020-02-10,472.6728
2020-02-11,473.6733
2020-02-12,474.407
2020-02-13,475.9412
2020-02-14,476.3414
2020-02-15,476.3414
2020-02-16,476.3414
2020-02-17,476.3414
2020-02-18,475.8078
2020-02-19,475.1408
2020-02-20,476.3414
2020-02-21,475.4076
2020-02-22,475.4076
2020-02-23,475.4076
2020-02-24,473.5399
2020-02-25,464.3349
2020-02-26,464.8685
2020-02-27,457.4645
2020-02-28,452.195
2020-02-29,452.195
2020-03-01,452.195
2020-03-02,457.7981
2020-03-03,458.3317
2020-03-04,462.067
2020-03-05,457.2644
2020-03-06,458.5985
2020-03-07,458.5985
2020-03-08,458.5985
2020-03-09,453.5291
2020-03-10,450.9944
2020-03-11,444.7243
2020-03-12,427.9152
2020-03-13,433.9185
2020-03-14,433.9185
2020-03-15,433.9185
2020-03-16,407.771
2020-03-17,391.8957
2020-03-18,363.7471
2020-03-19,384.425
2020-03-20,378.822
2020-03-21,378.822
2020-03-22,378.822
2020-03-23,360.412
2020-03-24,374.6864
2020-03-25,391.0286
2020-03-26,398.9662
2020-03-27,399.9
2020-03-28,399.9
2020-03-29,399.9
2020-03-30,398.2992
2020-03-31,398.2992
2020-04-01,398.2992
2020-04-02,398.2992
2020-04-03,398.2992
2020-04-04,398.2992
2020-04-05,398.2992
2020-04-06,398.2992
2020-04-07,398.2992
2020-04-08,398.2992
2020-04-09,398.2992
2020-04-10,398.2992
2020-04-11,398.2992
2020-04-12,398.2992
2020-04-13,398.2992
2020-04-14,398.2992
2020-04-15,398.2992
2020-04-16,398.2992
2020-04-17,398.2992
2020-04-18,398.2992
2020-04-19,398.2992
2020-04-20,398.2992
2020-04-21,398.2992
2020-04-22,398.2992
2020-04-23,398.2992
2020-04-24,398.2992
2020-04-25,398.2992
2020-04-26,398.2992
2020-04-27,398.2992
2020-04-28,398.2992
2020-04-29,398.2992
2020-04-30,398.2992
2020-05-01,398.2992
2020-05-02,398.2992
2020-05-03,398.2992
2020-05-04,398.2992
2020-05-05,398.2992
2020-05-06,398.2992
2020-05-07,398.2992
2020-05-08,398.2992
2020-05-09,398.2992
2020-05-10,398.2992
2020-05-11,398.2992
2020-05-12,398.2992
2020-05-13,398.2992
2020-05-14,398.2992
2020-05-15,398.2992
2020-05-16,398.2992
2020-05-17,398.2992
2020-05-18,398.2992
2020-05-19,398.2992
2020-05-20,398.2992
2020-05-21,398.2992
2020-05-22,398.2992
2020-05-23,398.2992
2020-05-24,398.2992
2020-05-25,398.2992
2020-05-26,398.2992
2020-05-27,398.2992
2020-05-28,398.2992
2020-05-29,398.2992
2020-05-30,398.2992
2020-05-31,398.2992
2020-06-01,398.2992
2020-06-02,398.2992
2020-06-03,398.2992
2020-06-04,398.2992
2020-06-05,398.2992
2020-06-06,398.2992
2020-06-07,398.2992
2020-06-08,398.2992
2020-06-09,398.2992
2020-06-10,398.2992
2020-06-11,398.2992
2020-06-12,398.2992
2020-06-13,398.2992
2020-06-14,398.2992
2020-06-15,398.2992
2020-06-16,398.2992
2020-06-17,398.2992
2020-06-18,398.2992
2020-06-19,398.2992
2020-06-20,398.2992
