,APAM US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,9.8273
2020-01-02,9.8816
2020-01-03,9.873
2020-01-04,9.873
2020-01-05,9.873
2020-01-06,9.9273
2020-01-07,10.0244
2020-01-08,10.0444
2020-01-09,10.093
2020-01-10,10.0787
2020-01-11,10.0787
2020-01-12,10.0787
2020-01-13,10.3958
2020-01-14,10.4386
2020-01-15,10.4415
2020-01-16,10.6471
2020-01-17,10.5843
2020-01-18,10.5843
2020-01-19,10.5843
2020-01-20,10.5843
2020-01-21,10.4015
2020-01-22,10.3529
2020-01-23,10.3672
2020-01-24,10.1615
2020-01-25,10.1615
2020-01-26,10.1615
2020-01-27,10.0958
2020-01-28,10.2072
2020-01-29,10.2415
2020-01-30,10.3186
2020-01-31,10.1358
2020-02-01,10.1358
2020-02-02,10.1358
2020-02-03,10.2072
2020-02-04,10.47
2020-02-05,10.73
2020-02-06,10.9356
2020-02-07,10.9156
2020-02-08,10.9156
2020-02-09,10.9156
2020-02-10,11.1727
2020-02-11,11.3041
2020-02-12,11.4755
2020-02-13,10.9413
2020-02-14,10.8756
2020-02-15,10.8756
2020-02-16,10.8756
2020-02-17,10.8756
2020-02-18,10.7927
2020-02-19,10.8299
2020-02-20,10.8973
2020-02-21,10.5641
2020-02-22,10.5641
2020-02-23,10.5641
2020-02-24,9.9381
2020-02-25,9.459
2020-02-26,9.5427
2020-02-27,9.026
2020-02-28,8.8442
2020-02-29,8.8442
2020-03-01,8.8442
2020-03-02,9.2454
2020-03-03,8.8269
2020-03-04,8.9741
2020-03-05,8.2872
2020-03-06,8.088
2020-03-07,8.088
2020-03-08,8.088
2020-03-09,7.5223
2020-03-10,7.7734
2020-03-11,6.9624
2020-03-12,6.3707
2020-03-13,7.023
2020-03-14,7.023
2020-03-15,7.023
2020-03-16,5.7935
2020-03-17,6.4169
2020-03-18,6.3448
2020-03-19,6.8296
2020-03-20,6.2178
2020-03-21,6.2178
2020-03-22,6.2178
2020-03-23,5.8079
2020-03-24,6.1716
2020-03-25,6.365
2020-03-26,7.0259
2020-03-27,6.8989
2020-03-28,6.8989
2020-03-29,6.8989
2020-03-30,6.8873
2020-03-31,6.349
2020-04-01,5.8372
2020-04-02,5.8372
2020-04-03,5.8262
2020-04-04,5.8262
2020-04-05,5.8262
2020-04-06,6.1701
2020-04-07,6.1261
2020-04-08,6.3545
2020-04-09,6.7205
2020-04-10,6.7205
2020-04-11,6.7205
2020-04-12,6.7205
2020-04-13,6.6682
2020-04-14,6.6352
2020-04-15,6.5664
2020-04-16,6.4793
