,PAYX US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,21.4941
2020-01-02,21.5066
2020-01-03,21.4342
2020-01-04,21.4342
2020-01-05,21.4342
2020-01-06,21.4317
2020-01-07,21.3142
2020-01-08,21.5216
2020-01-09,21.6652
2020-01-10,21.5466
2020-01-11,21.5466
2020-01-12,21.5466
2020-01-13,21.7939
2020-01-14,21.8838
2020-01-15,22.0712
2020-01-16,22.2211
2020-01-17,22.2885
2020-01-18,22.2885
2020-01-19,22.2885
2020-01-20,22.2885
2020-01-21,22.391
2020-01-22,22.6283
2020-01-23,22.6408
2020-01-24,22.4559
2020-01-25,22.4559
2020-01-26,22.4559
2020-01-27,22.1561
2020-01-28,22.3935
2020-01-29,22.0787
2020-01-30,22.2186
2020-01-31,21.6715
2020-02-01,21.6715
2020-02-02,21.6715
2020-02-03,21.8688
2020-02-04,22.2985
2020-02-05,22.2361
2020-02-06,22.341
2020-02-07,22.2236
2020-02-08,22.2236
2020-02-09,22.2236
2020-02-10,22.351
2020-02-11,22.1786
2020-02-12,22.2211
2020-02-13,22.3785
2020-02-14,22.5309
2020-02-15,22.5309
2020-02-16,22.5309
2020-02-17,22.5309
2020-02-18,22.5683
2020-02-19,22.7557
2020-02-20,22.7857
2020-02-21,22.4909
2020-02-22,22.4909
2020-02-23,22.4909
2020-02-24,22.0312
2020-02-25,21.1319
2020-02-26,20.7996
2020-02-27,19.9552
2020-02-28,18.9132
2020-02-29,18.9132
2020-03-01,18.9132
2020-03-02,20.0306
2020-03-03,19.297
2020-03-04,20.1035
2020-03-05,19.3602
2020-03-06,18.9181
2020-03-07,18.9181
2020-03-08,18.9181
2020-03-09,17.6938
2020-03-10,18.7262
2020-03-11,18.2331
2020-03-12,16.2364
2020-03-13,17.4752
2020-03-14,17.4752
2020-03-15,17.4752
2020-03-16,14.0891
2020-03-17,14.8591
2020-03-18,15.4688
2020-03-19,14.1887
2020-03-20,12.7166
2020-03-21,12.7166
2020-03-22,12.7166
2020-03-23,12.3329
2020-03-24,14.5603
2020-03-25,14.6866
2020-03-26,16.0421
2020-03-27,14.7085
2020-03-28,14.7085
2020-03-29,14.7085
2020-03-30,15.7552
2020-03-31,15.3905
2020-04-01,14.8277
2020-04-02,14.931
2020-04-03,14.5712
2020-04-04,14.5712
2020-04-05,14.5712
2020-04-06,15.9667
2020-04-07,15.8525
2020-04-08,15.9108
2020-04-09,16.2707
2020-04-10,16.2707
2020-04-11,16.2707
2020-04-12,16.2707
2020-04-13,15.6896
2020-04-14,16.1734
2020-04-15,15.8695
2020-04-16,15.5972
2020-04-17,16.5041
2020-04-18,16.5041
2020-04-19,16.5041
2020-04-20,16.2512
2020-04-21,15.658
2020-04-22,16.3387
2020-04-23,16.3606
2020-04-24,16.6475
2020-04-25,16.6475
2020-04-26,16.6475
2020-04-27,16.7618
2020-04-28,16.7861
2020-04-29,17.0779
2020-04-30,16.7521
2020-05-01,16.2852
2020-05-02,16.2852
2020-05-03,16.2852
2020-05-04,16.4238
2020-05-05,16.5478
2020-05-06,16.4117
2020-05-07,16.6426
2020-05-08,16.4092
2020-05-09,16.4092
2020-05-10,16.4092
2020-05-11,16.2147
2020-05-12,15.6604
2020-05-13,15.145
2020-05-14,15.4416
2020-05-15,15.5145
2020-05-16,15.5145
2020-05-17,15.5145
2020-05-18,16.2196
2020-05-19,16.0421
2020-05-20,16.5794
2020-05-21,16.4797
2020-05-22,16.5235
2020-05-23,16.5235
2020-05-24,16.5235
2020-05-25,16.5235
2020-05-26,16.949
2020-05-27,17.3696
2020-05-28,17.6176
2020-05-29,17.7092
2020-05-30,17.7092
2020-05-31,17.7092
2020-06-01,17.6283
2020-06-02,17.9395
2020-06-03,18.3241
2020-06-04,18.1771
2020-06-05,19.6126
2020-06-06,19.6126
2020-06-07,19.6126
2020-06-08,19.6788
2020-06-09,19.0688
2020-06-10,18.9365
2020-06-11,17.7778
2020-06-12,18.0717
2020-06-13,18.0717
2020-06-14,18.0717
2020-06-15,18.3878
2020-06-16,18.7332
2020-06-17,18.6082
2020-06-18,18.5053
2020-06-19,18.1232
2020-06-20,18.1232
2020-06-21,18.1232
2020-06-22,18.1918
2020-06-23,18.1746
2020-06-24,17.5083
2020-06-25,17.8978
2020-06-26,17.5891
2020-06-27,17.5891
2020-06-28,17.5891
2020-06-29,18.0619
2020-06-30,18.5592
2020-07-01,18.694
2020-07-02,18.765
2020-07-03,18.765
2020-07-04,18.765
2020-07-05,18.765
2020-07-06,19.0565
2020-07-07,18.1201
2020-07-08,18.2696
2020-07-09,17.8604
2020-07-10,17.9633
2020-07-11,17.9633
2020-07-12,17.9633
2020-07-13,17.5541
2020-07-14,17.6129
2020-07-15,18.0196
2020-07-16,17.8261
2020-07-17,18.0083
2020-07-18,18.0083
2020-07-19,18.0083
2020-07-20,17.9765
2020-07-21,17.9691
2020-07-22,18.0916
2020-07-23,17.9299
2020-07-24,17.6898
2020-07-25,17.6898
2020-07-26,17.6898
2020-07-27,17.7878
2020-07-28,17.9226
2020-07-29,18.023
2020-07-30,17.729
2020-07-31,17.6237
2020-08-01,17.6237
2020-08-02,17.6237
2020-08-03,17.8295
2020-08-04,17.7927
2020-08-05,17.8197
2020-08-06,17.7878
2020-08-07,17.9985
2020-08-08,17.9985
2020-08-09,17.9985
2020-08-10,18.2288
2020-08-11,18.121
2020-08-12,18.1651
2020-08-13,18.2497
2020-08-14,18.2092
2020-08-15,18.2092
2020-08-16,18.2092
2020-08-17,18.2435
2020-08-18,18.2558
2020-08-19,18.1676
2020-08-20,18.1431
2020-08-21,18.1112
2020-08-22,18.1112
2020-08-23,18.1112
2020-08-24,18.5057
2020-08-25,18.5865
2020-08-26,18.5841
2020-08-27,18.7556
2020-08-28,18.9443
2020-08-29,18.9443
2020-08-30,18.9443
2020-08-31,19.6839
2020-09-01,19.6299
2020-09-02,20.0799
2020-09-03,19.6505
2020-09-04,19.6443
2020-09-05,19.6443
2020-09-06,19.6443
2020-09-07,19.6443
2020-09-08,19.1877
2020-09-09,19.572
2020-09-10,19.4482
2020-09-11,19.3682
2020-09-12,19.3682
2020-09-13,19.3682
2020-09-14,20.0467
2020-09-15,20.3795
2020-09-16,20.5962
2020-09-17,20.5369
2020-09-18,20.2969
2020-09-19,20.2969
2020-09-20,20.2969
2020-09-21,19.8223
2020-09-22,20.0416
2020-09-23,19.6469
2020-09-24,19.6056
2020-09-25,20.0674
2020-09-26,20.0674
2020-09-27,20.0674
2020-09-28,20.5523
2020-09-29,20.4466
2020-09-30,20.6014
2020-10-01,20.493
2020-10-02,20.5136
2020-10-03,20.5136
2020-10-04,20.5136
2020-10-05,21.0348
2020-10-06,20.4865
2020-10-07,20.7673
2020-10-08,21.1667
2020-10-09,21.2517
2020-10-10,21.2517
2020-10-11,21.2517
2020-10-12,21.4089
2020-10-13,21.4063
2020-10-14,21.7515
2020-10-15,21.4784
2020-10-16,21.5944
2020-10-17,21.5944
2020-10-18,21.5944
2020-10-19,21.1306
2020-10-20,21.2208
2020-10-21,21.3084
2020-10-22,21.6613
2020-10-23,21.9293
2020-10-24,21.9293
2020-10-25,21.9293
2020-10-26,21.2723
2020-10-27,21.1306
2020-10-28,20.672
2020-10-29,21.2646
2020-10-30,21.2131
2020-10-31,21.2131
2020-11-01,21.2131
2020-11-02,21.4836
2020-11-03,22.3183
2020-11-04,22.0478
2020-11-05,22.3338
2020-11-06,22.6996
2020-11-07,22.6996
2020-11-08,22.6996
2020-11-09,23.3617
2020-11-10,23.5421
2020-11-11,23.609
2020-11-12,23.3102
2020-11-13,23.6915
2020-11-14,23.6915
2020-11-15,23.6915
2020-11-16,24.0161
2020-11-17,23.8538
2020-11-18,23.6992
2020-11-19,23.7456
2020-11-20,23.3746
2020-11-21,23.3746
2020-11-22,23.3746
2020-11-23,23.7172
2020-11-24,24.1707
2020-11-25,24.0135
2020-11-26,24.0135
2020-11-27,24.0779
2020-11-28,24.0779
2020-11-29,24.0779
2020-11-30,23.8034
2020-12-01,23.9132
2020-12-02,23.7191
2020-12-03,23.8417
2020-12-04,24.1404
2020-12-05,24.1404
2020-12-06,24.1404
2020-12-07,23.9055
2020-12-08,23.8493
2020-12-09,23.8212
2020-12-10,23.3412
2020-12-11,23.4638
2020-12-12,23.4638
2020-12-13,23.4638
2020-12-14,23.3387
2020-12-15,23.9004
2020-12-16,24.1404
2020-12-17,24.4417
2020-12-18,24.766
2020-12-19,24.766
2020-12-20,24.766
2020-12-21,24.6817
2020-12-22,24.6919
2020-12-23,24.1984
2020-12-24,24.2778
2020-12-25,24.2778
2020-12-26,24.2778
2020-12-27,24.2778
2020-12-28,24.1727
2020-12-29,23.8756
2020-12-30,23.6195
2020-12-31,23.8859
2021-01-01,23.8859
2021-01-02,23.8859
2021-01-03,23.8859
2021-01-04,23.1636
2021-01-05,23.0765
2021-01-06,23.3659
2021-01-07,23.4633
2021-01-08,23.5888
2021-01-09,23.5888
2021-01-10,23.5888
2021-01-11,23.3275
2021-01-12,23.2558
2021-01-13,22.9587
2021-01-14,22.5771
2021-01-15,22.6539
2021-01-16,22.6539
2021-01-17,22.6539
2021-01-18,22.6539
2021-01-19,22.6462
2021-01-20,22.8972
2021-01-21,22.4439
2021-01-22,22.2697
2021-01-23,22.2697
2021-01-24,22.2697
2021-01-25,22.2927
2021-01-26,22.3875
2021-01-27,22.3747
2021-01-28,22.8383
2021-01-29,22.385
2021-01-30,22.385
2021-01-31,22.385
2021-02-01,22.8921
2021-02-02,23.2071
2021-02-03,23.0586
2021-02-04,23.4761
2021-02-05,23.4889
2021-02-06,23.4889
2021-02-07,23.4889
2021-02-08,23.5094
2021-02-09,23.2993
2021-02-10,23.1866
2021-02-11,23.1457
2021-02-12,22.9177
2021-02-13,22.9177
2021-02-14,22.9177
2021-02-15,22.9177
2021-02-16,22.764
2021-02-17,22.8614
2021-02-18,23.3992
2021-02-19,23.1354
2021-02-20,23.1354
2021-02-21,23.1354
2021-02-22,23.1713
2021-02-23,23.2968
2021-02-24,23.932
2021-02-25,23.4325
2021-02-26,23.284
2021-02-27,23.284
2021-02-28,23.284
2021-03-01,23.7147
2021-03-02,23.5583
2021-03-03,23.1327
2021-03-04,22.8327
2021-03-05,23.5532
2021-03-06,23.5532
2021-03-07,23.5532
2021-03-08,23.8301
2021-03-09,24.1762
