,INTC US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,12.3689
2020-01-02,12.5642
2020-01-03,12.4182
2020-01-04,12.4182
2020-01-05,12.4182
2020-01-06,12.3847
2020-01-07,12.1875
2020-01-08,12.1954
2020-01-09,12.2605
2020-01-10,12.1895
2020-01-11,12.1895
2020-01-12,12.1895
2020-01-13,12.3177
2020-01-14,12.2861
2020-01-15,12.1895
2020-01-16,12.3315
2020-01-17,12.3196
2020-01-18,12.3196
2020-01-19,12.3196
2020-01-20,12.3196
2020-01-21,12.507
2020-01-22,12.9369
2020-01-23,13.0533
2020-01-24,13.8424
2020-01-25,13.8424
2020-01-26,13.8424
2020-01-27,13.3033
2020-01-28,13.6175
2020-01-29,13.4274
2020-01-30,13.4546
2020-01-31,12.962
2020-02-01,12.962
2020-02-02,12.962
2020-02-03,13.057
2020-02-04,13.2587
2020-02-05,13.6233
2020-02-06,13.5748
2020-02-07,13.3673
2020-02-08,13.3673
2020-02-09,13.3673
2020-02-10,13.4391
2020-02-11,13.6368
2020-02-12,13.6465
2020-02-13,13.6427
2020-02-14,13.6097
2020-02-15,13.6097
2020-02-16,13.6097
2020-02-17,13.6097
2020-02-18,13.3906
2020-02-19,13.5787
2020-02-20,13.2568
2020-02-21,13.0415
2020-02-22,13.0415
2020-02-23,13.0415
2020-02-24,12.5412
2020-02-25,12.1476
2020-02-26,12.1321
2020-02-27,11.3913
2020-02-28,11.3312
2020-02-29,11.3312
2020-03-01,11.3312
2020-03-02,11.847
2020-03-03,11.4184
2020-03-04,11.944
2020-03-05,11.6104
2020-03-06,11.3797
2020-03-07,11.3797
2020-03-08,11.3797
2020-03-09,10.4256
2020-03-10,11.0326
2020-03-11,10.5827
2020-03-12,9.3959
2020-03-13,11.1198
2020-03-14,11.1198
2020-03-15,11.1198
2020-03-16,9.2156
2020-03-17,10.2763
2020-03-18,9.7973
2020-03-19,9.4735
2020-03-20,9.4521
2020-03-21,9.4521
2020-03-22,9.4521
2020-03-23,10.1793
2020-03-24,10.7262
2020-03-25,10.5051
2020-03-26,11.3351
2020-03-27,9.6077
2020-03-28,9.6077
2020-03-29,9.6077
2020-03-30,10.1436
2020-03-31,9.9083
2020-04-01,9.5309
2020-04-02,9.9555
2020-04-03,9.9177
2020-04-04,9.9177
2020-04-05,9.9177
