,PNM US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,49.7199
2020-01-02,49.1773
2020-01-03,49.2678
2020-01-04,49.2678
2020-01-05,49.2678
2020-01-06,49.2093
2020-01-07,48.9167
2020-01-08,50.5633
2020-01-09,50.7869
2020-01-10,51.2397
2020-01-11,51.2397
2020-01-12,51.2397
2020-01-13,51.5091
2020-01-14,51.5091
2020-01-15,52.0822
2020-01-16,52.088
2020-01-17,52.1969
2020-01-18,52.1969
2020-01-19,52.1969
2020-01-20,52.1969
2020-01-21,52.4834
2020-01-22,52.7413
2020-01-23,53.0623
2020-01-24,53.3775
2020-01-25,53.3775
2020-01-26,53.3775
2020-01-27,53.5438
2020-01-28,53.8819
2020-01-29,54.0424
2020-01-30,54.2716
2020-01-31,53.8303
2020-02-01,53.8303
2020-02-02,53.8303
2020-02-03,53.9965
2020-02-04,53.7959
2020-02-05,53.9908
2020-02-06,54.0882
2020-02-07,53.9793
2020-02-08,53.9793
2020-02-09,53.9793
2020-02-10,53.9564
2020-02-11,54.3462
2020-02-12,54.3347
2020-02-13,54.713
2020-02-14,54.7187
2020-02-15,54.7187
2020-02-16,54.7187
2020-02-17,54.7187
2020-02-18,54.7244
2020-02-19,54.3003
2020-02-20,54.1742
2020-02-21,53.9908
2020-02-22,53.9908
2020-02-23,53.9908
2020-02-24,53.8475
2020-02-25,53.1827
2020-02-26,52.684
2020-02-27,51.148
2020-02-28,49.7323
2020-02-29,49.7323
2020-03-01,49.7323
2020-03-02,51.1423
2020-03-03,48.8529
2020-03-04,50.4538
2020-03-05,50.3315
2020-03-06,50.3155
2020-03-07,50.3155
2020-03-08,50.3155
2020-03-09,47.8849
2020-03-10,48.6668
2020-03-11,47.0286
2020-03-12,43.7576
2020-03-13,44.7575
2020-03-14,44.7575
2020-03-15,44.7575
2020-03-16,40.7206
2020-03-17,42.2418
2020-03-18,39.3058
2020-03-19,40.5291
2020-03-20,38.6676
2020-03-21,38.6676
2020-03-22,38.6676
2020-03-23,39.3537
2020-03-24,40.7153
2020-03-25,40.9866
2020-03-26,43.38
2020-03-27,43.8108
2020-03-28,43.8108
2020-03-29,43.8108
2020-03-30,43.715
2020-03-31,40.5807
2020-04-01,39.6879
2020-04-02,40.799
2020-04-03,40.6303
2020-04-04,40.6303
2020-04-05,40.6303
2020-04-06,42.545
2020-04-07,42.6591
2020-04-08,43.7156
2020-04-09,44.8366
2020-04-10,44.8366
2020-04-11,44.8366
2020-04-12,44.8366
2020-04-13,43.4527
2020-04-14,44.0628
2020-04-15,42.9914
2020-04-16,42.8922
2020-04-17,43.165
2020-04-18,43.165
2020-04-19,43.165
2020-04-20,41.8853
2020-04-21,41.424
2020-04-22,42.1234
2020-04-23,41.8704
2020-04-24,42.2275
2020-04-25,42.2275
2020-04-26,42.2275
2020-04-27,42.7434
2020-04-28,42.8972
2020-04-29,42.9517
2020-04-30,41.8158
2020-05-01,41.1065
2020-05-02,41.1065
2020-05-03,41.1065
2020-05-04,40.9825
2020-05-05,41.0222
2020-05-06,40.1839
2020-05-07,40.6998
2020-05-08,41.2504
2020-05-09,41.2504
2020-05-10,41.2504
2020-05-11,40.5758
2020-05-12,39.9905
2020-05-13,39.4746
2020-05-14,39.6085
2020-05-15,40.1889
2020-05-16,40.1889
2020-05-17,40.1889
2020-05-18,41.5728
2020-05-19,41.4587
2020-05-20,41.424
2020-05-21,40.8883
2020-05-22,40.8387
2020-05-23,40.8387
2020-05-24,40.8387
2020-05-25,40.8387
2020-05-26,41.0817
2020-05-27,41.1958
2020-05-28,41.7315
2020-05-29,41.9795
2020-05-30,41.9795
2020-05-31,41.9795
2020-06-01,41.791
2020-06-02,41.9398
2020-06-03,42.2573
2020-06-04,41.8902
2020-06-05,42.8128
2020-06-06,42.8128
2020-06-07,42.8128
2020-06-08,43.1353
2020-06-09,42.5152
2020-06-10,41.9398
2020-06-11,40.8982
2020-06-12,40.9428
2020-06-13,40.9428
2020-06-14,40.9428
2020-06-15,41.0718
2020-06-16,41.2256
2020-06-17,40.8833
2020-06-18,40.8387
2020-06-19,40.3327
2020-06-20,40.3327
2020-06-21,40.3327
2020-06-22,40.675
2020-06-23,40.7494
2020-06-24,40.5559
2020-06-25,40.5659
2020-06-26,40.1343
2020-06-27,40.1343
2020-06-28,40.1343
2020-06-29,40.794
2020-06-30,20.6629
2020-07-01,20.881
2020-07-02,20.8687
2020-07-03,20.8687
2020-07-04,20.8687
2020-07-05,20.8687
2020-07-06,20.8687
2020-07-07,20.6556
2020-07-08,20.7634
2020-07-09,20.5233
2020-07-10,20.7683
2020-07-11,20.7683
2020-07-12,20.7683
2020-07-13,20.7658
2020-07-14,20.8344
2020-07-15,20.8148
2020-07-16,20.832
2020-07-17,21.1578
2020-07-18,21.1578
2020-07-19,21.1578
2020-07-20,20.9986
2020-07-21,21.2901
2020-07-22,21.4665
2020-07-23,21.5351
2020-07-24,21.344
2020-07-25,21.344
2020-07-26,21.344
2020-07-27,21.3514
2020-07-28,21.5253
2020-07-29,21.4959
2020-07-30,21.5204
2020-07-31,21.5915
2020-08-01,21.5915
2020-08-02,21.5915
2020-08-03,21.5057
2020-08-04,21.6111
2020-08-05,21.5743
2020-08-06,21.7409
2020-08-07,22.1035
2020-08-08,22.1035
2020-08-09,22.1035
2020-08-10,22.253
2020-08-11,21.9982
2020-08-12,22.1329
2020-08-13,22.2162
2020-08-14,22.2211
2020-08-15,22.2211
2020-08-16,22.2211
2020-08-17,22.2652
2020-08-18,22.0276
2020-08-19,21.9786
2020-08-20,21.883
2020-08-21,21.9884
2020-08-22,21.9884
2020-08-23,21.9884
2020-08-24,22.2358
2020-08-25,22.0594
2020-08-26,21.8218
2020-08-27,21.8953
2020-08-28,21.959
2020-08-29,21.959
2020-08-30,21.959
2020-08-31,21.9467
2020-09-01,21.8071
2020-09-02,22.0202
2020-09-03,21.8732
2020-09-04,21.7826
2020-09-05,21.7826
2020-09-06,21.7826
2020-09-07,21.7826
2020-09-08,21.4763
2020-09-09,21.5743
2020-09-10,21.2632
2020-09-11,21.2509
2020-09-12,21.2509
2020-09-13,21.2509
2020-09-14,21.2142
2020-09-15,21.2901
2020-09-16,21.2534
2020-09-17,21.0672
2020-09-18,21.0549
2020-09-19,21.0549
2020-09-20,21.0549
2020-09-21,21.0231
2020-09-22,21.2117
2020-09-23,20.9104
2020-09-24,21.0917
2020-09-25,21.2828
2020-09-26,21.2828
2020-09-27,21.2828
2020-09-28,21.4004
2020-09-29,21.2999
2020-09-30,20.8735
2020-10-01,21.0102
2020-10-02,21.2405
2020-10-03,21.2405
2020-10-04,21.2405
2020-10-05,21.4803
2020-10-06,21.4275
2020-10-07,21.5211
2020-10-08,21.6674
2020-10-09,21.6386
2020-10-10,21.6386
2020-10-11,21.6386
2020-10-12,21.9096
2020-10-13,21.8736
2020-10-14,21.9671
2020-10-15,21.9815
2020-10-16,22.0487
2020-10-17,22.0487
2020-10-18,22.0487
2020-10-19,22.0247
2020-10-20,21.9312
2020-10-21,22.9288
2020-10-22,22.9936
2020-10-23,22.96
2020-10-24,22.96
2020-10-25,22.96
2020-10-26,22.8928
2020-10-27,22.9312
2020-10-28,22.912
2020-10-29,22.9096
2020-10-30,22.9528
2020-10-31,22.9528
2020-11-01,22.9528
2020-11-02,22.9048
2020-11-03,22.8233
2020-11-04,22.9048
2020-11-05,22.7849
2020-11-06,22.7729
2020-11-07,22.7729
2020-11-08,22.7729
2020-11-09,22.6674
2020-11-10,22.7561
2020-11-11,22.7346
2020-11-12,22.7058
2020-11-13,22.713
2020-11-14,22.713
2020-11-15,22.713
2020-11-16,22.713
2020-11-17,22.689
2020-11-18,22.7202
2020-11-19,22.7561
2020-11-20,22.7466
2020-11-21,22.7466
2020-11-22,22.7466
2020-11-23,22.7442
2020-11-24,22.737
2020-11-25,22.7394
2020-11-26,22.7394
2020-11-27,22.7346
2020-11-28,22.7346
2020-11-29,22.7346
2020-11-30,22.7394
2020-12-01,22.7202
2020-12-02,22.7561
2020-12-03,22.7538
2020-12-04,22.7705
2020-12-05,22.7705
2020-12-06,22.7705
2020-12-07,22.7514
2020-12-08,22.7394
2020-12-09,22.7466
2020-12-10,22.7298
2020-12-11,22.7346
2020-12-12,22.7346
2020-12-13,22.7346
2020-12-14,22.7226
2020-12-15,22.749
2020-12-16,22.7442
2020-12-17,22.7418
2020-12-18,22.7274
2020-12-19,22.7274
2020-12-20,22.7274
2020-12-21,22.7298
2020-12-22,22.6866
2020-12-23,22.6362
2020-12-24,22.629
2020-12-25,22.629
2020-12-26,22.629
2020-12-27,22.629
2020-12-28,22.6194
2020-12-29,22.5955
2020-12-30,22.6147
2020-12-31,25.7442
2021-01-01,25.7442
2021-01-02,25.7442
2021-01-03,25.7442
2021-01-04,25.719
2021-01-05,26.6964
2021-01-06,26.7957
2021-01-07,26.8318
2021-01-08,26.7686
2021-01-09,26.7686
2021-01-10,26.7686
2021-01-11,26.7927
2021-01-12,26.8197
2021-01-13,26.8258
2021-01-14,26.7896
2021-01-15,26.8468
2021-01-16,26.8468
2021-01-17,26.8468
2021-01-18,26.8468
2021-01-19,26.8167
2021-01-20,26.8107
2021-01-21,26.8167
2021-01-22,26.8288
2021-01-23,26.8288
2021-01-24,26.8288
2021-01-25,26.8468
2021-01-26,26.8619
2021-01-27,26.7776
2021-01-28,26.8047
2021-01-29,26.7927
2021-01-30,26.7927
2021-01-31,26.7927
2021-02-01,26.8919
2021-02-02,26.8468
2021-02-03,26.8679
2021-02-04,26.901
2021-02-05,26.907
2021-02-06,26.907
2021-02-07,26.907
2021-02-08,26.916
2021-02-09,26.8799
2021-02-10,26.8619
2021-02-11,26.8619
2021-02-12,26.8167
2021-02-13,26.8167
2021-02-14,26.8167
2021-02-15,26.8167
2021-02-16,26.8017
2021-02-17,26.8197
2021-02-18,26.8438
2021-02-19,26.8167
2021-02-20,26.8167
2021-02-21,26.8167
2021-02-22,26.8107
2021-02-23,26.8137
2021-02-24,26.7746
2021-02-25,26.6813
2021-02-26,26.6392
2021-02-27,26.6392
2021-02-28,26.6392
2021-03-01,26.6482
2021-03-02,26.5459
2021-03-03,26.3654
2021-03-04,26.4436
2021-03-05,26.4617
2021-03-06,26.4617
2021-03-07,26.4617
2021-03-08,26.6332
2021-03-09,26.6633
2021-03-10,26.7445
2021-03-11,26.7565
2021-03-12,26.6994
2021-03-13,26.6994
2021-03-14,26.6994
2021-03-15,26.8408
2021-03-16,26.8709
2021-03-17,26.8137
2021-03-18,26.8378
2021-03-19,26.916
2021-03-20,26.916
2021-03-21,26.916
2021-03-22,26.925
2021-03-23,26.9521
2021-03-24,26.9431
2021-03-25,26.9672
2021-03-26,26.9672
2021-03-27,26.9672
2021-03-28,26.9672
2021-03-29,26.9491
2021-03-30,26.9792
2021-03-31,27.8031
2021-04-01,27.8459
2021-04-02,27.8459
2021-04-03,27.8459
2021-04-04,27.8459
2021-04-05,27.8612
2021-04-06,27.8734
2021-04-07,27.9223
2021-04-08,27.907
2021-04-09,27.8948
2021-04-10,27.8948
2021-04-11,27.8948
2021-04-12,27.8917
2021-04-13,27.9223
2021-04-14,27.9254
2021-04-15,27.9498
2021-04-16,27.9621
2021-04-17,27.9621
2021-04-18,27.9621
2021-04-19,27.9712
2021-04-20,27.9926
2021-04-21,28.0844
2021-04-22,28.0202
2021-04-23,27.9957
2021-04-24,27.9957
2021-04-25,27.9957
2021-04-26,28.0232
2021-04-27,28.0293
2021-04-28,28.0691
