,SCL US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,17.4703
2020-01-02,17.7846
2020-01-03,17.4301
2020-01-04,17.4301
2020-01-05,17.4301
2020-01-06,17.486
2020-01-07,17.4388
2020-01-08,17.582
2020-01-09,17.348
2020-01-10,17.3533
2020-01-11,17.3533
2020-01-12,17.3533
2020-01-13,18.0012
2020-01-14,17.8213
2020-01-15,17.3969
2020-01-16,17.5663
2020-01-17,17.837
2020-01-18,17.837
2020-01-19,17.837
2020-01-20,17.837
2020-01-21,17.3655
2020-01-22,17.355
2020-01-23,17.5069
2020-01-24,17.2729
2020-01-25,17.2729
2020-01-26,17.2729
2020-01-27,17.3987
2020-01-28,17.4056
2020-01-29,17.238
2020-01-30,17.1105
2020-01-31,16.8084
2020-02-01,16.8084
2020-02-02,16.8084
2020-02-03,17.0598
2020-02-04,17.4022
2020-02-05,17.6047
2020-02-06,17.5995
2020-02-07,17.1856
2020-02-08,17.1856
2020-02-09,17.1856
2020-02-10,17.3288
2020-02-11,17.4318
2020-02-12,17.5541
2020-02-13,17.6414
2020-02-14,17.6921
2020-02-15,17.6921
2020-02-16,17.6921
2020-02-17,17.6921
2020-02-18,17.4056
2020-02-19,17.4388
2020-02-20,17.4249
2020-02-21,17.1594
2020-02-22,17.1594
2020-02-23,17.1594
2020-02-24,16.7595
2020-02-25,15.9596
2020-02-26,15.7483
2020-02-27,14.7947
2020-02-28,14.9268
2020-02-29,14.9268
2020-03-01,14.9268
2020-03-02,15.3899
2020-03-03,15.0456
2020-03-04,15.6555
2020-03-05,14.8412
2020-03-06,14.5756
2020-03-07,14.5756
2020-03-08,14.5756
2020-03-09,13.4905
2020-03-10,13.8836
2020-03-11,12.9645
2020-03-12,12.0472
2020-03-13,14.0811
2020-03-14,14.0811
2020-03-15,14.0811
2020-03-16,14.0025
2020-03-17,16.966
2020-03-18,17.4011
2020-03-19,16.7563
2020-03-20,12.6986
2020-03-21,12.6986
2020-03-22,12.6986
2020-03-23,13.5381
2020-03-24,14.3303
2020-03-25,13.8861
2020-03-26,14.514
2020-03-27,13.3177
2020-03-28,13.3177
2020-03-29,13.3177
2020-03-30,14.8096
2020-03-31,14.5312
2020-04-01,13.7232
2020-04-02,14.387
2020-04-03,14.7934
2020-04-04,14.7934
2020-04-05,14.7934
2020-04-06,15.3555
2020-04-07,15.3538
2020-04-08,15.5816
2020-04-09,15.8864
2020-04-10,15.8864
2020-04-11,15.8864
2020-04-12,15.8864
2020-04-13,15.385
2020-04-14,15.6373
2020-04-15,14.8491
2020-04-16,14.9736
2020-04-17,15.4571
2020-04-18,15.4571
2020-04-19,15.4571
2020-04-20,14.9999
