,FDS US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,23.1311
2020-01-02,23.1665
2020-01-03,23.1615
2020-01-04,23.1615
2020-01-05,23.1615
2020-01-06,23.0372
2020-01-07,23.0265
2020-01-08,23.1961
2020-01-09,23.149
2020-01-10,22.8274
2020-01-11,22.8274
2020-01-12,22.8274
2020-01-13,23.001
2020-01-14,23.0989
2020-01-15,23.3728
2020-01-16,23.7742
2020-01-17,23.7191
2020-01-18,23.7191
2020-01-19,23.7191
2020-01-20,23.7191
2020-01-21,23.8079
2020-01-22,24.0087
2020-01-23,24.0802
2020-01-24,23.7882
2020-01-25,23.7882
2020-01-26,23.7882
2020-01-27,23.5998
2020-01-28,23.9429
2020-01-29,24.6964
2020-01-30,24.9325
2020-01-31,24.5738
2020-02-01,24.5738
2020-02-02,24.5738
2020-02-03,24.8921
2020-02-04,25.3109
2020-02-05,24.9028
2020-02-06,24.8872
2020-02-07,24.5985
2020-02-08,24.5985
2020-02-09,24.5985
2020-02-10,24.8995
2020-02-11,25.083
2020-02-12,25.162
2020-02-13,25.4556
2020-02-14,25.6786
2020-02-15,25.6786
2020-02-16,25.6786
2020-02-17,25.6786
2020-02-18,25.9574
2020-02-19,26.4288
2020-02-20,25.9344
2020-02-21,25.6827
2020-02-22,25.6827
2020-02-23,25.6827
2020-02-24,25.31
2020-02-25,24.7342
2020-02-26,24.8872
2020-02-27,23.9494
2020-02-28,23.054
2020-02-29,23.054
2020-03-01,23.054
2020-03-02,24.3168
2020-03-03,24.1168
2020-03-04,25.3572
2020-03-05,24.9432
2020-03-06,24.1358
2020-03-07,24.1358
2020-03-08,24.1358
2020-03-09,22.7127
2020-03-10,23.4366
2020-03-11,22.14
2020-03-12,20.3624
2020-03-13,21.9863
2020-03-14,21.9863
2020-03-15,21.9863
2020-03-16,19.7591
2020-03-17,21.4681
2020-03-18,19.2038
2020-03-19,20.4963
2020-03-20,19.0865
2020-03-21,19.0865
2020-03-22,19.0865
2020-03-23,17.9766
2020-03-24,20.1922
2020-03-25,20.3054
2020-03-26,22.3574
2020-03-27,22.1218
2020-03-28,22.1218
2020-03-29,22.1218
2020-03-30,23.2259
2020-03-31,22.6152
2020-04-01,22.1904
2020-04-02,22.7499
2020-04-03,21.9896
2020-04-04,21.9896
2020-04-05,21.9896
2020-04-06,23.1292
2020-04-07,23.2077
2020-04-08,23.4656
2020-04-09,24.1213
2020-04-10,24.1213
2020-04-11,24.1213
2020-04-12,24.1213
2020-04-13,23.5021
2020-04-14,24.1189
2020-04-15,23.9537
2020-04-16,24.3913
2020-04-17,24.2815
2020-04-18,24.2815
2020-04-19,24.2815
2020-04-20,23.9182
2020-04-21,23.0794
2020-04-22,23.5648
2020-04-23,23.6449
2020-04-24,23.7308
2020-04-25,23.7308
2020-04-26,23.7308
2020-04-27,24.6919
2020-04-28,23.796
2020-04-29,24.4772
2020-04-30,23.7779
2020-05-01,23.318
2020-05-02,23.318
2020-05-03,23.318
2020-05-04,23.2849
2020-05-05,23.5896
2020-05-06,23.0571
2020-05-07,23.839
2020-05-08,23.867
2020-05-09,23.867
2020-05-10,23.867
2020-05-11,24.6564
2020-05-12,24.2964
2020-05-13,24.1156
2020-05-14,24.1164
2020-05-15,24.2782
2020-05-16,24.2782
2020-05-17,24.2782
2020-05-18,25.1245
2020-05-19,24.8033
2020-05-20,25.0915
2020-05-21,25.0502
2020-05-22,24.9618
2020-05-23,24.9618
2020-05-24,24.9618
2020-05-25,24.9618
2020-05-26,25.4754
2020-05-27,25.9039
2020-05-28,26.0897
2020-05-29,25.9738
2020-05-30,25.9738
2020-05-31,25.9738
2020-06-01,25.8905
2020-06-02,25.7664
2020-06-03,26.4458
2020-06-04,26.2735
2020-06-05,26.7488
2020-06-06,26.7488
2020-06-07,26.7488
2020-06-08,26.5634
2020-06-09,25.7607
2020-06-10,25.8415
2020-06-11,24.0702
2020-06-12,24.2972
2020-06-13,24.2972
2020-06-14,24.2972
2020-06-15,24.9195
2020-06-16,25.0428
2020-06-17,25.3687
2020-06-18,25.4773
2020-06-19,25.6561
2020-06-20,25.6561
2020-06-21,25.6561
2020-06-22,26.1053
2020-06-23,25.8677
2020-06-24,25.1327
2020-06-25,28.8035
2020-06-26,27.7002
2020-06-27,27.7002
2020-06-28,27.7002
2020-06-29,27.5491
2020-06-30,27.6855
2020-07-01,28.1282
2020-07-02,28.2923
2020-07-03,28.2923
2020-07-04,28.2923
2020-07-05,28.2923
2020-07-06,28.5259
2020-07-07,28.7104
2020-07-08,29.3972
2020-07-09,29.3202
2020-07-10,29.616
2020-07-11,29.616
2020-07-12,29.616
2020-07-13,28.8917
2020-07-14,29.6643
2020-07-15,29.6864
2020-07-16,29.5398
2020-07-17,29.8421
2020-07-18,29.8421
2020-07-19,29.8421
2020-07-20,29.9658
2020-07-21,29.9183
2020-07-22,29.9052
