,AMCX US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,7.9455
2020-01-02,7.915
2020-01-03,7.9333
2020-01-04,7.9333
2020-01-05,7.9333
2020-01-06,8.0172
2020-01-07,8.0792
2020-01-08,8.049
2020-01-09,7.9905
2020-01-10,7.9621
2020-01-11,7.9621
2020-01-12,7.9621
2020-01-13,8.053
2020-01-14,8.1071
2020-01-15,8.0547
2020-01-16,8.108
2020-01-17,8.1857
2020-01-18,8.1857
2020-01-19,8.1857
2020-01-20,8.1857
2020-01-21,8.1944
2020-01-22,8.0949
2020-01-23,7.8888
2020-01-24,7.8364
2020-01-25,7.8364
2020-01-26,7.8364
2020-01-27,7.7901
2020-01-28,7.8303
2020-01-29,7.7473
2020-01-30,7.7796
2020-01-31,7.6914
2020-02-01,7.6914
2020-02-02,7.6914
2020-02-03,7.6888
2020-02-04,7.7643
2020-02-05,7.8739
2020-02-06,7.8137
2020-02-07,7.7875
2020-02-08,7.7875
2020-02-09,7.7875
2020-02-10,7.7621
2020-02-11,7.8145
2020-02-12,7.8355
2020-02-13,7.818
2020-02-14,7.7962
2020-02-15,7.7962
2020-02-16,7.7962
2020-02-17,7.7962
2020-02-18,7.7525
2020-02-19,7.756
2020-02-20,7.6661
2020-02-21,7.5569
2020-02-22,7.5569
2020-02-23,7.5569
2020-02-24,7.4879
2020-02-25,7.3831
2020-02-26,7.1552
2020-02-27,6.9676
2020-02-28,7.2035
2020-02-29,7.2035
2020-03-01,7.2035
2020-03-02,7.2096
2020-03-03,7.117
2020-03-04,7.027
2020-03-05,6.8847
2020-03-06,6.8829
2020-03-07,6.8829
2020-03-08,6.8829
2020-03-09,6.7676
2020-03-10,6.924
2020-03-11,6.8759
2020-03-12,6.7096
2020-03-13,6.9362
2020-03-14,6.9362
2020-03-15,6.9362
2020-03-16,6.9467
2020-03-17,6.7537
2020-03-18,6.7467
2020-03-19,6.9353
2020-03-20,6.6558
2020-03-21,6.6558
2020-03-22,6.6558
2020-03-23,6.4427
2020-03-24,6.7379
2020-03-25,6.6585
2020-03-26,6.7537
2020-03-27,6.6646
2020-03-28,6.6646
2020-03-29,6.6646
2020-03-30,6.7825
2020-03-31,7.4651
2020-04-01,7.2774
2020-04-02,7.2633
2020-04-03,7.0906
2020-04-04,7.0906
2020-04-05,7.0906
2020-04-06,7.2984
2020-04-07,7.3687
2020-04-08,7.4802
2020-04-09,7.4842
2020-04-10,7.4842
2020-04-11,7.4842
2020-04-12,7.4842
2020-04-13,7.4842
2020-04-14,7.441
2020-04-15,7.3436
2020-04-16,7.3537
2020-04-17,7.4711
2020-04-18,7.4711
2020-04-19,7.4711
2020-04-20,7.442
2020-04-21,7.3005
2020-04-22,7.181
2020-04-23,7.182
2020-04-24,7.1519
2020-04-25,7.1519
2020-04-26,7.1519
2020-04-27,7.3948
2020-04-28,7.5103
2020-04-29,7.5323
2020-04-30,7.2671
2020-05-01,7.285
2020-05-02,7.285
2020-05-03,7.285
2020-05-04,7.2718
2020-05-05,7.175
2020-05-06,7.2822
2020-05-07,7.2925
2020-05-08,7.4721
2020-05-09,7.4721
2020-05-10,7.4721
2020-05-11,7.4073
2020-05-12,7.6894
2020-05-13,7.4825
2020-05-14,7.6428
2020-05-15,7.6179
2020-05-16,7.6179
2020-05-17,7.6179
2020-05-18,7.6471
2020-05-19,7.6997
2020-05-20,7.8699
2020-05-21,7.9123
2020-05-22,7.7665
2020-05-23,7.7665
2020-05-24,7.7665
2020-05-25,7.7665
2020-05-26,7.837
2020-05-27,7.8474
2020-05-28,7.7148
2020-05-29,7.6828
2020-05-30,7.6828
2020-05-31,7.6828
2020-06-01,7.8351
2020-06-02,7.805
2020-06-03,8.0148
2020-06-04,8.0486
2020-06-05,8.1568
2020-06-06,8.1568
2020-06-07,8.1568
2020-06-08,8.2433
2020-06-09,7.9715
2020-06-10,7.8342
2020-06-11,7.6884
2020-06-12,7.6471
2020-06-13,7.6471
2020-06-14,7.6471
2020-06-15,7.7844
