,SXT US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,28.1867
2020-01-02,27.8897
2020-01-03,27.5717
2020-01-04,27.5717
2020-01-05,27.5717
2020-01-06,27.5298
2020-01-07,27.2642
2020-01-08,27.2363
2020-01-09,27.1244
2020-01-10,27.2083
2020-01-11,27.2083
2020-01-12,27.2083
2020-01-13,27.4878
2020-01-14,27.5752
2020-01-15,27.5647
2020-01-16,27.9631
2020-01-17,27.8408
2020-01-18,27.8408
2020-01-19,27.8408
2020-01-20,27.8408
2020-01-21,27.5018
2020-01-22,27.4529
2020-01-23,27.1594
2020-01-24,27.065
2020-01-25,27.065
2020-01-26,27.065
2020-01-27,26.7366
2020-01-28,26.8379
2020-01-29,26.782
2020-01-30,26.4885
2020-01-31,25.9713
2020-02-01,25.9713
2020-02-02,25.9713
2020-02-03,26.492
2020-02-04,26.9113
2020-02-05,27.0196
2020-02-06,26.7925
2020-02-07,26.3487
2020-02-08,26.3487
2020-02-09,26.3487
2020-02-10,26.2998
2020-02-11,26.3697
2020-02-12,26.4361
2020-02-13,26.4885
2020-02-14,24.5702
2020-02-15,24.5702
2020-02-16,24.5702
2020-02-17,24.5702
2020-02-18,24.2592
2020-02-19,24.5632
2020-02-20,24.4793
2020-02-21,24.7627
2020-02-22,24.7627
2020-02-23,24.7627
2020-02-24,24.553
2020-02-25,23.6059
2020-02-26,23.2739
2020-02-27,22.6972
2020-02-28,22.2813
2020-02-29,22.2813
2020-03-01,22.2813
2020-03-02,22.879
2020-03-03,22.3407
2020-03-04,22.9558
2020-03-05,22.1485
2020-03-06,22.2044
2020-03-07,22.2044
2020-03-08,22.2044
2020-03-09,20.7331
2020-03-10,21.9947
2020-03-11,21.5194
2020-03-12,20.2019
2020-03-13,20.9847
2020-03-14,20.9847
2020-03-15,20.9847
2020-03-16,19.3945
2020-03-17,21.0826
2020-03-18,20.3102
2020-03-19,20.7156
2020-03-20,19.9887
2020-03-21,19.9887
2020-03-22,19.9887
2020-03-23,19.1743
2020-03-24,19.7615
2020-03-25,19.737
2020-03-26,20.104
2020-03-27,19.7475
2020-03-28,19.7475
2020-03-29,19.7475
2020-03-30,20.6702
2020-03-31,22.8515
2020-04-01,21.9592
2020-04-02,21.6604
2020-04-03,20.9752
2020-04-04,20.9752
2020-04-05,20.9752
2020-04-06,21.9154
2020-04-07,21.9114
2020-04-08,22.5687
2020-04-09,23.5646
2020-04-10,23.5646
2020-04-11,23.5646
2020-04-12,23.5646
2020-04-13,22.9193
2020-04-14,23.469
2020-04-15,22.9631
2020-04-16,22.975
2020-04-17,23.0866
2020-04-18,23.0866
2020-04-19,23.0866
2020-04-20,22.2739
2020-04-21,21.8078
2020-04-22,22.262
2020-04-23,23.0866
2020-04-24,23.3614
2020-04-25,23.3614
2020-04-26,23.3614
2020-04-27,24.2219
2020-04-28,24.1383
2020-04-29,25.0744
2020-04-30,24.5565
2020-05-01,24.3016
2020-05-02,24.3016
2020-05-03,24.3016
2020-05-04,24.0721
2020-05-05,23.9685
2020-05-06,23.5698
2020-05-07,23.813
2020-05-08,24.5864
2020-05-09,24.5864
2020-05-10,24.5864
2020-05-11,24.1399
2020-05-12,23.7771
2020-05-13,23.1074
2020-05-14,22.8921
2020-05-15,23.0516
2020-05-16,23.0516
2020-05-17,23.0516
2020-05-18,23.7612
2020-05-19,23.2748
2020-05-20,23.6974
2020-05-21,23.9206
2020-05-22,23.9565
2020-05-23,23.9565
2020-05-24,23.9565
2020-05-25,23.9565
2020-05-26,24.6781
2020-05-27,25.4315
2020-05-28,25.3279
2020-05-29,25.4993
2020-05-30,25.4993
2020-05-31,25.4993
2020-06-01,25.575
2020-06-02,26.0335
2020-06-03,26.7192
2020-06-04,26.6993
2020-06-05,27.4846
2020-06-06,27.4846
2020-06-07,27.4846
2020-06-08,27.4368
2020-06-09,27.2215
2020-06-10,26.8906
2020-06-11,25.1445
2020-06-12,25.4196
2020-06-13,25.4196
2020-06-14,25.4196
2020-06-15,25.9578
2020-06-16,25.9338
2020-06-17,25.8541
2020-06-18,25.8501
2020-06-19,25.6149
2020-06-20,25.6149
2020-06-21,25.6149
2020-06-22,25.7784
2020-06-23,25.4913
2020-06-24,25.284
2020-06-25,25.7106
2020-06-26,25.3
2020-06-27,25.3
2020-06-28,25.3
2020-06-29,26.1372
2020-06-30,27.171
2020-07-01,26.9697
2020-07-02,27.3848
2020-07-03,27.3848
2020-07-04,27.3848
2020-07-05,27.3848
2020-07-06,27.4016
2020-07-07,27.5358
2020-07-08,27.0703
2020-07-09,26.7348
2020-07-10,27.5861
2020-07-11,27.5861
2020-07-12,27.5861
2020-07-13,27.67
2020-07-14,28.3368
2020-07-15,28.9322
2020-07-16,28.8316
2020-07-17,28.9993
2020-07-18,28.9993
2020-07-19,28.9993
2020-07-20,28.0055
2020-07-21,28.0223
2020-07-22,27.8881
2020-07-23,27.8839
2020-07-24,27.4813
2020-07-25,27.4813
2020-07-26,27.4813
2020-07-27,27.4435
2020-07-28,27.3135
2020-07-29,27.7035
2020-07-30,27.3345
2020-07-31,27.1919
2020-08-01,27.1919
2020-08-02,27.1919
2020-08-03,27.4687
2020-08-04,27.5568
2020-08-05,28.0726
2020-08-06,27.9884
2020-08-07,28.1142
2020-08-08,28.1142
2020-08-09,28.1142
2020-08-10,28.4874
2020-08-11,28.4874
2020-08-12,28.63
2020-08-13,28.4371
2020-08-14,28.1897
2020-08-15,28.1897
2020-08-16,28.1897
2020-08-17,28.3323
2020-08-18,28.2358
2020-08-19,28.2149
2020-08-20,28.1729
2020-08-21,27.9674
2020-08-22,27.9674
2020-08-23,27.9674
2020-08-24,28.6426
2020-08-25,28.911
2020-08-26,28.8355
2020-08-27,28.8481
2020-08-28,28.8145
2020-08-29,28.8145
2020-08-30,28.8145
2020-08-31,28.4539
2020-09-01,29.1416
2020-09-02,29.6742
2020-09-03,28.9445
2020-09-04,29.2506
2020-09-05,29.2506
2020-09-06,29.2506
2020-09-07,29.2506
2020-09-08,28.8523
2020-09-09,28.8942
2020-09-10,28.89
2020-09-11,29.1835
2020-09-12,29.1835
2020-09-13,29.1835
2020-09-14,29.6406
2020-09-15,29.8419
2020-09-16,29.9006
2020-09-17,30.2025
2020-09-18,29.9887
2020-09-19,29.9887
2020-09-20,29.9887
2020-09-21,29.0829
2020-09-22,29.2213
2020-09-23,28.4581
2020-09-24,28.3826
2020-09-25,28.5503
2020-09-26,28.5503
2020-09-27,28.5503
2020-09-28,29.4435
2020-09-29,29.6993
2020-09-30,28.8308
2020-10-01,29.1299
2020-10-02,29.7118
2020-10-03,29.7118
2020-10-04,29.7118
2020-10-05,30.5067
2020-10-06,30.0478
2020-10-07,30.396
2020-10-08,30.5845
2020-10-09,30.8386
2020-10-10,30.8386
2020-10-11,30.8386
2020-10-12,31.486
2020-10-13,31.3876
2020-10-14,31.7441
2020-10-15,31.1418
2020-10-16,33.2233
2020-10-17,33.2233
2020-10-18,33.2233
2020-10-19,33.0921
2020-10-20,33.0594
2020-10-21,33.4281
2020-10-22,33.8666
2020-10-23,33.969
2020-10-24,33.969
2020-10-25,33.969
2020-10-26,33.5511
2020-10-27,32.707
2020-10-28,31.8342
2020-10-29,31.994
2020-10-30,31.9817
2020-10-31,31.9817
2020-11-01,31.9817
2020-11-02,32.748
2020-11-03,33.2396
2020-11-04,32.711
2020-11-05,33.4895
2020-11-06,33.5878
2020-11-07,33.5878
2020-11-08,33.5878
2020-11-09,34.3991
2020-11-10,35.2145
2020-11-11,34.7556
2020-11-12,34.1246
2020-11-13,34.8375
2020-11-14,34.8375
2020-11-15,34.8375
2020-11-16,35.2678
2020-11-17,34.8539
2020-11-18,34.014
2020-11-19,33.891
2020-11-20,34.1246
2020-11-21,34.1246
2020-11-22,34.1246
2020-11-23,34.6655
2020-11-24,35.5095
2020-11-25,35.0629
2020-11-26,35.0629
2020-11-27,34.9195
2020-11-28,34.9195
2020-11-29,34.9195
2020-11-30,34.5589
2020-12-01,34.9891
2020-12-02,34.9113
2020-12-03,35.2924
2020-12-04,35.8947
2020-12-05,35.8947
2020-12-06,35.8947
2020-12-07,35.3989
2020-12-08,35.5874
2020-12-09,35.5915
2020-12-10,35.2063
2020-12-11,34.9973
