,CPB US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,24.013
2020-01-02,23.7258
2020-01-03,23.7073
2020-01-04,23.7073
2020-01-05,23.7073
2020-01-06,23.732
2020-01-07,23.6332
2020-01-08,23.3738
2020-01-09,23.4571
2020-01-10,23.4911
2020-01-11,23.4911
2020-01-12,23.4911
2020-01-13,23.488
2020-01-14,23.4324
2020-01-15,23.5066
2020-01-16,23.6023
2020-01-17,23.5807
2020-01-18,23.5807
2020-01-19,23.5807
2020-01-20,23.5807
2020-01-21,23.7474
2020-01-22,23.7505
2020-01-23,23.8709
2020-01-24,20.853
2020-01-25,20.853
2020-01-26,20.853
2020-01-27,20.847
2020-01-28,20.8803
2020-01-29,20.7166
2020-01-30,20.9258
2020-01-31,20.7318
2020-02-01,20.7318
2020-02-02,20.7318
2020-02-03,20.8773
2020-02-04,20.8136
2020-02-05,20.9167
2020-02-06,20.662
2020-02-07,20.8803
2020-02-08,20.8803
2020-02-09,20.8803
2020-02-10,20.8257
2020-02-11,20.8348
2020-02-12,20.6681
2020-02-13,20.7227
2020-02-14,20.8076
2020-02-15,20.8076
2020-02-16,20.8076
2020-02-17,20.8076
2020-02-18,20.6742
2020-02-19,20.5499
2020-02-20,20.5347
2020-02-21,20.6014
2020-02-22,20.6014
2020-02-23,20.6014
2020-02-24,20.6196
2020-02-25,20.5771
2020-02-26,20.2012
2020-02-27,19.9162
2020-02-28,19.7404
2020-02-29,19.7404
2020-03-01,19.7404
2020-03-02,20.6075
2020-03-03,20.5771
2020-03-04,22.0492
2020-03-05,22.1645
2020-03-06,21.7581
2020-03-07,21.7581
2020-03-08,21.7581
2020-03-09,21.285
2020-03-10,21.6065
2020-03-11,21.3669
2020-03-12,20.5208
2020-03-13,21.006
2020-03-14,21.006
2020-03-15,21.006
2020-03-16,21.0121
2020-03-17,22.3889
2020-03-18,21.3699
2020-03-19,20.4662
2020-03-20,19.799
2020-03-21,19.799
2020-03-22,19.799
2020-03-23,19.0803
2020-03-24,19.2532
2020-03-25,18.6193
2020-03-26,19.2805
2020-03-27,19.4624
2020-03-28,19.4624
2020-03-29,19.4624
2020-03-30,20.172
2020-03-31,20.0598
2020-04-01,20.0052
2020-04-02,20.451
2020-04-03,21.0818
2020-04-04,21.0818
2020-04-05,21.0818
2020-04-06,20.4996
2020-04-07,20.2357
2020-04-08,20.0598
2020-04-09,20.542
2020-04-10,20.542
2020-04-11,20.542
2020-04-12,20.542
2020-04-13,20.7695
2020-04-14,21.2456
2020-04-15,21.376
2020-04-16,21.561
2020-04-17,21.3275
2020-04-18,21.3275
2020-04-19,21.3275
2020-04-20,21.6186
2020-04-21,21.3578
2020-04-22,21.467
2020-04-23,21.3881
2020-04-24,20.5528
2020-04-25,20.5528
2020-04-26,20.5528
2020-04-27,20.6974
2020-04-28,20.6207
2020-04-29,20.3847
2020-04-30,20.3257
