,WRB US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,14.5125
2020-01-02,14.4869
2020-01-03,14.5034
2020-01-04,14.5034
2020-01-05,14.5034
2020-01-06,14.4851
2020-01-07,14.2551
2020-01-08,14.3428
2020-01-09,14.4158
2020-01-10,14.2862
2020-01-11,14.2862
2020-01-12,14.2862
2020-01-13,14.3318
2020-01-14,14.3647
2020-01-15,14.4851
2020-01-16,14.6275
2020-01-17,14.7425
2020-01-18,14.7425
2020-01-19,14.7425
2020-01-20,14.7425
2020-01-21,14.6494
2020-01-22,14.9031
2020-01-23,14.9286
2020-01-24,15.0546
2020-01-25,15.0546
2020-01-26,15.0546
2020-01-27,14.967
2020-01-28,15.1093
2020-01-29,15.1597
2020-01-30,15.4932
2020-01-31,15.3019
2020-02-01,15.3019
2020-02-02,15.3019
2020-02-03,15.4586
2020-02-04,15.5406
2020-02-05,15.7867
2020-02-06,15.9671
2020-02-07,16.0819
2020-02-08,16.0819
2020-02-09,16.0819
2020-02-10,16.2551
2020-02-11,16.3498
2020-02-12,16.2332
2020-02-13,16.3571
2020-02-14,16.3717
2020-02-15,16.3717
2020-02-16,16.3717
2020-02-17,16.3717
2020-02-18,16.3644
2020-02-19,16.3863
2020-02-20,16.1301
2020-02-21,16.2358
2020-02-22,16.2358
2020-02-23,16.2358
2020-02-24,15.9423
2020-02-25,15.6015
2020-02-26,15.3955
2020-02-27,14.6573
2020-02-28,14.1379
2020-02-29,14.1379
2020-03-01,14.1379
2020-03-02,14.6956
2020-03-03,14.2873
2020-03-04,14.6628
2020-03-05,14.0741
2020-03-06,13.9738
2020-03-07,13.9738
2020-03-08,13.9738
2020-03-09,12.8912
2020-03-10,13.4033
2020-03-11,12.4993
2020-03-12,11.2781
2020-03-13,12.1402
2020-03-14,12.1402
2020-03-15,12.1402
2020-03-16,10.56
2020-03-17,11.5952
2020-03-18,11.1487
2020-03-19,10.7313
2020-03-20,10.5727
2020-03-21,10.5727
2020-03-22,10.5727
2020-03-23,9.8036
2020-03-24,10.6675
2020-03-25,10.5618
2020-03-26,11.1614
2020-03-27,11.3547
2020-03-28,11.3547
2020-03-29,11.3547
2020-03-30,11.8358
2020-03-31,15.0272
2020-04-01,14.5654
2020-04-02,14.6707
2020-04-03,14.3835
2020-04-04,14.3835
2020-04-05,14.3835
2020-04-06,15.4006
2020-04-07,15.4221
2020-04-08,15.7572
2020-04-09,16.499
2020-04-10,16.499
2020-04-11,16.499
2020-04-12,16.499
2020-04-13,16.1113
2020-04-14,16.59
2020-04-15,15.8768
2020-04-16,15.6207
2020-04-17,16.1807
2020-04-18,16.1807
2020-04-19,16.1807
2020-04-20,15.5059
2020-04-21,15.0601
2020-04-22,14.5744
2020-04-23,14.3092
2020-04-24,14.3304
2020-04-25,14.3304
2020-04-26,14.3304
2020-04-27,14.9545
2020-04-28,15.2243
2020-04-29,15.7265
2020-04-30,15.2126
2020-05-01,14.6143
2020-05-02,14.6143
2020-05-03,14.6143
2020-05-04,14.5233
2020-05-05,14.6096
2020-05-06,14.1968
2020-05-07,14.465
2020-05-08,14.6049
2020-05-09,14.6049
2020-05-10,14.6049
2020-05-11,14.43
2020-05-12,14.0592
2020-05-13,13.4879
2020-05-14,13.5952
2020-05-15,13.6721
2020-05-16,13.6721
2020-05-17,13.6721
2020-05-18,14.6492
2020-05-19,14.5093
2020-05-20,14.9966
2020-05-21,15.5353
2020-05-22,15.7055
2020-05-23,15.7055
2020-05-24,15.7055
