,BBSI US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,11.23
2020-01-02,11.2562
2020-01-03,11.2358
2020-01-04,11.2358
2020-01-05,11.2358
2020-01-06,11.0441
2020-01-07,10.8189
2020-01-08,10.8378
2020-01-09,10.8828
2020-01-10,10.8465
2020-01-11,10.8465
2020-01-12,10.8465
2020-01-13,10.9903
2020-01-14,10.9424
2020-01-15,10.9976
2020-01-16,11.3056
2020-01-17,11.1908
2020-01-18,11.1908
2020-01-19,11.1908
2020-01-20,11.1908
2020-01-21,11.1516
2020-01-22,10.8784
2020-01-23,10.8712
2020-01-24,10.7026
2020-01-25,10.7026
2020-01-26,10.7026
2020-01-27,10.3496
2020-01-28,10.3467
2020-01-29,10.3874
2020-01-30,10.2537
2020-01-31,10.1215
2020-02-01,10.1215
2020-02-02,10.1215
2020-02-03,10.2639
2020-02-04,10.3743
2020-02-05,10.7564
2020-02-06,10.5515
2020-02-07,10.3496
2020-02-08,10.3496
2020-02-09,10.3496
2020-02-10,10.4745
2020-02-11,10.2421
2020-02-12,10.0881
2020-02-13,10.1331
2020-02-14,10.1317
2020-02-15,10.1317
2020-02-16,10.1317
2020-02-17,10.1317
2020-02-18,10.1636
2020-02-19,10.3002
2020-02-20,10.2145
2020-02-21,10.3133
2020-02-22,10.3133
2020-02-23,10.3133
2020-02-24,9.7728
2020-02-25,9.4663
2020-02-26,7.5993
2020-02-27,7.223
2020-02-28,6.7901
2020-02-29,6.7901
2020-03-01,6.7901
2020-03-02,6.8787
2020-03-03,6.5059
2020-03-04,6.7861
2020-03-05,6.2169
2020-03-06,6.2213
2020-03-07,6.2213
2020-03-08,6.2213
2020-03-09,5.6681
2020-03-10,5.7294
2020-03-11,5.5558
2020-03-12,5.0931
2020-03-13,5.1792
2020-03-14,5.1792
2020-03-15,5.1792
2020-03-16,3.7825
2020-03-17,3.6701
2020-03-18,2.32
2020-03-19,3.3928
2020-03-20,2.8498
2020-03-21,2.8498
2020-03-22,2.8498
2020-03-23,2.8703
2020-03-24,3.2775
2020-03-25,3.1184
2020-03-26,3.4643
2020-03-27,3.5343
2020-03-28,3.5343
2020-03-29,3.5343
2020-03-30,3.7357
2020-03-31,4.7802
2020-04-01,4.2202
2020-04-02,4.1789
2020-04-03,3.9708
2020-04-04,3.9708
2020-04-05,3.9708
2020-04-06,4.1361
2020-04-07,4.2034
2020-04-08,4.4145
2020-04-09,4.8368
2020-04-10,4.8368
2020-04-11,4.8368
2020-04-12,4.8368
2020-04-13,5.2208
